image_id,wind_speed
acd_123,23
acd_124,26
acd_125,27
acd_126,25
acd_127,26
acd_128,26
acd_129,26
acd_130,27
acd_131,27
acd_132,27
acd_133,28
acd_134,28
acd_135,27
acd_136,25
acd_137,25
acd_138,28
acd_139,27
acd_140,27
acd_141,27
acd_142,27
acd_143,26
acd_144,26
acd_145,25
acd_146,24
acd_147,25
acd_148,24
acd_149,24
acd_150,24
acd_151,25
acd_152,25
acd_153,24
acd_154,24
acd_155,23
acd_156,24
acd_157,24
acd_158,26
acd_159,27
acd_160,25
acd_161,25
acd_162,26
acd_163,27
acd_164,24
acd_165,26
acd_166,24
acd_167,24
acd_168,24
acd_169,23
acd_170,23
acd_171,25
acd_172,23
acd_173,25
acd_174,24
acd_175,23
acd_176,26
acd_177,25
acd_178,24
acd_179,21
acd_180,22
acd_181,21
acd_182,24
acd_183,24
acd_184,24
acd_185,24
acd_186,23
acd_187,22
acd_188,23
acd_189,21
acd_190,24
acd_191,25
acd_192,26
acd_193,27
acd_194,25
acd_195,26
acd_196,25
acd_197,25
acd_198,30
acd_199,27
acd_200,29
acd_201,30
acd_202,27
acd_203,29
acd_204,30
acd_205,28
acd_206,28
acd_207,28
acd_208,26
acd_209,29
acd_210,26
acd_211,27
acd_212,25
acd_213,29
acd_214,27
acd_215,26
acd_216,27
acd_217,29
acd_218,25
acd_219,27
acd_220,26
acd_221,26
acd_222,27
acd_223,28
aek_032,24
aek_033,24
aek_034,32
aek_035,41
aek_036,45
aek_037,35
aek_038,35
aek_039,36
aek_040,32
aek_041,35
aek_042,33
aek_043,39
aek_044,35
aek_045,37
aek_046,30
aek_047,31
aek_048,29
aek_049,29
aek_050,30
aek_051,30
aek_052,30
aek_053,33
aek_054,33
aek_055,30
aek_056,28
aek_057,31
aek_058,33
aek_059,28
aek_060,33
aek_061,39
aek_062,35
aek_063,33
aek_064,38
aek_065,37
aek_066,39
aek_067,35
aek_068,38
aek_069,37
aek_070,29
aek_071,28
aek_072,31
aek_073,31
aek_074,28
aek_075,28
aek_076,33
aek_077,40
aek_078,35
aek_079,33
aek_080,32
aek_081,33
aek_082,34
aek_083,27
aek_084,33
aek_085,30
aek_086,31
aek_087,32
aek_088,30
aek_089,35
