image_id,wind_speed
acd_123,24
acd_124,24
acd_125,22
acd_126,24
acd_127,26
acd_128,28
acd_129,29
acd_130,28
acd_131,29
acd_132,28
acd_133,29
acd_134,29
acd_135,30
acd_136,28
acd_137,28
acd_138,26
acd_139,27
acd_140,28
acd_141,26
acd_142,31
acd_143,33
acd_144,32
acd_145,33
acd_146,30
acd_147,30
acd_148,27
acd_149,27
acd_150,26
acd_151,25
acd_152,27
acd_153,27
acd_154,30
acd_155,28
acd_156,30
acd_157,29
acd_158,29
acd_159,28
acd_160,26
acd_161,26
acd_162,26
acd_163,24
acd_164,25
acd_165,25
acd_166,25
acd_167,26
acd_168,23
acd_169,21
acd_170,21
acd_171,21
acd_172,21
acd_173,22
acd_174,22
acd_175,23
acd_176,23
acd_177,24
acd_178,24
acd_179,25
acd_180,26
acd_181,27
acd_182,28
acd_183,30
acd_184,29
acd_185,28
acd_186,29
acd_187,29
acd_188,29
acd_189,28
acd_190,26
acd_191,26
acd_192,29
acd_193,29
acd_194,27
acd_195,27
acd_196,28
acd_197,28
acd_198,28
acd_199,27
acd_200,27
acd_201,27
acd_202,27
acd_203,26
acd_204,24
acd_205,25
acd_206,28
acd_207,30
acd_208,32
acd_209,29
acd_210,31
acd_211,32
acd_212,31
acd_213,30
acd_214,31
acd_215,31
acd_216,30
acd_217,31
acd_218,30
acd_219,31
acd_220,31
acd_221,33
acd_222,34
acd_223,33
aek_032,29
aek_033,32
aek_034,31
aek_035,32
aek_036,30
aek_037,28
aek_038,26
aek_039,28
aek_040,30
aek_041,31
aek_042,28
aek_043,33
aek_044,29
aek_045,29
aek_046,29
aek_047,25
aek_048,31
aek_049,31
aek_050,29
aek_051,28
aek_052,27
aek_053,27
aek_054,27
aek_055,30
aek_056,30
aek_057,30
aek_058,30
aek_059,31
aek_060,30
aek_061,32
aek_062,36
aek_063,30
aek_064,36
aek_065,33
aek_066,35
aek_067,34
aek_068,33
aek_069,30
aek_070,33
aek_071,36
aek_072,34
aek_073,35
aek_074,36
aek_075,35
aek_076,36
aek_077,35
aek_078,36
aek_079,34
aek_080,35
aek_081,32
aek_082,47
aek_083,30
aek_084,30
aek_085,30
aek_086,27
aek_087,29
aek_088,28
aek_089,28
aek_090,28
aek_091,28
aek_092,31
aek_093,30
aek_094,46
aek_095,32
aek_096,28
aek_097,28
aek_098,27
aek_099,30
aek_100,30
aek_101,32
aek_102,32
aek_103,36
aek_104,34
aek_105,32
aek_106,33
aek_107,35
agb_000,33
agb_001,33
agb_002,32
agb_003,30
agb_004,28
agb_005,30
agb_006,30
agb_007,46
agb_008,49
agb_009,50
agb_010,51
agb_011,29
agb_012,49
agb_013,48
agb_014,47
agb_015,49
agb_016,49
agb_017,48
agb_018,46
agb_019,48
agb_020,26
agb_021,26
agb_022,49
agb_023,31
agb_024,33
agb_025,32
agb_026,32
agb_027,32
agb_028,31
agb_029,30
agb_030,46
agb_031,28
agb_032,46
agb_033,24
agb_034,26
agb_035,27
agb_036,31
agb_037,31
agb_038,31
agb_039,31
agb_040,29
agb_041,29
agb_042,27
agb_043,29
agb_044,29
agb_045,27
agb_046,27
agb_047,26
agb_048,32
agb_049,48
agb_050,52
agb_051,48
agb_052,49
agb_053,46
agb_054,51
agb_055,48
agb_056,51
agb_057,52
agb_058,35
agb_059,35
agb_060,58
agb_061,59
agb_062,56
agb_063,59
agb_064,32
agb_065,33
agb_066,32
agb_067,29
agb_068,27
agb_069,56
agb_070,60
agb_071,51
agb_072,53
agb_073,58
agb_074,55
agb_075,54
agb_076,57
agb_077,54
agb_078,63
agb_079,66
agb_080,61
agb_081,59
agb_082,58
agb_083,56
agb_084,57
agb_085,67
agb_086,65
agb_087,99
agb_088,93
agb_089,92
agb_090,88
agb_091,87
agb_092,93
agb_093,91
agb_094,97
agb_095,68
agb_096,67
agb_097,66
agb_098,64
agb_099,89
agb_100,80
agb_101,84
agb_102,94
agb_103,97
agb_104,103
agb_105,99
agb_106,93
agb_107,97
agb_108,99
agb_109,107
agb_110,99
agb_111,106
agb_112,104
agb_113,105
agb_114,110
agb_115,108
agb_116,104
agb_117,103
agb_118,98
agb_119,100
agb_120,95
agb_121,95
agb_122,96
agb_123,103
agb_124,106
agb_125,105
agb_126,108
agb_127,103
agb_128,102
agb_129,106
agb_130,106
agb_131,105
agb_132,108
agl_129,29
agl_130,27
agl_131,31
agl_132,30
agl_133,46
agl_134,36
agl_135,37
agl_136,38
agl_137,37
agl_138,36
agl_139,36
agl_140,34
agl_141,34
agl_142,36
agl_143,35
agl_144,31
agl_145,34
agl_146,31
agl_147,38
agl_148,32
agl_149,35
agl_150,35
agl_151,36
agl_152,34
agl_153,29
agl_154,31
agl_155,49
agl_156,48
agl_157,50
agl_158,29
agl_159,32
agl_160,30
agl_161,33
agl_162,32
agl_163,29
agl_164,35
agl_165,36
agl_166,55
agl_167,33
agl_168,32
agl_169,34
agl_170,33
agl_171,34
agl_172,38
agl_173,38
agl_174,37
agl_175,37
agl_176,39
agl_177,38
agl_178,37
agl_179,36
agl_180,31
agl_181,33
agl_182,38
agl_183,34
agl_184,51
agl_185,52
agl_186,33
agl_187,34
agl_188,36
agl_189,32
agl_190,36
agl_191,53
agl_192,36
agl_193,52
agl_194,49
agl_195,54
agl_196,53
agl_197,31
agl_198,61
agl_199,65
agl_200,63
agl_201,59
agl_202,59
agl_203,65
agl_204,61
agl_205,62
agl_206,62
agl_207,59
agl_208,56
agl_209,57
agl_210,52
agl_211,54
agl_212,30
agl_213,35
agl_214,34
agl_215,35
agl_216,35
agl_217,35
agl_218,49
agl_219,53
agl_220,51
agl_221,52
agl_222,37
agl_223,37
agl_224,36
agl_225,40
agl_226,41
agl_227,40
agl_228,36
agl_229,37
agl_230,35
agl_231,34
agl_232,38
agl_233,37
agl_234,57
agl_235,37
agl_236,36
agl_237,56
agl_238,36
agl_239,48
agl_240,48
agl_241,47
agl_242,30
agl_243,35
agl_244,37
agl_245,37
agl_246,37
agl_247,38
agl_248,36
agl_249,36
agl_250,36
agl_251,49
agl_252,51
agl_253,54
agl_254,54
agl_255,55
agl_256,54
agl_257,51
agl_258,54
agl_259,55
agl_260,55
agl_261,53
agl_262,54
agl_263,53
agl_264,51
agl_265,51
agl_266,55
agl_267,58
agl_268,57
agl_269,51
agl_270,52
agl_271,55
agl_272,55
agl_273,57
agl_274,56
agl_275,51
agl_276,55
agl_277,53
agl_278,56
agl_279,51
agl_280,57
agl_281,54
agl_282,54
agl_283,58
agl_284,57
agl_285,48
agl_286,56
agl_287,47
agl_288,92
agl_289,50
agl_290,50
agl_291,58
agl_292,57
agl_293,56
agl_294,83
agl_295,82
agl_296,59
agl_297,62
agl_298,63
agl_299,62
agl_300,62
agl_301,61
agl_302,62
agl_303,59
agl_304,59
agl_305,33
agl_306,38
agl_307,31
agl_308,58
agl_309,59
agl_310,58
agl_311,56
agl_312,32
agl_313,53
agl_314,35
agl_315,34
agl_316,35
agl_317,54
agl_318,58
agl_319,56
agl_320,58
agl_321,52
agl_322,32
agl_323,30
agl_324,32
agl_325,29
agl_326,30
agl_327,50
agl_328,59
agl_329,37
agl_330,35
agl_331,30
agl_332,30
agl_333,37
agl_334,34
agl_335,33
agl_336,53
agl_337,53
agl_338,55
agl_339,52
agl_340,51
agl_341,53
agl_342,54
agl_343,56
agl_344,56
agl_345,56
agl_346,58
agl_347,81
agl_348,84
agl_349,83
agl_350,81
agl_351,33
agl_352,57
agl_353,33
agl_354,92
agl_355,29
agl_356,28
agl_357,33
agl_358,33
agl_359,56
agl_360,59
agl_361,56
agl_362,53
agl_363,61
agl_364,58
agl_365,60
agl_366,61
agl_367,61
agl_368,89
agl_369,104
agl_370,92
agl_371,88
agl_372,103
agl_373,99
agl_374,99
agl_375,92
agl_376,95
agl_377,102
agl_378,63
agl_379,65
agl_380,85
agl_381,97
agl_382,109
agl_383,96
agl_384,91
agl_385,99
agl_386,103
agl_387,100
agl_388,87
agl_389,91
agl_390,87
agl_391,52
agl_392,65
agl_393,58
agl_394,58
agl_395,62
agl_396,60
agl_397,56
agl_398,54
agl_399,53
agl_400,52
agl_401,48
agl_402,51
agl_403,49
agl_404,48
agl_405,49
agl_406,50
agl_407,51
agl_408,50
agl_409,50
agl_410,51
agl_411,53
agl_412,52
agl_413,50
agl_414,52
agl_415,56
agl_416,58
agl_417,55
agl_418,52
agl_419,54
agl_420,52
agl_421,56
agl_422,54
agl_423,55
agl_424,55
agl_425,59
agl_426,54
agl_427,54
agl_428,59
agl_429,60
agl_430,58
agl_431,59
agl_432,56
agl_433,58
agl_434,57
agl_435,57
agl_436,58
agl_437,59
agl_438,62
agl_439,59
agl_440,59
agl_441,54
agl_442,57
agl_443,58
agl_444,57
agl_445,60
agl_446,62
agl_447,58
agl_448,60
agl_449,59
agl_450,59
agl_451,61
agl_452,59
agl_453,56
agl_454,54
agp_000,51
agp_001,53
agp_002,34
agp_003,34
agp_004,32
agp_005,33
agp_006,34
agp_007,30
agp_008,54
agp_009,57
agp_010,54
agp_011,55
agp_012,57
agp_013,56
agp_014,36
agp_015,55
agp_016,58
agp_017,59
agp_018,59
agp_019,61
agp_020,62
agp_021,59
agp_022,58
agp_023,56
agp_024,61
agp_025,58
agp_026,59
agp_027,54
agp_028,54
agp_029,51
agp_030,54
agp_031,58
agp_032,56
agp_033,61
agp_034,61
agp_035,62
agp_036,57
agp_037,57
agp_038,54
agp_039,55
agp_040,61
agp_041,57
agp_042,62
agp_043,61
agp_044,62
agp_045,61
agp_046,60
agp_047,59
agp_048,58
agp_049,57
agp_050,56
agp_051,56
agp_052,58
agp_053,55
agp_054,56
agp_055,59
agp_056,59
agp_057,57
agp_058,58
agp_059,54
agp_060,53
aig_000,34
aig_001,35
aig_002,36
aig_003,36
aig_004,36
aig_005,33
aig_006,53
aig_007,50
aig_008,49
aig_009,49
aig_010,50
aig_011,50
aig_012,28
aig_013,38
aig_014,36
aig_015,52
aig_016,59
aig_017,57
aig_018,52
aig_019,51
aig_020,50
aig_021,54
aig_022,54
aig_023,51
aig_024,52
aig_025,53
aig_026,54
aig_027,31
aig_028,31
aig_029,30
aig_030,28
aig_031,26
aig_032,47
aig_033,50
aig_034,49
aig_035,51
aig_036,57
aig_037,33
aig_038,34
aig_039,33
aig_040,34
aig_041,36
aig_042,36
aig_043,34
aig_044,41
aig_045,37
aig_046,38
aig_047,36
aig_048,34
aig_049,33
aig_050,33
aig_051,36
aig_052,33
aig_053,32
aiz_000,89
aiz_001,95
aiz_002,94
aiz_003,103
aiz_004,104
aiz_005,98
aiz_006,84
aiz_007,88
aiz_008,97
aiz_009,87
aiz_010,102
aiz_011,94
aiz_012,66
aiz_013,67
aiz_014,67
aiz_015,65
aiz_016,64
aiz_017,65
aiz_018,65
aiz_019,94
aiz_020,93
aiz_021,95
aiz_022,90
aiz_023,87
aiz_024,91
aiz_025,90
aiz_026,92
aiz_027,89
aiz_028,82
aiz_029,79
aiz_030,89
aiz_031,87
aiz_032,85
aiz_033,85
aiz_034,50
aiz_035,91
aiz_036,33
aiz_037,89
aiz_038,55
aiz_039,56
aiz_040,53
aiz_041,57
aiz_042,116
aiz_043,112
aiz_044,116
