image_id,wind_speed
acd_123,35
acd_124,34
acd_125,34
acd_126,33
acd_127,30
acd_128,29
acd_129,30
acd_130,30
acd_131,29
acd_132,28
acd_133,28
acd_134,29
acd_135,28
acd_136,28
acd_137,27
acd_138,27
acd_139,27
acd_140,26
acd_141,27
acd_142,28
acd_143,27
acd_144,27
acd_145,26
acd_146,26
acd_147,26
acd_148,25
acd_149,26
acd_150,26
acd_151,25
acd_152,26
acd_153,26
acd_154,27
acd_155,26
acd_156,27
acd_157,26
acd_158,26
acd_159,26
acd_160,26
acd_161,26
acd_162,26
acd_163,25
acd_164,26
acd_165,26
acd_166,26
acd_167,26
acd_168,26
acd_169,26
acd_170,26
acd_171,25
acd_172,26
acd_173,26
acd_174,27
acd_175,27
acd_176,27
acd_177,27
acd_178,27
acd_179,26
acd_180,27
acd_181,27
acd_182,28
acd_183,28
acd_184,28
acd_185,28
acd_186,28
acd_187,27
acd_188,27
acd_189,27
acd_190,25
acd_191,25
acd_192,24
acd_193,24
acd_194,23
acd_195,24
acd_196,24
acd_197,24
acd_198,24
acd_199,24
acd_200,24
acd_201,24
acd_202,24
acd_203,24
acd_204,24
acd_205,25
acd_206,26
acd_207,26
acd_208,26
acd_209,27
acd_210,27
acd_211,28
acd_212,28
acd_213,28
acd_214,29
acd_215,28
acd_216,28
acd_217,28
acd_218,29
acd_219,29
acd_220,28
acd_221,30
acd_222,30
acd_223,30
aek_032,32
aek_033,30
aek_034,30
aek_035,32
aek_036,33
aek_037,31
aek_038,30
aek_039,29
aek_040,29
aek_041,30
aek_042,28
aek_043,36
aek_044,27
aek_045,30
aek_046,30
aek_047,25
aek_048,26
aek_049,27
aek_050,28
aek_051,26
aek_052,26
aek_053,28
aek_054,28
aek_055,28
aek_056,29
aek_057,29
aek_058,30
aek_059,30
aek_060,30
aek_061,30
aek_062,30
aek_063,32
aek_064,34
aek_065,37
aek_066,41
aek_067,39
aek_068,36
aek_069,38
aek_070,37
aek_071,37
aek_072,38
aek_073,33
aek_074,32
aek_075,32
aek_076,30
aek_077,31
aek_078,32
aek_079,32
aek_080,33
aek_081,31
aek_082,38
aek_083,30
aek_084,29
aek_085,30
aek_086,31
aek_087,30
aek_088,28
aek_089,29
aek_090,30
aek_091,30
aek_092,30
aek_093,30
aek_094,29
aek_095,29
aek_096,28
aek_097,28
aek_098,28
aek_099,28
aek_100,29
aek_101,30
aek_102,30
aek_103,32
aek_104,33
aek_105,34
aek_106,34
aek_107,34
agb_000,43
agb_001,41
agb_002,44
agb_003,42
agb_004,41
agb_005,39
agb_006,41
agb_007,42
agb_008,44
agb_009,44
agb_010,45
agb_011,44
agb_012,44
agb_013,42
agb_014,43
agb_015,45
agb_016,43
agb_017,40
agb_018,41
agb_019,42
agb_020,42
agb_021,40
agb_022,39
agb_023,38
agb_024,36
agb_025,34
agb_026,34
agb_027,36
agb_028,38
agb_029,37
agb_030,37
agb_031,36
agb_032,36
agb_033,36
agb_034,34
agb_035,32
agb_036,32
agb_037,32
