image_id,wind_speed
acd_123,34
acd_124,32
acd_125,32
acd_126,31
acd_127,28
acd_128,28
acd_129,29
acd_130,28
acd_131,28
acd_132,26
acd_133,27
acd_134,27
acd_135,27
acd_136,27
acd_137,27
acd_138,26
acd_139,26
acd_140,26
acd_141,27
acd_142,27
acd_143,26
acd_144,27
acd_145,26
acd_146,26
acd_147,26
acd_148,24
acd_149,25
acd_150,25
acd_151,24
acd_152,25
acd_153,26
acd_154,27
acd_155,26
acd_156,27
acd_157,27
acd_158,27
acd_159,27
acd_160,26
acd_161,27
acd_162,27
acd_163,26
acd_164,27
acd_165,27
acd_166,28
acd_167,28
acd_168,29
acd_169,28
acd_170,27
acd_171,26
acd_172,28
acd_173,27
acd_174,28
acd_175,28
acd_176,27
acd_177,26
acd_178,26
acd_179,26
acd_180,27
acd_181,27
acd_182,28
acd_183,29
acd_184,28
acd_185,28
acd_186,28
acd_187,28
acd_188,28
acd_189,28
acd_190,26
acd_191,24
acd_192,23
acd_193,23
acd_194,22
acd_195,22
acd_196,22
acd_197,23
acd_198,22
acd_199,23
acd_200,22
acd_201,22
acd_202,22
acd_203,23
acd_204,23
acd_205,23
acd_206,26
acd_207,26
acd_208,27
acd_209,27
acd_210,28
acd_211,29
acd_212,29
acd_213,28
acd_214,29
acd_215,27
acd_216,28
acd_217,27
acd_218,28
acd_219,28
acd_220,29
acd_221,30
acd_222,29
acd_223,29
aek_032,30
aek_033,28
aek_034,28
aek_035,29
aek_036,30
aek_037,29
aek_038,27
aek_039,27
aek_040,27
aek_041,28
aek_042,28
aek_043,30
aek_044,27
aek_045,27
aek_046,26
aek_047,25
aek_048,24
aek_049,25
aek_050,26
aek_051,26
aek_052,25
aek_053,27
aek_054,28
aek_055,28
aek_056,27
aek_057,29
aek_058,31
aek_059,30
aek_060,30
aek_061,32
aek_062,29
aek_063,30
aek_064,30
aek_065,34
aek_066,35
aek_067,43
aek_068,36
aek_069,37
aek_070,34
aek_071,33
aek_072,33
aek_073,31
aek_074,31
aek_075,31
aek_076,30
aek_077,30
aek_078,30
aek_079,32
aek_080,33
aek_081,29
aek_082,32
aek_083,29
aek_084,28
aek_085,30
aek_086,30
aek_087,29
aek_088,28
aek_089,28
aek_090,29
aek_091,30
aek_092,31
aek_093,30
aek_094,27
aek_095,28
aek_096,29
aek_097,28
aek_098,28
aek_099,27
aek_100,28
aek_101,30
aek_102,31
aek_103,33
aek_104,33
aek_105,33
aek_106,32
aek_107,34
agb_000,43
agb_001,44
agb_002,44
agb_003,43
agb_004,41
agb_005,38
agb_006,41
agb_007,42
agb_008,43
agb_009,39
agb_010,40
agb_011,36
agb_012,38
agb_013,38
agb_014,36
agb_015,42
agb_016,42
agb_017,34
agb_018,38
agb_019,39
agb_020,36
agb_021,33
agb_022,33
agb_023,38
agb_024,36
agb_025,38
agb_026,36
agb_027,36
agb_028,35
agb_029,36
agb_030,35
agb_031,34
agb_032,34
agb_033,35
agb_034,35
agb_035,34
agb_036,33
agb_037,35
agb_038,40
agb_039,38
agb_040,37
agb_041,36
agb_042,33
agb_043,33
agb_044,31
agb_045,32
agb_046,33
agb_047,35
agb_048,38
agb_049,39
agb_050,40
agb_051,40
agb_052,38
agb_053,34
agb_054,34
agb_055,37
agb_056,42
agb_057,40
