,image_id,storm_id,relative_time,ocean,wind_speed
6,abs_006,abs,34199,2,63
7,abs_007,abs,37799,2,65
8,abs_008,abs,39599,2,65
9,abs_009,abs,41399,2,65
10,abs_010,abs,43199,2,65
11,abs_011,abs,44999,2,65
12,abs_012,abs,48599,2,65
13,abs_013,abs,50404,2,65
14,abs_014,abs,52200,2,65
15,abs_015,abs,54001,2,65
16,abs_016,abs,55799,2,65
17,abs_017,abs,59400,2,65
18,abs_018,abs,61200,2,64
19,abs_019,abs,63000,2,64
20,abs_020,abs,64800,2,64
21,abs_021,abs,66600,2,63
22,abs_022,abs,70200,2,62
23,abs_023,abs,72000,2,62
24,abs_024,abs,73800,2,61
25,abs_025,abs,75600,2,61
26,abs_026,abs,77400,2,61
27,abs_027,abs,81000,2,60
28,abs_028,abs,82800,2,59
29,abs_029,abs,84600,2,59
30,abs_030,abs,86400,2,59
31,abs_031,abs,88200,2,58
32,abs_032,abs,91800,2,57
33,abs_033,abs,104398,2,55
34,abs_034,abs,106199,2,55
35,abs_035,abs,118799,2,55
36,abs_036,abs,120599,2,55
37,abs_037,abs,124199,2,55
38,abs_038,abs,125998,2,54
39,abs_039,abs,127799,2,54
40,abs_040,abs,129599,2,54
41,abs_041,abs,131399,2,53
42,abs_042,abs,134999,2,52
43,abs_043,abs,136799,2,52
44,abs_044,abs,138600,2,51
45,abs_045,abs,140400,2,51
46,abs_046,abs,142200,2,51
47,abs_047,abs,145799,2,50
48,abs_048,abs,147602,2,50
49,abs_049,abs,149400,2,50
50,abs_050,abs,151200,2,50
51,abs_051,abs,153000,2,50
70,acd_013,acd,32398,1,30
71,acd_014,acd,34199,1,30
72,acd_015,acd,35999,1,30
73,acd_016,acd,37799,1,30
74,acd_017,acd,39599,1,30
75,acd_018,acd,43198,1,30
76,acd_019,acd,44998,1,30
77,acd_020,acd,46798,1,30
78,acd_021,acd,48598,1,30
79,acd_022,acd,50398,1,30
80,acd_023,acd,54000,1,30
81,acd_024,acd,55800,1,30
82,acd_025,acd,57600,1,30
83,acd_026,acd,59400,1,30
84,acd_027,acd,61200,1,30
85,acd_028,acd,64800,1,30
86,acd_029,acd,66600,1,31
87,acd_030,acd,68401,1,31
88,acd_031,acd,70200,1,32
89,acd_032,acd,72000,1,32
90,acd_033,acd,75600,1,33
91,acd_034,acd,77400,1,33
92,acd_035,acd,86400,1,35
93,acd_036,acd,88200,1,35
94,acd_037,acd,90000,1,35
95,acd_038,acd,91800,1,35
96,acd_039,acd,98999,1,35
97,acd_040,acd,100799,1,35
98,acd_041,acd,102601,1,35
99,acd_042,acd,104400,1,35
100,acd_043,acd,107999,1,36
101,acd_044,acd,109799,1,37
102,acd_045,acd,111598,1,38
103,acd_046,acd,113399,1,38
104,acd_047,acd,115199,1,39
105,acd_048,acd,118798,1,41
106,acd_049,acd,120598,1,42
107,acd_050,acd,122399,1,43
108,acd_051,acd,124198,1,43
109,acd_052,acd,125998,1,44
110,acd_053,acd,129599,1,46
111,acd_054,acd,131398,1,47
112,acd_055,acd,133198,1,48
113,acd_056,acd,134998,1,48
114,acd_057,acd,136798,1,49
115,acd_058,acd,140400,1,51
116,acd_059,acd,142200,1,52
117,acd_060,acd,144000,1,53
118,acd_061,acd,145800,1,53
119,acd_062,acd,147600,1,54
120,acd_063,acd,151200,1,55
121,acd_064,acd,153000,1,55
122,acd_065,acd,154800,1,55
123,acd_066,acd,156601,1,55
124,acd_067,acd,158400,1,55
125,acd_068,acd,162000,1,55
126,acd_069,acd,163800,1,55
127,acd_070,acd,172800,1,55
128,acd_071,acd,174601,1,56
129,acd_072,acd,176400,1,56
130,acd_073,acd,178200,1,57
131,acd_074,acd,185399,1,58
132,acd_075,acd,187199,1,59
133,acd_076,acd,188999,1,59
134,acd_077,acd,190798,1,60
135,acd_078,acd,194399,1,60
136,acd_079,acd,196199,1,60
137,acd_080,acd,197998,1,60
138,acd_081,acd,199799,1,60
139,acd_082,acd,201598,1,60
140,acd_083,acd,205198,1,60
141,acd_084,acd,206998,1,60
142,acd_085,acd,208798,1,60
143,acd_086,acd,210599,1,60
144,acd_087,acd,212398,1,60
145,acd_088,acd,215999,1,60
146,acd_089,acd,217798,1,59
147,acd_090,acd,219599,1,59
148,acd_091,acd,221398,1,58
149,acd_092,acd,223198,1,58
150,acd_093,acd,226800,1,57
151,acd_094,acd,228600,1,57
152,acd_095,acd,230400,1,56
153,acd_096,acd,232200,1,56
154,acd_097,acd,234000,1,55
155,acd_098,acd,237600,1,55
156,acd_099,acd,239400,1,54
157,acd_100,acd,241200,1,54
158,acd_101,acd,243000,1,53
159,acd_102,acd,244800,1,53
160,acd_103,acd,248400,1,52
161,acd_104,acd,259200,1,49
162,acd_105,acd,261000,1,47
163,acd_106,acd,262801,1,46
164,acd_107,acd,264600,1,45
165,acd_108,acd,271798,1,40
166,acd_109,acd,273598,1,39
167,acd_110,acd,275398,1,37
184,aek_004,aek,14400,1,25
185,aek_005,aek,18000,1,25
186,aek_006,aek,21600,1,25
187,aek_007,aek,25200,1,25
188,aek_008,aek,28800,1,25
189,aek_009,aek,32400,1,25
190,aek_010,aek,36000,1,25
191,aek_011,aek,39600,1,25
192,aek_012,aek,43200,1,30
193,aek_013,aek,46800,1,30
194,aek_014,aek,50400,1,30
195,aek_015,aek,54000,1,30
196,aek_016,aek,57600,1,30
197,aek_017,aek,61200,1,30
198,aek_018,aek,64800,1,35
199,aek_019,aek,68400,1,35
200,aek_020,aek,72000,1,35
201,aek_021,aek,75600,1,35
202,aek_022,aek,79200,1,35
203,aek_023,aek,82800,1,35
204,aek_024,aek,86400,1,35
205,aek_025,aek,90000,1,35
206,aek_026,aek,93600,1,35
207,aek_027,aek,97200,1,35
208,aek_028,aek,100800,1,35
235,afs_023,afs,57597,2,49
236,afs_024,afs,59397,2,49
237,afs_025,afs,61198,2,49
238,afs_026,afs,64799,2,50
239,afs_027,afs,66598,2,49
240,afs_028,afs,68398,2,49
241,afs_029,afs,70200,2,49
242,afs_030,afs,72000,2,48
243,afs_031,afs,75598,2,47
244,afs_032,afs,77398,2,47
245,afs_033,afs,79198,2,46
246,afs_034,afs,80998,2,46
247,afs_035,afs,82798,2,46
248,afs_036,afs,86398,2,45
249,afs_037,afs,88200,2,45
250,afs_038,afs,89998,2,45
251,afs_039,afs,91799,2,45
252,afs_040,afs,93599,2,45
253,afs_041,afs,97198,2,45
254,afs_042,afs,98999,2,45
255,afs_043,afs,102598,2,45
256,afs_044,afs,107997,2,45
257,afs_045,afs,109798,2,45
258,afs_046,afs,111597,2,45
259,afs_047,afs,115196,2,45
260,afs_048,afs,118797,2,45
261,afs_049,afs,122399,2,45
262,afs_050,afs,124198,2,45
263,afs_051,afs,125997,2,45
264,afs_052,afs,129598,2,45
265,afs_053,afs,131397,2,44
266,afs_054,afs,133197,2,44
267,afs_055,afs,134997,2,44
268,afs_056,afs,136797,2,43
269,afs_057,afs,140397,2,42
270,afs_058,afs,142197,2,42
271,afs_059,afs,143997,2,41
272,afs_060,afs,145797,2,41
273,afs_061,afs,147598,2,41
274,afs_062,afs,151198,2,40
275,afs_063,afs,152998,2,40
276,afs_064,afs,154798,2,40
277,afs_065,afs,156598,2,40
278,afs_066,afs,158400,2,40
279,afs_067,afs,161998,2,40
280,afs_068,afs,163799,2,40
281,afs_069,afs,165598,2,40
282,afs_070,afs,167398,2,40
283,afs_071,afs,169198,2,40
284,afs_072,afs,172798,2,40
285,afs_073,afs,174598,2,39
286,afs_074,afs,176400,2,39
287,afs_075,afs,178199,2,39
288,afs_076,afs,179998,2,38
289,afs_077,afs,183598,2,37
290,afs_078,afs,185398,2,37
291,afs_079,afs,188998,2,36
292,afs_080,afs,194397,2,35
293,afs_081,afs,196198,2,34
294,afs_082,afs,197997,2,34
295,afs_083,afs,201597,2,33
296,afs_084,afs,205197,2,32
297,afs_085,afs,208797,2,31
298,afs_086,afs,253798,2,26
