image_id,wind_speed
acd_123,27
acd_124,28
acd_125,27
acd_126,27
acd_127,29
acd_128,29
acd_129,28
acd_130,27
acd_131,28
acd_132,27
acd_133,27
acd_134,27
acd_135,28
acd_136,28
acd_137,28
acd_138,29
acd_139,30
acd_140,30
acd_141,29
acd_142,30
acd_143,30
acd_144,29
acd_145,28
acd_146,27
acd_147,28
acd_148,28
acd_149,28
acd_150,28
acd_151,26
acd_152,26
acd_153,26
acd_154,26
acd_155,25
acd_156,26
acd_157,28
acd_158,27
acd_159,29
acd_160,27
acd_161,28
acd_162,29
acd_163,29
acd_164,29
acd_165,29
acd_166,29
acd_167,30
acd_168,28
acd_169,28
acd_170,29
acd_171,26
acd_172,26
acd_173,28
acd_174,29
acd_175,28
acd_176,29
acd_177,27
acd_178,27
acd_179,27
acd_180,26
acd_181,24
acd_182,25
acd_183,26
acd_184,27
acd_185,28
acd_186,29
acd_187,29
acd_188,28
acd_189,28
acd_190,28
acd_191,28
acd_192,29
acd_193,28
acd_194,27
acd_195,27
acd_196,29
acd_197,28
acd_198,29
acd_199,30
acd_200,30
acd_201,30
acd_202,29
acd_203,30
acd_204,29
acd_205,32
acd_206,31
acd_207,32
acd_208,32
acd_209,29
acd_210,29
acd_211,28
acd_212,26
acd_213,28
acd_214,26
acd_215,26
acd_216,29
acd_217,31
acd_218,30
acd_219,28
acd_220,27
acd_221,27
acd_222,26
acd_223,27
aek_032,29
aek_033,40
aek_034,38
aek_035,44
aek_036,40
aek_037,36
aek_038,32
aek_039,45
aek_040,40
aek_041,42
aek_042,35
aek_043,44
aek_044,38
aek_045,44
aek_046,38
aek_047,34
aek_048,32
aek_049,29
aek_050,28
aek_051,26
aek_052,31
aek_053,31
aek_054,37
aek_055,31
aek_056,30
aek_057,36
aek_058,35
aek_059,32
aek_060,34
aek_061,42
aek_062,32
aek_063,30
aek_064,29
aek_065,34
aek_066,31
aek_067,31
aek_068,33
aek_069,33
aek_070,31
aek_071,34
aek_072,38
aek_073,40
aek_074,35
aek_075,33
aek_076,32
aek_077,34
aek_078,34
aek_079,31
aek_080,37
aek_081,30
aek_082,32
aek_083,33
aek_084,36
aek_085,34
aek_086,36
aek_087,35
aek_088,32
aek_089,35
aek_090,34
aek_091,35
aek_092,34
aek_093,33
aek_094,31
aek_095,32
aek_096,28
aek_097,28
aek_098,22
aek_099,29
aek_100,31
aek_101,31
aek_102,31
aek_103,33
aek_104,34
aek_105,33
aek_106,31
aek_107,31
agb_000,42
agb_001,48
agb_002,52
agb_003,50
agb_004,47
agb_005,49
agb_006,51
agb_007,44
agb_008,47
agb_009,53
agb_010,49
agb_011,50
agb_012,57
agb_013,56
agb_014,46
agb_015,53
agb_016,61
agb_017,58
agb_018,59
agb_019,58
agb_020,53
agb_021,49
agb_022,51
agb_023,55
agb_024,51
agb_025,44
agb_026,41
agb_027,44
agb_028,43
agb_029,38
agb_030,36
agb_031,43
agb_032,43
agb_033,41
agb_034,43
agb_035,36
agb_036,34
agb_037,35
agb_038,34
agb_039,31
agb_040,34
agb_041,34
agb_042,37
agb_043,38
agb_044,41
agb_045,40
agb_046,38
agb_047,37
agb_048,38
agb_049,47
agb_050,48
agb_051,45
agb_052,45
agb_053,49
agb_054,50
agb_055,42
agb_056,44
agb_057,46
agb_058,38
agb_059,37
agb_060,43
agb_061,41
agb_062,35
agb_063,53
agb_064,50
agb_065,45
agb_066,53
agb_067,44
agb_068,58
agb_069,56
agb_070,59
agb_071,63
agb_072,61
agb_073,59
agb_074,55
agb_075,56
agb_076,57
agb_077,55
agb_078,56
agb_079,58
agb_080,63
agb_081,64
agb_082,63
agb_083,77
agb_084,63
agb_085,63
agb_086,72
agb_087,77
agb_088,73
agb_089,70
agb_090,64
agb_091,70
agb_092,89
agb_093,83
agb_094,80
agb_095,80
agb_096,79
agb_097,74
agb_098,75
agb_099,82
agb_100,86
agb_101,84
agb_102,93
agb_103,91
agb_104,85
agb_105,76
agb_106,78
agb_107,85
agb_108,89
agb_109,93
agb_110,90
agb_111,87
agb_112,93
agb_113,109
agb_114,114
agb_115,109
agb_116,105
