image_id,wind_speed
acd_123,34
acd_124,35
acd_125,34
acd_126,35
acd_127,32
acd_128,30
acd_129,30
acd_130,30
acd_131,29
acd_132,28
acd_133,28
acd_134,28
acd_135,27
acd_136,27
acd_137,28
acd_138,28
acd_139,28
acd_140,27
acd_141,28
acd_142,28
acd_143,28
acd_144,28
acd_145,28
acd_146,27
acd_147,27
acd_148,26
acd_149,27
acd_150,27
acd_151,25
acd_152,26
acd_153,26
acd_154,26
acd_155,26
acd_156,27
acd_157,28
acd_158,28
acd_159,28
acd_160,28
acd_161,27
acd_162,27
acd_163,27
acd_164,27
acd_165,28
acd_166,28
acd_167,27
acd_168,26
acd_169,27
acd_170,27
acd_171,26
acd_172,25
acd_173,26
acd_174,26
acd_175,27
acd_176,28
acd_177,28
acd_178,28
acd_179,27
acd_180,27
acd_181,27
acd_182,27
acd_183,27
acd_184,27
acd_185,27
acd_186,27
acd_187,26
acd_188,26
acd_189,26
acd_190,26
acd_191,26
acd_192,25
acd_193,25
acd_194,24
acd_195,25
acd_196,25
acd_197,25
acd_198,25
acd_199,25
acd_200,25
acd_201,25
acd_202,24
acd_203,24
acd_204,25
acd_205,26
acd_206,28
acd_207,27
acd_208,28
acd_209,28
acd_210,28
acd_211,28
acd_212,28
acd_213,28
acd_214,29
acd_215,29
acd_216,29
acd_217,29
acd_218,29
acd_219,30
acd_220,29
acd_221,30
acd_222,31
acd_223,30
aek_032,33
aek_033,31
aek_034,30
aek_035,30
aek_036,30
aek_037,30
aek_038,29
aek_039,28
aek_040,29
aek_041,29
aek_042,27
aek_043,29
aek_044,25
aek_045,25
aek_046,28
aek_047,26
aek_048,28
aek_049,28
aek_050,28
aek_051,26
aek_052,27
aek_053,29
aek_054,27
aek_055,27
aek_056,30
aek_057,29
aek_058,29
aek_059,29
aek_060,31
aek_061,30
aek_062,31
aek_063,32
aek_064,39
aek_065,39
aek_066,40
aek_067,42
aek_068,40
aek_069,35
aek_070,39
aek_071,43
aek_072,53
aek_073,38
aek_074,33
aek_075,33
aek_076,33
aek_077,33
aek_078,33
aek_079,32
aek_080,32
aek_081,31
aek_082,32
aek_083,31
aek_084,30
aek_085,31
aek_086,32
aek_087,31
aek_088,29
aek_089,29
aek_090,31
aek_091,30
aek_092,30
aek_093,29
aek_094,29
aek_095,30
aek_096,28
aek_097,28
aek_098,28
aek_099,29
aek_100,29
aek_101,29
aek_102,30
aek_103,31
aek_104,32
aek_105,32
aek_106,32
aek_107,33
agb_000,47
agb_001,39
agb_002,46
agb_003,42
agb_004,40
agb_005,37
agb_006,38
agb_007,36
agb_008,43
agb_009,48
agb_010,47
agb_011,48
agb_012,47
agb_013,46
agb_014,47
agb_015,45
agb_016,42
agb_017,40
agb_018,38
agb_019,39
agb_020,40
agb_021,35
agb_022,34
agb_023,34
agb_024,33
agb_025,31
agb_026,31
agb_027,33
agb_028,35
agb_029,35
agb_030,40
agb_031,35
agb_032,33
agb_033,34
agb_034,31
agb_035,31
agb_036,31
agb_037,31
agb_038,30
agb_039,38
agb_040,45
agb_041,44
agb_042,43
agb_043,33
agb_044,32
agb_045,33
agb_046,34
agb_047,34
agb_048,35
agb_049,39
agb_050,43
agb_051,37
agb_052,39
agb_053,38
agb_054,38
agb_055,38
agb_056,37
agb_057,37
agb_058,34
agb_059,34
agb_060,38
agb_061,38
agb_062,34
agb_063,38
agb_064,41
agb_065,45
agb_066,44
agb_067,48
agb_068,74
agb_069,64
agb_070,65
agb_071,73
agb_072,68
agb_073,70
agb_074,69
agb_075,68
agb_076,70
agb_077,69
agb_078,65
agb_079,67
agb_080,69
agb_081,69
agb_082,66
agb_083,62
