image_id,wind_speed
acd_123,26
acd_124,26
acd_125,26
acd_126,26
acd_127,26
acd_128,26
acd_129,26
acd_130,26
acd_131,26
acd_132,26
acd_133,26
acd_134,25
acd_135,26
acd_136,25
acd_137,27
acd_138,28
acd_139,28
acd_140,29
acd_141,28
acd_142,28
acd_143,27
acd_144,27
acd_145,28
acd_146,28
acd_147,28
acd_148,28
acd_149,28
acd_150,27
acd_151,26
acd_152,26
acd_153,26
acd_154,26
acd_155,25
acd_156,26
acd_157,27
acd_158,27
acd_159,27
acd_160,26
acd_161,27
acd_162,27
acd_163,26
acd_164,27
acd_165,27
acd_166,27
acd_167,26
acd_168,26
acd_169,26
acd_170,25
acd_171,24
acd_172,25
acd_173,25
acd_174,25
acd_175,25
acd_176,26
acd_177,26
acd_178,27
acd_179,26
acd_180,28
acd_181,27
acd_182,27
acd_183,27
acd_184,27
acd_185,27
acd_186,28
acd_187,28
acd_188,28
acd_189,27
acd_190,27
acd_191,28
acd_192,27
acd_193,27
acd_194,26
acd_195,27
acd_196,27
acd_197,27
acd_198,28
acd_199,27
acd_200,27
acd_201,27
acd_202,28
acd_203,28
acd_204,29
acd_205,29
acd_206,32
acd_207,33
acd_208,31
acd_209,32
acd_210,32
acd_211,31
acd_212,30
acd_213,31
acd_214,32
acd_215,30
acd_216,32
acd_217,32
acd_218,31
acd_219,34
acd_220,34
acd_221,34
acd_222,35
acd_223,34
aek_032,31
aek_033,32
aek_034,32
aek_035,34
aek_036,33
aek_037,33
aek_038,34
aek_039,34
aek_040,33
aek_041,32
aek_042,34
aek_043,34
aek_044,36
aek_045,31
aek_046,30
aek_047,29
aek_048,29
aek_049,26
aek_050,25
aek_051,26
aek_052,26
aek_053,27
aek_054,28
aek_055,29
aek_056,28
aek_057,31
aek_058,34
aek_059,36
aek_060,35
aek_061,35
aek_062,35
aek_063,36
aek_064,33
aek_065,36
aek_066,41
aek_067,40
aek_068,42
aek_069,41
aek_070,32
aek_071,33
aek_072,31
aek_073,32
aek_074,33
aek_075,34
aek_076,33
aek_077,34
aek_078,33
aek_079,33
aek_080,30
aek_081,31
aek_082,34
aek_083,35
aek_084,32
aek_085,33
aek_086,35
aek_087,35
aek_088,33
aek_089,33
aek_090,33
aek_091,33
aek_092,32
aek_093,30
aek_094,29
aek_095,29
aek_096,29
aek_097,27
aek_098,27
aek_099,27
aek_100,28
aek_101,27
aek_102,30
aek_103,29
aek_104,31
aek_105,28
aek_106,28
aek_107,30
agb_000,43
agb_001,42
agb_002,41
agb_003,42
agb_004,42
agb_005,36
agb_006,34
agb_007,33
agb_008,39
agb_009,51
agb_010,50
agb_011,49
agb_012,49
agb_013,50
agb_014,49
agb_015,48
agb_016,48
agb_017,47
agb_018,43
agb_019,45
agb_020,45
agb_021,43
agb_022,37
agb_023,37
agb_024,34
agb_025,34
agb_026,34
agb_027,34
agb_028,36
agb_029,37
agb_030,34
agb_031,37
agb_032,35
agb_033,36
agb_034,36
agb_035,38
agb_036,38
agb_037,40
agb_038,40
agb_039,39
agb_040,43
agb_041,45
agb_042,43
agb_043,35
agb_044,36
agb_045,34
agb_046,35
agb_047,37
agb_048,40
agb_049,42
agb_050,43
agb_051,43
agb_052,46
agb_053,46
agb_054,45
agb_055,44
agb_056,42
agb_057,43
agb_058,43
agb_059,41
agb_060,39
agb_061,37
agb_062,40
agb_063,41
agb_064,37
agb_065,41
agb_066,39
agb_067,47
agb_068,42
agb_069,43
agb_070,34
agb_071,36
agb_072,52
agb_073,64
agb_074,61
agb_075,67
agb_076,64
agb_077,64
agb_078,68
agb_079,74
agb_080,74
agb_081,76
agb_082,73
agb_083,75
agb_084,73
agb_085,81
agb_086,84
agb_087,86
agb_088,78
agb_089,74
agb_090,77
agb_091,71
agb_092,79
agb_093,78
agb_094,86
agb_095,86
agb_096,80
agb_097,74
agb_098,76
agb_099,75
agb_100,76
agb_101,77
agb_102,83
agb_103,95
agb_104,85
agb_105,80
agb_106,81
agb_107,78
agb_108,78
agb_109,84
agb_110,87
agb_111,90
agb_112,89
agb_113,93
agb_114,98
agb_115,99
agb_116,92
agb_117,92
agb_118,86
agb_119,92
agb_120,91
agb_121,88
agb_122,88
agb_123,86
agb_124,86
agb_125,86
agb_126,88
agb_127,87
agb_128,91
agb_129,90
agb_130,93
agb_131,91
agb_132,92
agl_129,47
agl_130,41
agl_131,48
agl_132,49
agl_133,52
agl_134,50
agl_135,38
agl_136,36
agl_137,36
agl_138,36
agl_139,35
agl_140,37
agl_141,47
agl_142,46
agl_143,50
agl_144,34
agl_145,34
agl_146,35
agl_147,46
agl_148,43
agl_149,39
agl_150,42
agl_151,42
agl_152,38
agl_153,40
agl_154,42
agl_155,46
agl_156,44
agl_157,33
agl_158,30
agl_159,31
agl_160,29
agl_161,28
agl_162,29
agl_163,38
agl_164,43
agl_165,45
agl_166,55
agl_167,56
agl_168,55
agl_169,54
agl_170,47
agl_171,51
agl_172,50
agl_173,45
agl_174,53
agl_175,50
agl_176,51
agl_177,59
agl_178,51
agl_179,61
agl_180,62
agl_181,64
agl_182,54
agl_183,61
agl_184,57
agl_185,57
agl_186,53
agl_187,50
agl_188,49
agl_189,53
agl_190,51
agl_191,54
agl_192,57
agl_193,54
agl_194,55
agl_195,58
agl_196,56
agl_197,58
agl_198,62
agl_199,60
agl_200,59
agl_201,60
agl_202,60
agl_203,55
agl_204,50
agl_205,48
agl_206,47
agl_207,52
agl_208,53
agl_209,54
agl_210,52
agl_211,56
agl_212,48
agl_213,57
agl_214,58
agl_215,52
agl_216,38
agl_217,38
agl_218,37
agl_219,37
agl_220,34
agl_221,34
agl_222,32
agl_223,30
agl_224,30
agl_225,31
agl_226,31
agl_227,31
agl_228,32
agl_229,31
agl_230,32
agl_231,32
agl_232,34
agl_233,36
agl_234,36
agl_235,35
agl_236,36
agl_237,36
agl_238,41
agl_239,36
agl_240,33
agl_241,33
agl_242,35
agl_243,35
agl_244,42
agl_245,40
agl_246,41
agl_247,41
agl_248,44
agl_249,43
agl_250,43
agl_251,48
agl_252,56
agl_253,55
agl_254,51
agl_255,49
agl_256,52
agl_257,52
agl_258,55
agl_259,56
agl_260,56
agl_261,60
agl_262,63
agl_263,61
agl_264,61
agl_265,61
agl_266,60
agl_267,63
agl_268,62
agl_269,58
agl_270,59
agl_271,58
agl_272,56
agl_273,54
agl_274,50
agl_275,52
agl_276,54
agl_277,58
agl_278,56
agl_279,56
agl_280,53
agl_281,52
agl_282,52
agl_283,56
agl_284,55
agl_285,53
agl_286,52
agl_287,48
agl_288,50
agl_289,48
agl_290,48
agl_291,47
agl_292,46
agl_293,46
agl_294,46
agl_295,46
agl_296,46
agl_297,46
agl_298,45
agl_299,46
agl_300,44
agl_301,45
agl_302,45
agl_303,45
agl_304,44
agl_305,43
agl_306,43
agl_307,44
agl_308,45
agl_309,52
agl_310,51
agl_311,47
agl_312,49
agl_313,49
agl_314,48
agl_315,48
agl_316,50
agl_317,48
agl_318,50
agl_319,50
agl_320,52
agl_321,52
agl_322,53
agl_323,48
agl_324,49
agl_325,49
agl_326,49
agl_327,48
agl_328,49
agl_329,51
agl_330,52
agl_331,52
agl_332,53
agl_333,52
agl_334,55
agl_335,55
agl_336,55
agl_337,56
agl_338,56
agl_339,53
agl_340,54
agl_341,52
agl_342,53
agl_343,53
