image_id,wind_speed
acd_123,38
acd_124,35
acd_125,36
acd_126,32
acd_127,35
acd_128,34
acd_129,33
acd_130,35
acd_131,32
acd_132,32
acd_133,37
acd_134,38
acd_135,38
acd_136,35
acd_137,35
acd_138,34
acd_139,36
acd_140,33
acd_141,36
acd_142,36
acd_143,29
acd_144,30
acd_145,32
acd_146,38
acd_147,34
acd_148,29
acd_149,35
acd_150,38
acd_151,35
acd_152,35
acd_153,35
acd_154,38
acd_155,33
acd_156,35
acd_157,35
acd_158,33
acd_159,36
acd_160,35
acd_161,34
acd_162,35
acd_163,35
acd_164,34
acd_165,37
acd_166,36
acd_167,32
acd_168,32
acd_169,34
acd_170,35
acd_171,32
acd_172,34
acd_173,32
acd_174,31
acd_175,32
acd_176,29
acd_177,37
acd_178,37
acd_179,34
acd_180,38
acd_181,36
acd_182,33
acd_183,38
acd_184,36
acd_185,32
acd_186,30
acd_187,34
acd_188,38
acd_189,35
acd_190,35
acd_191,35
acd_192,29
acd_193,34
acd_194,32
acd_195,35
acd_196,31
acd_197,37
acd_198,36
acd_199,32
acd_200,35
acd_201,32
acd_202,35
acd_203,35
acd_204,37
acd_205,32
acd_206,35
acd_207,34
acd_208,34
acd_209,37
acd_210,37
acd_211,32
acd_212,37
acd_213,34
acd_214,34
acd_215,31
acd_216,32
acd_217,32
acd_218,38
acd_219,36
acd_220,36
acd_221,38
acd_222,35
acd_223,33
aek_032,36
aek_033,38
aek_034,37
aek_035,35
aek_036,34
aek_037,28
aek_038,34
aek_039,35
aek_040,32
aek_041,35
aek_042,28
aek_043,35
aek_044,36
aek_045,34
aek_046,34
aek_047,36
aek_048,32
aek_049,35
aek_050,36
aek_051,36
aek_052,36
aek_053,29
aek_054,29
aek_055,38
aek_056,34
aek_057,32
aek_058,34
aek_059,38
aek_060,34
aek_061,38
aek_062,37
aek_063,36
aek_064,32
aek_065,32
aek_066,35
aek_067,37
aek_068,33
aek_069,36
aek_070,33
aek_071,36
aek_072,35
aek_073,36
aek_074,32
aek_075,35
aek_076,33
aek_077,36
aek_078,33
aek_079,32
aek_080,36
aek_081,29
aek_082,35
aek_083,32
aek_084,31
aek_085,33
aek_086,31
aek_087,36
aek_088,36
aek_089,35
aek_090,36
aek_091,31
aek_092,36
aek_093,37
aek_094,33
aek_095,33
aek_096,34
aek_097,37
aek_098,33
aek_099,36
aek_100,34
aek_101,36
aek_102,34
aek_103,36
aek_104,36
aek_105,39
aek_106,35
aek_107,29
agb_000,32
agb_001,38
agb_002,31
agb_003,34
agb_004,37
agb_005,34
agb_006,31
agb_007,38
agb_008,37
agb_009,32
agb_010,35
agb_011,36
agb_012,33
agb_013,32
agb_014,35
agb_015,37
agb_016,35
agb_017,33
agb_018,31
agb_019,37
agb_020,35
agb_021,35
agb_022,35
agb_023,35
agb_024,36
agb_025,29
agb_026,36
agb_027,34
agb_028,37
agb_029,34
agb_030,35
agb_031,37
agb_032,38
agb_033,32
agb_034,35
agb_035,36
agb_036,30
agb_037,34
agb_038,32
agb_039,33
agb_040,37
agb_041,35
agb_042,34
agb_043,35
agb_044,32
agb_045,32
agb_046,35
agb_047,33
agb_048,30
agb_049,35
agb_050,36
agb_051,32
agb_052,33
agb_053,32
agb_054,35
agb_055,32
agb_056,35
agb_057,35
agb_058,35
agb_059,35
agb_060,36
agb_061,35
agb_062,29
agb_063,36
agb_064,36
agb_065,33
agb_066,33
agb_067,35
agb_068,34
agb_069,26
agb_070,35
agb_071,32
agb_072,30
agb_073,35
agb_074,30
agb_075,28
agb_076,35
agb_077,35
agb_078,31
agb_079,55
agb_080,50
agb_081,51
agb_082,53
agb_083,53
agb_084,50
agb_085,53
agb_086,57
agb_087,58
agb_088,57
agb_089,51
agb_090,53
agb_091,48
agb_092,55
agb_093,55
