image_id,wind_speed
acd_123,30
acd_124,30
acd_125,30
acd_126,29
acd_127,29
acd_128,28
acd_129,28
acd_130,30
acd_131,30
acd_132,29
acd_133,28
acd_134,31
acd_135,29
acd_136,27
acd_137,29
acd_138,35
acd_139,34
acd_140,36
acd_141,36
acd_142,30
acd_143,29
acd_144,30
acd_145,30
acd_146,29
acd_147,29
acd_148,29
acd_149,28
acd_150,28
acd_151,29
acd_152,29
acd_153,29
acd_154,30
acd_155,30
acd_156,31
acd_157,30
acd_158,29
acd_159,29
acd_160,29
acd_161,28
acd_162,29
acd_163,27
acd_164,27
acd_165,27
acd_166,27
acd_167,27
acd_168,27
acd_169,26
acd_170,25
acd_171,26
acd_172,27
acd_173,28
acd_174,28
acd_175,27
acd_176,27
acd_177,27
acd_178,27
acd_179,27
acd_180,26
acd_181,27
acd_182,27
acd_183,27
acd_184,28
acd_185,36
acd_186,34
acd_187,33
acd_188,30
acd_189,30
acd_190,28
acd_191,28
acd_192,28
acd_193,28
acd_194,28
acd_195,28
acd_196,28
acd_197,28
acd_198,27
acd_199,28
acd_200,29
acd_201,29
acd_202,28
acd_203,29
acd_204,28
acd_205,30
acd_206,29
acd_207,29
acd_208,31
acd_209,29
acd_210,28
acd_211,28
acd_212,28
acd_213,28
acd_214,27
acd_215,27
acd_216,29
acd_217,29
acd_218,29
acd_219,30
acd_220,32
acd_221,30
acd_222,28
acd_223,30
aek_032,24
aek_033,26
aek_034,25
aek_035,28
aek_036,33
aek_037,30
aek_038,31
aek_039,45
aek_040,49
aek_041,41
aek_042,39
aek_043,42
aek_044,32
aek_045,34
aek_046,26
aek_047,27
aek_048,26
aek_049,25
aek_050,26
aek_051,27
aek_052,27
aek_053,33
aek_054,28
aek_055,26
aek_056,26
aek_057,27
aek_058,31
aek_059,29
aek_060,31
aek_061,33
aek_062,33
aek_063,42
aek_064,34
aek_065,33
aek_066,34
aek_067,35
aek_068,34
aek_069,32
aek_070,27
aek_071,28
aek_072,28
aek_073,30
aek_074,29
aek_075,30
aek_076,31
aek_077,32
aek_078,32
aek_079,31
aek_080,32
aek_081,33
aek_082,33
aek_083,31
aek_084,33
aek_085,33
aek_086,34
aek_087,33
aek_088,31
aek_089,34
aek_090,40
aek_091,37
aek_092,35
aek_093,31
aek_094,28
aek_095,29
aek_096,31
aek_097,30
aek_098,28
aek_099,29
aek_100,29
aek_101,27
aek_102,27
aek_103,28
aek_104,31
aek_105,35
aek_106,34
aek_107,32
agb_000,39
agb_001,40
agb_002,40
agb_003,40
agb_004,39
agb_005,42
agb_006,44
agb_007,45
agb_008,44
agb_009,38
agb_010,48
agb_011,53
agb_012,42
agb_013,51
agb_014,49
agb_015,62
agb_016,60
agb_017,50
agb_018,38
agb_019,35
agb_020,37
agb_021,33
agb_022,34
agb_023,35
agb_024,37
agb_025,37
agb_026,39
agb_027,40
agb_028,40
agb_029,38
agb_030,40
agb_031,42
agb_032,40
agb_033,41
agb_034,38
agb_035,36
agb_036,37
agb_037,39
agb_038,38
agb_039,36
agb_040,41
agb_041,40
agb_042,40
agb_043,37
agb_044,47
agb_045,47
agb_046,43
agb_047,49
agb_048,39
agb_049,44
agb_050,41
agb_051,44
agb_052,46
agb_053,48
agb_054,37
agb_055,48
agb_056,38
agb_057,43
agb_058,34
agb_059,32
agb_060,35
agb_061,37
agb_062,40
agb_063,53
agb_064,54
agb_065,49
agb_066,62
agb_067,62
agb_068,46
agb_069,45
agb_070,55
agb_071,52
agb_072,53
agb_073,54
agb_074,56
agb_075,58
agb_076,56
agb_077,60
agb_078,63
agb_079,66
agb_080,72
agb_081,71
agb_082,64
agb_083,69
agb_084,80
agb_085,85
agb_086,81
agb_087,86
agb_088,85
agb_089,82
agb_090,68
agb_091,76
agb_092,95
agb_093,70
agb_094,85
agb_095,87
agb_096,81
agb_097,75
agb_098,74
agb_099,77
agb_100,80
agb_101,82
agb_102,96
agb_103,100
agb_104,78
agb_105,76
agb_106,82
agb_107,85
agb_108,97
agb_109,103
agb_110,94
agb_111,97
agb_112,106
agb_113,117
agb_114,116
agb_115,112
agb_116,106
agb_117,108
agb_118,95
agb_119,96
agb_120,93
agb_121,92
agb_122,92
agb_123,93
agb_124,93
