image_id,wind_speed
acd_123,27
acd_124,30
acd_125,29
acd_126,29
acd_127,26
acd_128,26
acd_129,27
acd_130,27
acd_131,30
acd_132,28
acd_133,25
acd_134,28
acd_135,25
acd_136,25
acd_137,26
acd_138,28
acd_139,29
acd_140,28
acd_141,28
acd_142,28
acd_143,26
acd_144,25
acd_145,28
acd_146,27
acd_147,26
acd_148,26
acd_149,24
acd_150,25
acd_151,24
acd_152,24
acd_153,25
acd_154,24
acd_155,26
acd_156,26
acd_157,27
acd_158,26
acd_159,24
acd_160,25
acd_161,24
acd_162,24
acd_163,25
acd_164,24
acd_165,24
acd_166,24
acd_167,24
acd_168,24
acd_169,26
acd_170,26
acd_171,25
acd_172,25
acd_173,27
acd_174,27
acd_175,26
acd_176,28
acd_177,26
acd_178,29
acd_179,29
acd_180,27
acd_181,28
acd_182,29
acd_183,29
acd_184,29
acd_185,28
acd_186,29
acd_187,26
acd_188,27
acd_189,27
acd_190,27
acd_191,25
acd_192,28
acd_193,27
acd_194,28
acd_195,26
acd_196,29
acd_197,30
acd_198,31
acd_199,31
acd_200,31
acd_201,31
acd_202,28
acd_203,29
acd_204,28
acd_205,30
acd_206,29
acd_207,30
acd_208,29
acd_209,30
acd_210,28
acd_211,28
acd_212,28
acd_213,28
acd_214,27
acd_215,29
acd_216,29
acd_217,29
acd_218,28
acd_219,29
acd_220,29
acd_221,29
acd_222,29
acd_223,30
aek_032,25
aek_033,35
aek_034,30
aek_035,45
aek_036,49
aek_037,32
aek_038,36
aek_039,37
aek_040,37
aek_041,42
aek_042,41
aek_043,40
aek_044,37
aek_045,45
aek_046,38
aek_047,31
aek_048,29
aek_049,34
aek_050,31
aek_051,28
aek_052,27
aek_053,32
aek_054,33
aek_055,31
aek_056,32
aek_057,31
aek_058,32
aek_059,31
aek_060,27
aek_061,30
aek_062,35
aek_063,34
aek_064,31
aek_065,31
aek_066,32
aek_067,32
aek_068,32
aek_069,31
aek_070,29
aek_071,33
aek_072,31
aek_073,31
aek_074,28
aek_075,32
aek_076,32
aek_077,31
aek_078,34
aek_079,31
aek_080,34
aek_081,31
aek_082,31
aek_083,31
aek_084,30
aek_085,29
aek_086,33
aek_087,31
aek_088,33
aek_089,36
aek_090,38
aek_091,32
aek_092,34
aek_093,31
aek_094,30
aek_095,29
aek_096,30
aek_097,31
aek_098,27
aek_099,28
aek_100,28
aek_101,27
aek_102,26
aek_103,27
aek_104,31
aek_105,31
aek_106,32
aek_107,30
agb_000,38
agb_001,42
agb_002,46
agb_003,43
agb_004,44
agb_005,47
agb_006,49
agb_007,43
agb_008,46
agb_009,46
agb_010,44
agb_011,47
agb_012,42
agb_013,42
agb_014,42
agb_015,54
agb_016,52
agb_017,49
agb_018,41
agb_019,42
agb_020,45
agb_021,39
agb_022,45
agb_023,47
agb_024,39
agb_025,39
agb_026,43
agb_027,41
agb_028,43
agb_029,40
agb_030,36
agb_031,36
agb_032,37
agb_033,36
agb_034,33
agb_035,35
agb_036,37
agb_037,39
agb_038,38
agb_039,35
agb_040,39
agb_041,37
agb_042,41
agb_043,39
agb_044,38
agb_045,42
agb_046,35
agb_047,33
agb_048,38
agb_049,39
agb_050,41
agb_051,36
agb_052,39
agb_053,42
agb_054,39
agb_055,38
agb_056,36
agb_057,36
agb_058,36
agb_059,36
agb_060,38
agb_061,36
agb_062,42
agb_063,50
agb_064,50
agb_065,54
agb_066,52
agb_067,53
agb_068,53
agb_069,61
agb_070,55
agb_071,56
agb_072,54
agb_073,54
agb_074,55
agb_075,58
agb_076,61
agb_077,53
agb_078,59
agb_079,60
agb_080,60
agb_081,55
agb_082,64
agb_083,65
agb_084,76
agb_085,81
agb_086,77
agb_087,78
agb_088,73
agb_089,75
agb_090,72
agb_091,66
agb_092,87
agb_093,67
agb_094,72
agb_095,80
agb_096,83
agb_097,83
agb_098,76
agb_099,73
agb_100,79
agb_101,82
agb_102,83
agb_103,84
agb_104,80
agb_105,77
agb_106,80
agb_107,78
agb_108,87
agb_109,99
agb_110,95
agb_111,86
agb_112,97
agb_113,103
agb_114,108
agb_115,104
agb_116,91
agb_117,92
agb_118,80
agb_119,85
agb_120,83
agb_121,83
agb_122,85
agb_123,84
agb_124,83
agb_125,80
agb_126,81
agb_127,81
agb_128,89
agb_129,89
agb_130,93
agb_131,85
agb_132,82
agl_129,53
agl_130,46
agl_131,48
agl_132,49
agl_133,51
agl_134,47
agl_135,42
agl_136,38
agl_137,38
agl_138,34
agl_139,35
agl_140,33
agl_141,38
agl_142,36
agl_143,46
agl_144,36
agl_145,39
agl_146,42
agl_147,46
agl_148,45
agl_149,48
agl_150,48
agl_151,47
agl_152,38
agl_153,42
agl_154,42
agl_155,41
agl_156,40
agl_157,35
agl_158,43
agl_159,44
agl_160,41
agl_161,37
agl_162,50
agl_163,45
agl_164,44
agl_165,42
agl_166,43
agl_167,52
agl_168,49
agl_169,51
agl_170,49
agl_171,53
agl_172,47
agl_173,49
agl_174,51
agl_175,53
agl_176,53
agl_177,45
agl_178,44
agl_179,41
agl_180,63
agl_181,74
agl_182,57
agl_183,48
agl_184,41
agl_185,49
agl_186,54
agl_187,54
agl_188,47
agl_189,45
agl_190,46
agl_191,48
agl_192,52
agl_193,48
agl_194,51
agl_195,48
agl_196,50
agl_197,52
agl_198,57
agl_199,50
agl_200,64
agl_201,61
agl_202,58
agl_203,59
agl_204,55
agl_205,44
agl_206,45
agl_207,53
agl_208,60
agl_209,53
agl_210,52
agl_211,50
agl_212,55
agl_213,59
agl_214,58
agl_215,53
agl_216,53
agl_217,42
agl_218,45
agl_219,48
agl_220,54
agl_221,45
agl_222,36
agl_223,34
agl_224,29
agl_225,31
agl_226,31
agl_227,33
agl_228,33
agl_229,42
agl_230,35
agl_231,33
agl_232,44
agl_233,43
agl_234,46
agl_235,36
agl_236,43
agl_237,37
agl_238,47
agl_239,31
agl_240,35
agl_241,32
agl_242,36
agl_243,36
agl_244,40
agl_245,37
agl_246,37
agl_247,40
agl_248,42
agl_249,48
agl_250,44
agl_251,46
agl_252,56
agl_253,57
agl_254,61
agl_255,59
agl_256,57
agl_257,57
agl_258,55
agl_259,54
agl_260,60
agl_261,56
agl_262,56
agl_263,54
agl_264,58
agl_265,47
agl_266,57
agl_267,59
agl_268,54
agl_269,53
agl_270,52
agl_271,53
agl_272,48
agl_273,56
agl_274,63
agl_275,51
agl_276,54
agl_277,55
agl_278,54
agl_279,50
agl_280,47
agl_281,52
agl_282,56
agl_283,64
agl_284,60
agl_285,53
agl_286,55
agl_287,45
agl_288,57
agl_289,51
agl_290,48
agl_291,46
agl_292,41
agl_293,39
agl_294,37
agl_295,43
agl_296,43
agl_297,40
agl_298,41
agl_299,43
agl_300,44
agl_301,45
