image_id,wind_speed
acd_123,26
acd_124,28
acd_125,27
acd_126,26
acd_127,29
acd_128,30
acd_129,29
acd_130,28
acd_131,28
acd_132,30
acd_133,29
acd_134,29
acd_135,30
acd_136,31
acd_137,35
acd_138,33
acd_139,29
acd_140,29
acd_141,29
acd_142,37
acd_143,36
acd_144,34
acd_145,31
acd_146,30
acd_147,31
acd_148,31
acd_149,31
acd_150,30
acd_151,28
acd_152,26
acd_153,25
acd_154,26
acd_155,29
acd_156,33
acd_157,30
acd_158,29
acd_159,29
acd_160,29
acd_161,28
acd_162,27
acd_163,30
acd_164,30
acd_165,31
acd_166,28
acd_167,27
acd_168,27
acd_169,26
acd_170,27
acd_171,26
acd_172,28
acd_173,27
acd_174,27
acd_175,27
acd_176,30
acd_177,31
acd_178,27
acd_179,30
acd_180,25
acd_181,25
acd_182,26
acd_183,28
acd_184,28
acd_185,32
acd_186,29
acd_187,27
acd_188,27
acd_189,27
acd_190,27
acd_191,29
acd_192,30
acd_193,29
acd_194,31
acd_195,33
acd_196,32
acd_197,31
acd_198,30
acd_199,33
acd_200,33
acd_201,36
acd_202,35
acd_203,37
acd_204,39
acd_205,31
acd_206,28
acd_207,28
acd_208,30
acd_209,29
acd_210,31
acd_211,26
acd_212,25
acd_213,31
acd_214,30
acd_215,25
acd_216,24
acd_217,24
acd_218,28
acd_219,28
acd_220,31
acd_221,31
acd_222,28
acd_223,29
aek_032,32
aek_033,31
aek_034,32
aek_035,40
aek_036,44
aek_037,34
aek_038,31
aek_039,42
aek_040,46
aek_041,37
aek_042,43
aek_043,46
aek_044,41
aek_045,37
aek_046,40
aek_047,34
aek_048,28
aek_049,31
aek_050,29
aek_051,25
aek_052,26
aek_053,27
aek_054,27
aek_055,27
aek_056,25
aek_057,28
aek_058,33
aek_059,33
aek_060,29
aek_061,34
aek_062,27
aek_063,32
aek_064,33
aek_065,31
aek_066,33
aek_067,32
aek_068,33
aek_069,29
aek_070,30
aek_071,31
aek_072,29
aek_073,31
aek_074,29
aek_075,28
aek_076,31
aek_077,34
aek_078,33
aek_079,31
aek_080,28
aek_081,33
aek_082,29
aek_083,28
aek_084,28
aek_085,29
aek_086,29
aek_087,33
aek_088,32
aek_089,37
aek_090,35
aek_091,28
aek_092,33
aek_093,38
aek_094,29
aek_095,30
aek_096,27
aek_097,24
aek_098,26
aek_099,29
aek_100,30
aek_101,30
aek_102,27
aek_103,31
aek_104,40
aek_105,34
aek_106,35
aek_107,31
agb_000,36
agb_001,36
agb_002,39
agb_003,36
agb_004,35
agb_005,39
agb_006,38
agb_007,38
agb_008,41
agb_009,49
agb_010,55
agb_011,54
agb_012,52
agb_013,48
agb_014,44
agb_015,53
agb_016,54
agb_017,52
agb_018,46
agb_019,43
agb_020,50
agb_021,46
agb_022,49
agb_023,45
agb_024,45
agb_025,38
agb_026,41
agb_027,45
agb_028,47
agb_029,41
agb_030,39
agb_031,36
agb_032,43
agb_033,44
agb_034,39
agb_035,31
agb_036,32
agb_037,33
agb_038,34
agb_039,32
agb_040,37
agb_041,38
agb_042,36
agb_043,37
agb_044,39
agb_045,37
agb_046,33
agb_047,36
agb_048,32
agb_049,36
agb_050,35
agb_051,36
agb_052,31
agb_053,41
agb_054,40
agb_055,38
agb_056,34
agb_057,38
agb_058,37
agb_059,38
agb_060,40
agb_061,44
agb_062,45
agb_063,48
agb_064,44
agb_065,49
agb_066,54
agb_067,58
agb_068,56
agb_069,50
agb_070,58
agb_071,54
agb_072,51
agb_073,55
agb_074,64
agb_075,61
agb_076,55
agb_077,56
agb_078,47
agb_079,61
agb_080,61
agb_081,64
agb_082,65
agb_083,65
agb_084,70
agb_085,77
agb_086,84
agb_087,93
agb_088,96
agb_089,80
agb_090,77
agb_091,83
agb_092,100
agb_093,80
agb_094,84
agb_095,83
agb_096,90
agb_097,86
agb_098,73
agb_099,85
agb_100,88
agb_101,84
agb_102,90
agb_103,97
agb_104,92
agb_105,88
agb_106,89
agb_107,91
agb_108,97
agb_109,97
agb_110,95
agb_111,94
agb_112,96
agb_113,108
agb_114,108
agb_115,100
agb_116,100
agb_117,97
agb_118,95
agb_119,94
agb_120,92
agb_121,88
agb_122,84
agb_123,91
agb_124,89
agb_125,94
agb_126,88
agb_127,89
agb_128,94
agb_129,95
agb_130,96
agb_131,101
agb_132,94
agl_129,47
agl_130,47
agl_131,47
agl_132,51
agl_133,51
agl_134,41
agl_135,40
agl_136,38
agl_137,41
agl_138,37
agl_139,39
agl_140,40
agl_141,42
agl_142,39
agl_143,41
agl_144,37
agl_145,40
agl_146,40
agl_147,40
agl_148,44
agl_149,44
agl_150,45
agl_151,46
agl_152,41
agl_153,41
agl_154,41
agl_155,42
agl_156,42
agl_157,37
agl_158,38
agl_159,40
agl_160,37
agl_161,38
agl_162,39
agl_163,34
agl_164,35
agl_165,36
agl_166,38
agl_167,49
agl_168,45
agl_169,46
agl_170,48
agl_171,50
agl_172,49
agl_173,50
agl_174,54
agl_175,55
agl_176,55
agl_177,48
agl_178,41
agl_179,45
agl_180,48
agl_181,51
agl_182,55
agl_183,45
agl_184,50
agl_185,56
agl_186,60
agl_187,59
agl_188,60
agl_189,49
agl_190,53
agl_191,59
agl_192,64
agl_193,56
agl_194,58
agl_195,58
agl_196,53
agl_197,54
agl_198,53
agl_199,60
agl_200,60
agl_201,59
agl_202,61
agl_203,60
agl_204,55
agl_205,54
agl_206,55
agl_207,58
agl_208,56
agl_209,53
agl_210,51
agl_211,52
agl_212,53
agl_213,57
agl_214,58
agl_215,52
agl_216,50
agl_217,50
agl_218,45
agl_219,46
agl_220,57
agl_221,45
agl_222,42
agl_223,41
agl_224,38
agl_225,39
agl_226,43
agl_227,44
agl_228,43
agl_229,44
agl_230,41
agl_231,40
agl_232,41
agl_233,40
agl_234,47
agl_235,40
agl_236,43
agl_237,46
agl_238,41
agl_239,36
agl_240,40
agl_241,42
agl_242,42
agl_243,45
agl_244,48
agl_245,52
agl_246,52
agl_247,55
agl_248,49
agl_249,46
agl_250,49
agl_251,53
agl_252,61
agl_253,54
agl_254,63
agl_255,62
agl_256,55
agl_257,58
agl_258,61
agl_259,53
agl_260,59
agl_261,64
agl_262,65
agl_263,61
agl_264,59
agl_265,49
agl_266,58
agl_267,63
agl_268,61
agl_269,58
agl_270,54
agl_271,53
agl_272,52
agl_273,60
agl_274,64
agl_275,59
agl_276,56
agl_277,51
agl_278,52
agl_279,46
agl_280,55
agl_281,53
agl_282,54
agl_283,63
agl_284,56
agl_285,61
agl_286,60
agl_287,55
agl_288,51
agl_289,49
agl_290,56
agl_291,56
agl_292,50
agl_293,45
agl_294,48
agl_295,53
agl_296,50
agl_297,50
agl_298,49
agl_299,46
agl_300,44
agl_301,49
agl_302,48
agl_303,42
agl_304,43
agl_305,41
agl_306,42
agl_307,49
agl_308,48
agl_309,49
agl_310,54
agl_311,48
agl_312,52
agl_313,45
agl_314,47
agl_315,55
agl_316,59
agl_317,59
agl_318,61
agl_319,58
agl_320,57
agl_321,56
agl_322,57
agl_323,49
agl_324,50
agl_325,52
agl_326,49
agl_327,50
agl_328,56
agl_329,58
agl_330,61
agl_331,60
agl_332,56
agl_333,55
agl_334,50
agl_335,47
agl_336,48
agl_337,55
agl_338,57
agl_339,53
agl_340,60
agl_341,52
agl_342,57
agl_343,61
agl_344,59
agl_345,57
agl_346,58
agl_347,62
agl_348,59
agl_349,58
agl_350,53
agl_351,48
agl_352,45
agl_353,47
agl_354,58
agl_355,52
agl_356,62
agl_357,60
agl_358,55
agl_359,55
agl_360,56
agl_361,60
agl_362,60
agl_363,71
agl_364,71
agl_365,70
agl_366,79
agl_367,69
agl_368,71
agl_369,76
agl_370,68
agl_371,78
agl_372,91
agl_373,87
agl_374,86
agl_375,82
agl_376,83
agl_377,88
agl_378,86
agl_379,87
agl_380,84
agl_381,88
agl_382,93
agl_383,90
agl_384,88
agl_385,96
agl_386,99
agl_387,100
agl_388,95
agl_389,94
agl_390,81
agl_391,81
agl_392,77
agl_393,66
agl_394,74
agl_395,71
agl_396,69
agl_397,64
agl_398,61
agl_399,59
agl_400,60
agl_401,54
agl_402,52
agl_403,51
agl_404,50
agl_405,49
agl_406,48
agl_407,45
agl_408,48
agl_409,58
agl_410,60
agl_411,62
agl_412,58
agl_413,52
agl_414,50
agl_415,46
agl_416,48
agl_417,49
agl_418,49
agl_419,51
agl_420,47
agl_421,52
agl_422,55
agl_423,52
agl_424,53
agl_425,55
agl_426,59
agl_427,51
agl_428,53
agl_429,52
agl_430,55
agl_431,62
agl_432,57
agl_433,51
agl_434,61
agl_435,61
agl_436,58
agl_437,58
agl_438,63
agl_439,57
agl_440,61
agl_441,60
agl_442,61
agl_443,62
agl_444,55
agl_445,53
agl_446,54
agl_447,45
agl_448,51
agl_449,55
agl_450,53
agl_451,62
agl_452,55
agl_453,46
agl_454,42
agp_000,43
agp_001,41
agp_002,47
agp_003,43
agp_004,36
agp_005,34
agp_006,35
agp_007,42
agp_008,42
agp_009,43
agp_010,45
agp_011,44
agp_012,44
agp_013,47
agp_014,50
agp_015,52
agp_016,53
agp_017,46
agp_018,48
agp_019,38
agp_020,44
agp_021,51
agp_022,44
agp_023,44
agp_024,57
agp_025,59
agp_026,59
agp_027,55
agp_028,54
