image_id,wind_speed
acd_123,27
acd_124,27
acd_125,26
acd_126,27
acd_127,26
acd_128,28
acd_129,27
acd_130,26
acd_131,26
acd_132,26
acd_133,27
acd_134,29
acd_135,28
acd_136,27
acd_137,28
acd_138,30
acd_139,28
acd_140,26
acd_141,28
acd_142,29
acd_143,27
acd_144,27
acd_145,28
acd_146,25
acd_147,27
acd_148,26
acd_149,25
acd_150,26
acd_151,25
acd_152,27
acd_153,26
acd_154,25
acd_155,27
acd_156,26
acd_157,27
acd_158,28
acd_159,29
acd_160,27
acd_161,27
acd_162,26
acd_163,26
acd_164,25
acd_165,26
acd_166,26
acd_167,28
acd_168,27
acd_169,27
acd_170,27
acd_171,26
acd_172,27
acd_173,27
acd_174,28
acd_175,29
acd_176,28
acd_177,29
acd_178,29
acd_179,26
acd_180,27
acd_181,26
acd_182,27
acd_183,29
acd_184,28
acd_185,29
acd_186,31
acd_187,29
acd_188,29
acd_189,28
acd_190,29
acd_191,31
acd_192,31
acd_193,30
acd_194,31
acd_195,28
acd_196,28
acd_197,28
acd_198,28
acd_199,30
acd_200,31
acd_201,30
acd_202,31
acd_203,31
acd_204,30
acd_205,32
acd_206,30
acd_207,29
acd_208,33
acd_209,32
acd_210,30
acd_211,28
acd_212,25
acd_213,32
acd_214,27
acd_215,25
acd_216,27
acd_217,27
acd_218,26
acd_219,27
acd_220,29
acd_221,26
acd_222,25
acd_223,22
aek_032,30
aek_033,34
aek_034,36
aek_035,43
aek_036,52
aek_037,47
aek_038,31
aek_039,37
aek_040,33
aek_041,36
aek_042,34
aek_043,43
aek_044,35
aek_045,41
aek_046,30
aek_047,32
aek_048,29
aek_049,31
aek_050,30
aek_051,25
aek_052,29
aek_053,29
aek_054,29
aek_055,32
aek_056,34
aek_057,35
aek_058,34
aek_059,33
aek_060,36
aek_061,34
aek_062,34
aek_063,32
aek_064,35
aek_065,34
aek_066,39
aek_067,35
aek_068,29
aek_069,28
aek_070,29
aek_071,31
aek_072,34
aek_073,32
aek_074,34
aek_075,34
aek_076,32
aek_077,33
aek_078,34
aek_079,33
aek_080,33
aek_081,34
aek_082,34
aek_083,32
aek_084,31
aek_085,30
aek_086,30
aek_087,26
aek_088,28
aek_089,31
aek_090,33
aek_091,27
aek_092,31
aek_093,30
aek_094,26
aek_095,28
aek_096,27
aek_097,26
aek_098,25
aek_099,27
aek_100,28
aek_101,37
aek_102,33
aek_103,30
aek_104,38
aek_105,38
aek_106,37
aek_107,34
agb_000,35
agb_001,40
agb_002,40
agb_003,38
agb_004,34
agb_005,36
agb_006,37
agb_007,35
agb_008,42
agb_009,37
agb_010,32
agb_011,35
agb_012,35
agb_013,41
agb_014,38
agb_015,52
agb_016,48
agb_017,44
agb_018,43
agb_019,43
agb_020,46
agb_021,39
agb_022,36
agb_023,39
agb_024,46
agb_025,38
agb_026,40
agb_027,43
agb_028,48
agb_029,40
agb_030,37
agb_031,38
agb_032,39
agb_033,39
agb_034,38
agb_035,38
agb_036,34
agb_037,32
agb_038,31
agb_039,25
agb_040,30
agb_041,42
agb_042,45
agb_043,38
agb_044,37
agb_045,38
agb_046,36
agb_047,36
agb_048,37
agb_049,37
agb_050,41
agb_051,37
agb_052,40
agb_053,43
agb_054,45
agb_055,42
agb_056,41
agb_057,37
agb_058,41
agb_059,35
agb_060,34
agb_061,39
agb_062,42
agb_063,45
agb_064,42
agb_065,44
agb_066,48
agb_067,55
agb_068,65
agb_069,62
agb_070,62
agb_071,63
agb_072,58
agb_073,62
agb_074,60
agb_075,56
agb_076,57
agb_077,57
agb_078,55
agb_079,61
agb_080,62
agb_081,63
agb_082,68
agb_083,55
agb_084,70
agb_085,73
agb_086,71
agb_087,79
agb_088,79
agb_089,74
agb_090,74
agb_091,78
agb_092,81
agb_093,79
agb_094,83
agb_095,88
agb_096,81
agb_097,74
agb_098,76
agb_099,75
agb_100,83
agb_101,83
agb_102,88
agb_103,94
agb_104,86
agb_105,83
agb_106,84
agb_107,88
agb_108,90
agb_109,95
agb_110,93
agb_111,86
agb_112,94
agb_113,105
agb_114,102
agb_115,105
agb_116,92
agb_117,93
agb_118,90
agb_119,94
agb_120,88
agb_121,83
agb_122,86
agb_123,84
agb_124,89
agb_125,92
agb_126,90
agb_127,90
agb_128,96
agb_129,94
agb_130,95
agb_131,94
agb_132,91
agl_129,47
agl_130,47
agl_131,47
agl_132,44
agl_133,40
agl_134,41
agl_135,45
agl_136,40
agl_137,37
agl_138,31
agl_139,31
agl_140,35
agl_141,35
agl_142,42
agl_143,44
agl_144,44
agl_145,38
agl_146,42
agl_147,55
agl_148,49
agl_149,40
agl_150,42
agl_151,47
agl_152,37
agl_153,39
agl_154,39
agl_155,39
agl_156,44
agl_157,46
agl_158,37
agl_159,44
agl_160,44
agl_161,37
agl_162,46
agl_163,40
agl_164,44
agl_165,42
agl_166,46
agl_167,53
agl_168,56
agl_169,51
agl_170,52
agl_171,55
agl_172,57
agl_173,50
agl_174,55
agl_175,52
agl_176,51
agl_177,47
agl_178,44
agl_179,42
agl_180,49
agl_181,52
agl_182,56
agl_183,45
agl_184,47
agl_185,58
agl_186,57
agl_187,54
agl_188,49
agl_189,49
agl_190,53
agl_191,56
agl_192,62
agl_193,58
agl_194,58
agl_195,53
agl_196,52
agl_197,51
agl_198,49
agl_199,53
agl_200,56
agl_201,56
agl_202,68
agl_203,62
agl_204,58
agl_205,52
agl_206,55
agl_207,58
agl_208,64
agl_209,59
agl_210,61
agl_211,62
agl_212,60
agl_213,58
agl_214,63
agl_215,52
agl_216,49
agl_217,50
agl_218,48
agl_219,47
agl_220,51
agl_221,42
agl_222,32
agl_223,32
agl_224,37
agl_225,35
agl_226,37
agl_227,37
agl_228,34
agl_229,35
agl_230,36
agl_231,37
agl_232,38
agl_233,37
agl_234,42
agl_235,40
agl_236,47
agl_237,50
agl_238,46
agl_239,37
