image_id,wind_speed
acd_123,24
acd_124,27
acd_125,27
acd_126,27
acd_127,28
acd_128,30
acd_129,30
acd_130,29
acd_131,28
acd_132,28
acd_133,29
acd_134,28
acd_135,27
acd_136,27
acd_137,28
acd_138,29
acd_139,29
acd_140,28
acd_141,29
acd_142,29
acd_143,28
acd_144,28
acd_145,27
acd_146,25
acd_147,25
acd_148,24
acd_149,25
acd_150,25
acd_151,23
acd_152,24
acd_153,23
acd_154,23
acd_155,23
acd_156,25
acd_157,25
acd_158,26
acd_159,28
acd_160,27
acd_161,25
acd_162,26
acd_163,26
acd_164,25
acd_165,27
acd_166,25
acd_167,26
acd_168,25
acd_169,26
acd_170,25
acd_171,23
acd_172,27
acd_173,27
acd_174,26
acd_175,27
acd_176,27
acd_177,27
acd_178,25
acd_179,25
acd_180,24
acd_181,25
acd_182,25
acd_183,27
acd_184,29
acd_185,28
acd_186,27
acd_187,27
acd_188,27
acd_189,25
acd_190,26
acd_191,25
acd_192,26
acd_193,26
acd_194,27
acd_195,27
acd_196,28
acd_197,29
acd_198,32
acd_199,33
acd_200,30
acd_201,32
acd_202,31
acd_203,29
acd_204,29
acd_205,30
acd_206,27
acd_207,28
acd_208,30
acd_209,30
acd_210,28
acd_211,27
acd_212,26
acd_213,28
acd_214,26
acd_215,24
acd_216,26
acd_217,25
acd_218,25
acd_219,26
acd_220,24
acd_221,26
acd_222,27
acd_223,26
aek_032,28
aek_033,42
aek_034,44
aek_035,56
aek_036,52
aek_037,41
aek_038,33
aek_039,44
aek_040,39
aek_041,46
aek_042,35
aek_043,43
aek_044,40
aek_045,40
aek_046,37
aek_047,35
aek_048,28
aek_049,24
aek_050,28
aek_051,27
aek_052,28
aek_053,31
aek_054,32
aek_055,28
aek_056,28
aek_057,28
aek_058,29
aek_059,29
aek_060,35
aek_061,39
aek_062,31
aek_063,33
aek_064,32
aek_065,32
aek_066,33
aek_067,32
aek_068,30
aek_069,29
aek_070,27
aek_071,27
aek_072,38
aek_073,33
aek_074,34
aek_075,37
aek_076,37
aek_077,41
aek_078,41
aek_079,39
aek_080,40
aek_081,39
aek_082,42
aek_083,33
aek_084,33
aek_085,32
aek_086,34
aek_087,35
aek_088,28
aek_089,37
aek_090,37
aek_091,32
aek_092,34
aek_093,29
aek_094,31
aek_095,31
aek_096,28
aek_097,28
aek_098,26
aek_099,31
aek_100,31
aek_101,32
aek_102,31
aek_103,30
aek_104,36
aek_105,32
aek_106,28
aek_107,33
agb_000,41
agb_001,46
agb_002,45
agb_003,35
agb_004,39
agb_005,42
agb_006,40
agb_007,37
agb_008,41
agb_009,44
agb_010,47
agb_011,41
agb_012,45
agb_013,49
agb_014,47
agb_015,49
agb_016,46
agb_017,46
agb_018,45
agb_019,52
agb_020,50
agb_021,49
agb_022,50
agb_023,46
agb_024,49
agb_025,46
agb_026,44
agb_027,51
agb_028,49
agb_029,46
agb_030,42
agb_031,46
agb_032,44
agb_033,40
agb_034,38
agb_035,36
agb_036,36
agb_037,35
agb_038,35
agb_039,35
agb_040,33
agb_041,37
agb_042,39
agb_043,33
agb_044,37
agb_045,37
agb_046,34
agb_047,34
agb_048,33
agb_049,39
agb_050,37
agb_051,36
agb_052,36
agb_053,41
agb_054,44
agb_055,43
agb_056,37
agb_057,38
agb_058,38
agb_059,35
agb_060,43
agb_061,45
agb_062,45
agb_063,42
agb_064,44
agb_065,41
agb_066,49
agb_067,45
agb_068,49
agb_069,47
agb_070,52
agb_071,44
agb_072,54
agb_073,54
agb_074,52
agb_075,53
agb_076,51
agb_077,51
agb_078,52
agb_079,54
agb_080,56
agb_081,57
agb_082,49
agb_083,54
agb_084,61
agb_085,59
agb_086,62
agb_087,78
agb_088,66
agb_089,69
agb_090,70
agb_091,68
agb_092,73
agb_093,75
agb_094,86
agb_095,85
agb_096,82
agb_097,72
agb_098,77
agb_099,80
agb_100,82
agb_101,86
agb_102,93
agb_103,95
agb_104,80
agb_105,79
agb_106,76
agb_107,81
agb_108,91
agb_109,98
agb_110,98
agb_111,93
agb_112,98
agb_113,109
agb_114,108
agb_115,108
agb_116,97
agb_117,102
agb_118,96
agb_119,100
agb_120,94
agb_121,92
agb_122,91
agb_123,88
agb_124,92
agb_125,93
agb_126,90
agb_127,90
agb_128,92
agb_129,92
agb_130,96
agb_131,95
agb_132,92
agl_129,47
agl_130,45
agl_131,47
agl_132,47
agl_133,45
agl_134,39
agl_135,38
agl_136,36
agl_137,34
agl_138,36
agl_139,34
agl_140,37
agl_141,39
agl_142,37
agl_143,40
agl_144,36
agl_145,35
agl_146,39
agl_147,48
agl_148,49
agl_149,47
agl_150,49
agl_151,45
agl_152,36
agl_153,38
agl_154,40
agl_155,46
agl_156,44
agl_157,40
agl_158,36
agl_159,40
agl_160,41
agl_161,35
agl_162,40
agl_163,40
agl_164,40
agl_165,42
agl_166,47
agl_167,49
agl_168,46
agl_169,46
agl_170,47
agl_171,45
agl_172,52
agl_173,45
agl_174,58
agl_175,59
agl_176,55
agl_177,46
agl_178,46
agl_179,44
agl_180,48
agl_181,53
agl_182,52
agl_183,48
agl_184,51
agl_185,60
agl_186,55
agl_187,55
agl_188,53
agl_189,59
agl_190,61
agl_191,61
agl_192,68
agl_193,62
agl_194,60
agl_195,60
agl_196,50
agl_197,52
agl_198,49
agl_199,56
agl_200,60
agl_201,55
agl_202,60
agl_203,58
agl_204,61
agl_205,51
agl_206,53
agl_207,54
agl_208,58
agl_209,59
agl_210,62
agl_211,61
agl_212,58
agl_213,58
agl_214,55
agl_215,54
agl_216,50
agl_217,52
agl_218,48
agl_219,47
agl_220,48
agl_221,46
agl_222,38
agl_223,38
agl_224,34
agl_225,33
agl_226,37
agl_227,38
agl_228,37
agl_229,40
agl_230,39
agl_231,41
agl_232,41
agl_233,43
agl_234,41
agl_235,40
agl_236,46
agl_237,42
agl_238,36
agl_239,35
agl_240,31
agl_241,32
agl_242,33
agl_243,35
agl_244,43
agl_245,45
agl_246,48
agl_247,49
agl_248,52
agl_249,45
agl_250,46
agl_251,50
agl_252,59
agl_253,56
agl_254,56
agl_255,58
agl_256,58
agl_257,65
agl_258,62
agl_259,61
agl_260,66
agl_261,72
agl_262,73
agl_263,71
agl_264,69
agl_265,56
agl_266,58
agl_267,63
agl_268,62
agl_269,61
agl_270,52
agl_271,48
agl_272,51
agl_273,57
agl_274,58
agl_275,59
agl_276,59
agl_277,51
agl_278,53
agl_279,55
agl_280,51
agl_281,56
agl_282,53
agl_283,60
agl_284,58
agl_285,58
agl_286,62
agl_287,55
agl_288,53
agl_289,50
agl_290,51
agl_291,50
agl_292,49
agl_293,42
