image_id,wind_speed
acd_123,25
acd_124,29
acd_125,27
acd_126,30
acd_127,23
acd_128,23
acd_129,23
acd_130,23
acd_131,24
acd_132,24
acd_133,24
acd_134,24
acd_135,24
acd_136,23
acd_137,25
acd_138,25
acd_139,25
acd_140,27
acd_141,26
acd_142,26
acd_143,25
acd_144,25
acd_145,24
acd_146,26
acd_147,25
acd_148,25
acd_149,26
acd_150,26
acd_151,25
acd_152,24
acd_153,26
acd_154,26
acd_155,25
acd_156,25
acd_157,27
acd_158,26
acd_159,26
acd_160,25
acd_161,24
acd_162,24
acd_163,24
acd_164,24
acd_165,23
acd_166,24
acd_167,24
acd_168,23
acd_169,23
acd_170,23
acd_171,23
acd_172,24
acd_173,24
acd_174,24
acd_175,26
acd_176,25
acd_177,24
acd_178,24
acd_179,24
acd_180,24
acd_181,25
acd_182,24
acd_183,25
acd_184,25
acd_185,24
acd_186,26
acd_187,23
acd_188,24
acd_189,22
acd_190,21
acd_191,21
acd_192,20
acd_193,21
acd_194,20
acd_195,21
acd_196,22
acd_197,22
acd_198,22
acd_199,23
acd_200,24
acd_201,25
acd_202,25
acd_203,23
acd_204,23
acd_205,25
acd_206,27
acd_207,26
acd_208,26
acd_209,27
acd_210,26
acd_211,27
acd_212,28
acd_213,26
acd_214,27
acd_215,26
acd_216,26
acd_217,26
acd_218,28
acd_219,31
acd_220,29
acd_221,30
acd_222,31
acd_223,30
aek_032,23
aek_033,26
aek_034,26
aek_035,27
aek_036,30
aek_037,28
aek_038,27
aek_039,26
aek_040,25
aek_041,26
aek_042,27
aek_043,27
aek_044,28
aek_045,28
aek_046,25
aek_047,27
aek_048,28
aek_049,26
aek_050,26
aek_051,23
aek_052,24
aek_053,23
aek_054,24
aek_055,23
aek_056,26
aek_057,28
aek_058,26
aek_059,27
aek_060,28
aek_061,27
aek_062,30
aek_063,30
aek_064,32
aek_065,33
aek_066,35
aek_067,41
aek_068,40
aek_069,43
aek_070,39
aek_071,38
aek_072,30
aek_073,31
aek_074,29
aek_075,31
aek_076,32
aek_077,31
aek_078,32
aek_079,31
aek_080,32
aek_081,30
aek_082,32
aek_083,28
aek_084,26
aek_085,29
aek_086,28
aek_087,27
aek_088,26
aek_089,28
aek_090,33
aek_091,30
aek_092,30
aek_093,27
aek_094,28
aek_095,27
aek_096,28
aek_097,28
aek_098,34
aek_099,30
aek_100,30
aek_101,32
aek_102,30
aek_103,29
aek_104,30
aek_105,32
aek_106,29
aek_107,30
agb_000,33
agb_001,35
agb_002,37
agb_003,39
agb_004,38
agb_005,37
agb_006,38
agb_007,36
agb_008,39
agb_009,38
agb_010,42
agb_011,43
agb_012,44
agb_013,45
agb_014,43
agb_015,35
agb_016,37
agb_017,29
agb_018,34
agb_019,39
agb_020,41
agb_021,35
agb_022,36
agb_023,39
agb_024,36
agb_025,33
agb_026,30
agb_027,32
agb_028,32
agb_029,32
agb_030,32
agb_031,32
agb_032,34
agb_033,36
agb_034,33
agb_035,34
agb_036,32
agb_037,33
agb_038,32
agb_039,32
agb_040,32
agb_041,32
agb_042,30
agb_043,31
agb_044,32
agb_045,35
agb_046,34
agb_047,35
agb_048,35
agb_049,35
agb_050,45
agb_051,49
agb_052,54
agb_053,49
agb_054,49
agb_055,46
agb_056,49
agb_057,50
agb_058,47
agb_059,43
agb_060,47
agb_061,42
agb_062,38
agb_063,38
agb_064,37
agb_065,36
agb_066,40
agb_067,36
agb_068,41
agb_069,42
agb_070,45
agb_071,41
agb_072,49
agb_073,50
agb_074,52
agb_075,50
agb_076,51
agb_077,47
agb_078,55
agb_079,56
agb_080,58
agb_081,67
agb_082,65
agb_083,50
agb_084,54
agb_085,74
agb_086,72
agb_087,80
agb_088,72
agb_089,74
agb_090,75
agb_091,76
agb_092,70
agb_093,77
agb_094,77
agb_095,79
agb_096,73
agb_097,73
agb_098,70
agb_099,76
agb_100,77
agb_101,78
agb_102,79
agb_103,83
agb_104,78
agb_105,79
agb_106,79
agb_107,77
agb_108,88
agb_109,98
agb_110,85
agb_111,84
agb_112,89
agb_113,97
agb_114,88
agb_115,92
agb_116,92
agb_117,89
agb_118,78
agb_119,80
agb_120,79
agb_121,82
agb_122,79
agb_123,67
agb_124,73
agb_125,74
agb_126,74
agb_127,84
agb_128,90
agb_129,91
agb_130,98
agb_131,94
agb_132,98
agl_129,35
agl_130,35
agl_131,33
agl_132,36
agl_133,37
agl_134,42
agl_135,43
agl_136,40
agl_137,39
agl_138,36
agl_139,38
agl_140,39
agl_141,38
agl_142,39
agl_143,34
agl_144,29
agl_145,30
agl_146,32
agl_147,37
agl_148,36
agl_149,35
agl_150,37
agl_151,38
agl_152,33
agl_153,30
agl_154,30
agl_155,28
agl_156,29
agl_157,45
agl_158,34
agl_159,29
agl_160,28
agl_161,31
agl_162,31
agl_163,32
agl_164,32
agl_165,32
agl_166,44
agl_167,55
agl_168,44
agl_169,47
agl_170,48
agl_171,39
agl_172,34
agl_173,32
agl_174,35
agl_175,36
agl_176,40
agl_177,33
agl_178,32
agl_179,31
agl_180,37
agl_181,44
agl_182,39
agl_183,33
agl_184,33
agl_185,35
agl_186,35
agl_187,35
agl_188,32
agl_189,36
agl_190,35
agl_191,32
agl_192,36
agl_193,42
agl_194,40
agl_195,30
agl_196,32
agl_197,31
agl_198,56
agl_199,57
agl_200,39
agl_201,34
agl_202,38
agl_203,45
agl_204,43
agl_205,39
agl_206,37
agl_207,39
agl_208,40
agl_209,35
agl_210,39
agl_211,52
agl_212,44
agl_213,36
agl_214,34
agl_215,33
agl_216,30
agl_217,33
agl_218,32
agl_219,34
agl_220,42
agl_221,43
agl_222,36
agl_223,34
agl_224,30
agl_225,32
agl_226,27
agl_227,28
agl_228,26
agl_229,29
agl_230,30
agl_231,29
agl_232,32
agl_233,31
agl_234,32
agl_235,32
agl_236,35
agl_237,34
agl_238,35
agl_239,34
agl_240,32
agl_241,32
agl_242,32
agl_243,34
agl_244,34
agl_245,35
agl_246,34
agl_247,36
agl_248,39
agl_249,40
agl_250,40
agl_251,42
agl_252,42
agl_253,43
agl_254,46
agl_255,49
agl_256,53
agl_257,53
agl_258,58
agl_259,53
agl_260,66
agl_261,64
agl_262,65
agl_263,60
agl_264,54
agl_265,49
agl_266,56
agl_267,55
agl_268,48
agl_269,36
agl_270,40
agl_271,36
agl_272,36
agl_273,38
agl_274,37
agl_275,44
agl_276,45
agl_277,42
agl_278,38
agl_279,42
agl_280,58
agl_281,55
agl_282,56
agl_283,70
agl_284,70
agl_285,66
agl_286,69
agl_287,45
agl_288,72
agl_289,68
agl_290,79
agl_291,40
agl_292,37
agl_293,33
agl_294,39
agl_295,65
agl_296,59
agl_297,59
agl_298,61
agl_299,47
agl_300,52
agl_301,61
agl_302,70
agl_303,51
agl_304,48
agl_305,44
agl_306,42
agl_307,61
agl_308,49
agl_309,43
agl_310,48
agl_311,46
agl_312,49
agl_313,45
agl_314,42
agl_315,49
agl_316,47
agl_317,50
agl_318,50
agl_319,51
agl_320,38
agl_321,37
agl_322,36
agl_323,34
agl_324,43
agl_325,37
agl_326,47
agl_327,41
agl_328,49
agl_329,45
agl_330,46
agl_331,56
agl_332,50
agl_333,50
agl_334,45
agl_335,52
agl_336,49
agl_337,48
agl_338,41
agl_339,39
agl_340,39
agl_341,49
agl_342,54
agl_343,57
agl_344,60
agl_345,59
agl_346,66
agl_347,60
agl_348,62
agl_349,60
agl_350,60
agl_351,54
agl_352,62
agl_353,63
agl_354,62
agl_355,70
agl_356,60
agl_357,54
agl_358,57
agl_359,54
agl_360,54
agl_361,51
agl_362,48
agl_363,60
agl_364,62
agl_365,63
agl_366,62
agl_367,65
agl_368,72
agl_369,76
agl_370,73
agl_371,73
agl_372,82
agl_373,84
agl_374,81
agl_375,71
agl_376,68
agl_377,77
agl_378,61
agl_379,61
agl_380,57
agl_381,73
agl_382,78
agl_383,79
agl_384,68
agl_385,79
agl_386,85
agl_387,80
agl_388,79
agl_389,82
agl_390,71
agl_391,61
agl_392,55
agl_393,49
agl_394,44
agl_395,46
agl_396,49
agl_397,47
agl_398,51
agl_399,47
agl_400,47
agl_401,52
agl_402,51
agl_403,48
agl_404,48
agl_405,43
agl_406,45
agl_407,42
agl_408,42
agl_409,40
agl_410,43
agl_411,44
agl_412,44
agl_413,46
agl_414,46
agl_415,44
agl_416,45
agl_417,45
agl_418,46
agl_419,45
agl_420,44
agl_421,44
agl_422,44
agl_423,45
agl_424,42
agl_425,46
agl_426,45
agl_427,48
agl_428,49
agl_429,47
agl_430,44
agl_431,47
agl_432,51
agl_433,51
agl_434,53
agl_435,53
agl_436,58
agl_437,58
agl_438,58
agl_439,56
agl_440,58
agl_441,61
agl_442,61
agl_443,66
agl_444,59
agl_445,54
agl_446,55
agl_447,54
agl_448,53
agl_449,53
agl_450,59
agl_451,58
agl_452,57
agl_453,54
agl_454,53
agp_000,36
agp_001,36
agp_002,34
agp_003,35
agp_004,37
agp_005,42
agp_006,46
agp_007,47
agp_008,48
agp_009,38
agp_010,44
agp_011,43
agp_012,38
agp_013,35
agp_014,35
agp_015,36
agp_016,41
agp_017,48
agp_018,55
agp_019,62
agp_020,59
agp_021,53
agp_022,33
agp_023,35
agp_024,47
agp_025,47
agp_026,41
agp_027,44
agp_028,46
agp_029,42
agp_030,43
agp_031,48
agp_032,53
agp_033,48
agp_034,54
agp_035,75
agp_036,79
agp_037,56
agp_038,48
agp_039,66
agp_040,50
agp_041,45
agp_042,46
agp_043,52
agp_044,52
agp_045,51
agp_046,51
agp_047,50
agp_048,52
agp_049,56
agp_050,54
agp_051,51
agp_052,49
agp_053,43
agp_054,42
agp_055,54
agp_056,55
agp_057,49
agp_058,48
agp_059,47
agp_060,48
aig_000,38
aig_001,39
aig_002,39
aig_003,36
aig_004,39
aig_005,38
aig_006,40
aig_007,40
aig_008,42
aig_009,42
aig_010,43
aig_011,41
aig_012,42
aig_013,41
aig_014,44
aig_015,43
aig_016,44
aig_017,46
aig_018,48
aig_019,48
aig_020,48
aig_021,50
aig_022,49
aig_023,47
aig_024,47
aig_025,49
aig_026,48
aig_027,47
aig_028,44
aig_029,39
aig_030,36
aig_031,36
aig_032,44
aig_033,44
aig_034,48
aig_035,51
aig_036,50
aig_037,51
aig_038,44
aig_039,44
aig_040,49
aig_041,37
aig_042,39
aig_043,41
aig_044,42
aig_045,38
aig_046,37
aig_047,36
aig_048,39
aig_049,34
aig_050,39
aig_051,41
aig_052,38
aig_053,41
aiz_000,72
aiz_001,82
aiz_002,99
aiz_003,84
aiz_004,86
aiz_005,78
aiz_006,50
aiz_007,79
aiz_008,42
aiz_009,62
aiz_010,79
aiz_011,78
aiz_012,80
aiz_013,75
aiz_014,73
aiz_015,78
aiz_016,74
aiz_017,72
aiz_018,73
aiz_019,74
aiz_020,77
aiz_021,82
aiz_022,77
aiz_023,74
aiz_024,80
aiz_025,83
aiz_026,79
aiz_027,75
aiz_028,61
aiz_029,60
aiz_030,65
