image_id,wind_speed
acd_123,33
acd_124,32
acd_125,32
acd_126,30
acd_127,29
acd_128,28
acd_129,28
acd_130,29
acd_131,28
acd_132,27
acd_133,28
acd_134,29
acd_135,28
acd_136,28
acd_137,26
acd_138,26
acd_139,26
acd_140,26
acd_141,26
acd_142,27
acd_143,26
acd_144,26
acd_145,26
acd_146,26
acd_147,26
acd_148,25
acd_149,25
acd_150,26
acd_151,25
acd_152,25
acd_153,26
acd_154,26
acd_155,26
acd_156,26
acd_157,26
acd_158,26
acd_159,25
acd_160,25
acd_161,25
acd_162,26
acd_163,25
acd_164,26
acd_165,25
acd_166,25
acd_167,25
acd_168,25
acd_169,25
acd_170,25
acd_171,25
acd_172,26
acd_173,26
acd_174,27
acd_175,26
acd_176,27
acd_177,27
acd_178,27
acd_179,26
acd_180,27
acd_181,27
acd_182,27
acd_183,28
acd_184,27
acd_185,28
acd_186,28
acd_187,27
acd_188,27
acd_189,27
acd_190,25
acd_191,25
acd_192,24
acd_193,24
acd_194,24
acd_195,24
acd_196,24
acd_197,24
acd_198,24
acd_199,25
acd_200,25
acd_201,25
acd_202,25
acd_203,25
acd_204,25
acd_205,26
acd_206,26
acd_207,26
acd_208,27
acd_209,27
acd_210,27
acd_211,27
acd_212,27
acd_213,28
acd_214,29
acd_215,28
acd_216,28
acd_217,28
acd_218,29
acd_219,29
acd_220,28
acd_221,29
acd_222,30
acd_223,30
aek_032,31
aek_033,31
aek_034,30
aek_035,32
aek_036,34
aek_037,32
aek_038,31
aek_039,30
aek_040,30
aek_041,31
aek_042,29
aek_043,38
aek_044,31
aek_045,34
aek_046,33
aek_047,26
aek_048,26
aek_049,27
aek_050,27
aek_051,25
aek_052,26
aek_053,27
aek_054,28
aek_055,28
aek_056,29
aek_057,29
aek_058,31
aek_059,30
aek_060,30
aek_061,31
aek_062,31
aek_063,33
aek_064,36
aek_065,38
aek_066,42
aek_067,38
aek_068,36
aek_069,38
aek_070,36
aek_071,35
aek_072,34
aek_073,33
aek_074,32
aek_075,31
aek_076,30
aek_077,31
aek_078,31
aek_079,32
aek_080,33
aek_081,31
aek_082,38
aek_083,30
aek_084,29
aek_085,30
aek_086,31
aek_087,30
aek_088,29
aek_089,30
aek_090,32
aek_091,31
aek_092,31
aek_093,29
aek_094,29
aek_095,29
aek_096,28
aek_097,27
aek_098,28
aek_099,28
aek_100,29
aek_101,28
aek_102,29
aek_103,30
aek_104,32
aek_105,33
aek_106,33
aek_107,33
agb_000,41
agb_001,41
agb_002,43
agb_003,42
agb_004,41
agb_005,39
agb_006,41
agb_007,42
agb_008,46
agb_009,46
agb_010,45
agb_011,45
agb_012,45
agb_013,43
agb_014,44
agb_015,45
agb_016,43
agb_017,41
agb_018,41
agb_019,42
agb_020,43
agb_021,42
agb_022,41
agb_023,38
agb_024,36
agb_025,36
agb_026,37
agb_027,40
agb_028,41
agb_029,40
agb_030,38
agb_031,37
agb_032,37
agb_033,37
agb_034,34
agb_035,33
agb_036,33
agb_037,32
agb_038,38
agb_039,38
agb_040,37
agb_041,37
agb_042,36
agb_043,35
agb_044,34
agb_045,35
agb_046,35
agb_047,35
agb_048,36
agb_049,41
agb_050,43
agb_051,43
agb_052,42
agb_053,42
agb_054,43
agb_055,43
agb_056,42
agb_057,46
agb_058,37
agb_059,36
agb_060,39
agb_061,40
agb_062,38
agb_063,41
agb_064,41
agb_065,44
agb_066,52
agb_067,53
agb_068,60
agb_069,58
agb_070,61
agb_071,62
agb_072,65
agb_073,63
agb_074,56
agb_075,59
agb_076,60
agb_077,59
agb_078,61
agb_079,66
agb_080,68
agb_081,69
agb_082,68
agb_083,60
agb_084,68
agb_085,78
agb_086,75
agb_087,80
agb_088,76
agb_089,68
agb_090,73
agb_091,72
agb_092,82
agb_093,77
agb_094,84
agb_095,86
agb_096,88
agb_097,88
agb_098,84
agb_099,80
agb_100,81
agb_101,82
agb_102,85
agb_103,90
agb_104,85
agb_105,84
agb_106,84
agb_107,87
agb_108,88
agb_109,95
agb_110,88
agb_111,88
agb_112,97
agb_113,102
agb_114,106
agb_115,102
agb_116,95
agb_117,98
agb_118,90
agb_119,87
agb_120,87
agb_121,87
agb_122,84
agb_123,85
agb_124,88
agb_125,87
agb_126,90
agb_127,92
agb_128,96
agb_129,98
agb_130,101
agb_131,100
agb_132,101
agl_129,44
agl_130,43
agl_131,44
agl_132,46
agl_133,41
agl_134,38
agl_135,36
agl_136,36
agl_137,36
agl_138,35
agl_139,34
agl_140,36
agl_141,42
agl_142,42
agl_143,43
agl_144,35
agl_145,41
agl_146,40
agl_147,44
agl_148,45
agl_149,38
agl_150,40
agl_151,36
agl_152,34
agl_153,34
agl_154,34
agl_155,33
agl_156,35
agl_157,32
agl_158,32
agl_159,32
agl_160,31
agl_161,33
agl_162,34
agl_163,36
agl_164,34
agl_165,37
agl_166,46
agl_167,43
agl_168,53
agl_169,46
agl_170,40
agl_171,40
agl_172,39
agl_173,38
agl_174,53
agl_175,56
agl_176,55
agl_177,45
agl_178,42
agl_179,44
agl_180,47
agl_181,50
agl_182,43
agl_183,44
agl_184,43
agl_185,44
agl_186,44
agl_187,44
agl_188,40
agl_189,39
agl_190,39
agl_191,42
agl_192,45
agl_193,46
agl_194,49
agl_195,50
agl_196,48
agl_197,46
agl_198,55
agl_199,57
agl_200,56
agl_201,56
agl_202,57
agl_203,59
agl_204,53
agl_205,53
agl_206,49
agl_207,50
agl_208,53
agl_209,55
agl_210,51
agl_211,54
agl_212,49
agl_213,44
agl_214,44
agl_215,49
agl_216,42
agl_217,41
agl_218,37
agl_219,38
agl_220,40
agl_221,45
agl_222,37
agl_223,39
agl_224,38
agl_225,34
agl_226,34
agl_227,34
agl_228,35
agl_229,36
agl_230,36
agl_231,38
agl_232,40
agl_233,40
agl_234,40
agl_235,43
agl_236,42
agl_237,41
agl_238,42
agl_239,38
agl_240,37
agl_241,37
agl_242,38
agl_243,39
agl_244,42
agl_245,43
agl_246,42
agl_247,42
agl_248,43
agl_249,45
agl_250,44
agl_251,46
agl_252,49
agl_253,51
agl_254,51
agl_255,53
agl_256,55
agl_257,52
agl_258,55
agl_259,56
agl_260,55
agl_261,61
agl_262,61
agl_263,62
agl_264,59
agl_265,54
