image_id,wind_speed
acd_123,30
acd_124,30
acd_125,30
acd_126,29
acd_127,28
acd_128,27
acd_129,28
acd_130,28
acd_131,28
acd_132,27
acd_133,28
acd_134,28
acd_135,28
acd_136,27
acd_137,26
acd_138,26
acd_139,26
acd_140,27
acd_141,26
acd_142,27
acd_143,27
acd_144,27
acd_145,27
acd_146,27
acd_147,26
acd_148,25
acd_149,26
acd_150,26
acd_151,25
acd_152,25
acd_153,26
acd_154,27
acd_155,26
acd_156,27
acd_157,26
acd_158,26
acd_159,26
acd_160,25
acd_161,25
acd_162,25
acd_163,25
acd_164,25
acd_165,25
acd_166,25
acd_167,25
acd_168,25
acd_169,24
acd_170,24
acd_171,24
acd_172,25
acd_173,25
acd_174,26
acd_175,26
acd_176,26
acd_177,26
acd_178,26
acd_179,26
acd_180,26
acd_181,27
acd_182,27
acd_183,28
acd_184,27
acd_185,27
acd_186,28
acd_187,26
acd_188,27
acd_189,26
acd_190,25
acd_191,25
acd_192,24
acd_193,25
acd_194,24
acd_195,24
acd_196,25
acd_197,25
acd_198,24
acd_199,25
acd_200,25
acd_201,25
acd_202,25
acd_203,25
acd_204,25
acd_205,26
acd_206,27
acd_207,27
acd_208,27
acd_209,27
acd_210,27
acd_211,28
acd_212,28
acd_213,28
acd_214,29
acd_215,28
acd_216,28
acd_217,28
acd_218,29
acd_219,30
acd_220,29
acd_221,30
acd_222,31
acd_223,30
aek_032,30
aek_033,30
aek_034,30
aek_035,31
aek_036,33
aek_037,31
aek_038,30
aek_039,29
aek_040,29
aek_041,30
aek_042,29
aek_043,36
aek_044,30
aek_045,32
aek_046,31
aek_047,26
aek_048,27
aek_049,28
aek_050,27
aek_051,25
aek_052,26
aek_053,27
aek_054,27
aek_055,28
aek_056,29
aek_057,29
aek_058,30
aek_059,30
aek_060,30
aek_061,31
aek_062,31
aek_063,32
aek_064,35
aek_065,37
aek_066,40
aek_067,38
aek_068,36
aek_069,38
aek_070,36
aek_071,36
aek_072,34
aek_073,33
aek_074,32
aek_075,31
aek_076,31
aek_077,31
aek_078,32
aek_079,32
aek_080,33
aek_081,31
aek_082,39
aek_083,30
aek_084,29
aek_085,30
aek_086,30
aek_087,29
aek_088,28
aek_089,29
aek_090,31
aek_091,30
aek_092,31
aek_093,29
aek_094,31
aek_095,29
aek_096,28
aek_097,27
aek_098,29
aek_099,29
aek_100,29
aek_101,29
aek_102,29
aek_103,31
aek_104,32
aek_105,33
aek_106,33
aek_107,33
agb_000,39
agb_001,39
agb_002,40
agb_003,40
agb_004,39
agb_005,38
agb_006,39
agb_007,41
agb_008,45
agb_009,46
agb_010,45
agb_011,42
agb_012,45
agb_013,44
agb_014,44
agb_015,44
agb_016,43
agb_017,40
agb_018,41
agb_019,43
agb_020,41
agb_021,39
agb_022,42
agb_023,37
agb_024,36
agb_025,35
agb_026,35
agb_027,38
agb_028,39
agb_029,37
agb_030,38
agb_031,35
agb_032,38
agb_033,35
agb_034,33
agb_035,32
agb_036,33
agb_037,32
agb_038,36
agb_039,36
agb_040,35
agb_041,35
agb_042,34
agb_043,33
agb_044,33
agb_045,34
agb_046,33
agb_047,34
agb_048,36
agb_049,41
agb_050,45
agb_051,44
agb_052,45
agb_053,44
agb_054,45
agb_055,44
agb_056,45
agb_057,47
agb_058,38
agb_059,37
agb_060,43
agb_061,43
agb_062,41
agb_063,43
agb_064,39
agb_065,42
agb_066,48
agb_067,47
agb_068,52
agb_069,55
agb_070,59
agb_071,57
agb_072,61
agb_073,60
agb_074,55
agb_075,57
agb_076,58
agb_077,57
agb_078,60
agb_079,65
agb_080,66
agb_081,67
agb_082,66
agb_083,58
agb_084,65
agb_085,76
agb_086,73
agb_087,83
agb_088,78
agb_089,72
agb_090,75
agb_091,74
agb_092,82
agb_093,79
agb_094,85
agb_095,82
agb_096,83
agb_097,82
agb_098,79
agb_099,81
agb_100,80
agb_101,82
agb_102,85
agb_103,90
agb_104,86
agb_105,85
agb_106,84
agb_107,87
agb_108,89
agb_109,97
agb_110,89
agb_111,90
agb_112,97
agb_113,102
agb_114,104
agb_115,101
agb_116,96
agb_117,98
agb_118,89
agb_119,88
agb_120,87
agb_121,87
agb_122,85
agb_123,85
agb_124,88
