image_id,wind_speed
acd_123,24
acd_124,24
acd_125,23
acd_126,23
acd_127,24
acd_128,24
acd_129,23
acd_130,24
acd_131,25
acd_132,24
acd_133,26
acd_134,26
acd_135,25
acd_136,26
acd_137,25
acd_138,26
acd_139,26
acd_140,27
acd_141,26
acd_142,25
acd_143,25
acd_144,25
acd_145,26
acd_146,26
acd_147,27
acd_148,25
acd_149,26
acd_150,26
acd_151,25
acd_152,25
acd_153,25
acd_154,25
acd_155,24
acd_156,25
acd_157,25
acd_158,26
acd_159,25
acd_160,25
acd_161,27
acd_162,26
acd_163,26
acd_164,26
acd_165,25
acd_166,24
acd_167,25
acd_168,24
acd_169,24
acd_170,24
acd_171,25
acd_172,26
acd_173,26
acd_174,27
acd_175,25
acd_176,26
acd_177,26
acd_178,26
acd_179,26
acd_180,27
acd_181,26
acd_182,26
acd_183,27
acd_184,26
acd_185,26
acd_186,26
acd_187,25
acd_188,27
acd_189,27
acd_190,26
acd_191,26
acd_192,25
acd_193,25
acd_194,26
acd_195,25
acd_196,26
acd_197,25
acd_198,25
acd_199,27
acd_200,26
acd_201,27
acd_202,29
acd_203,28
acd_204,28
acd_205,28
acd_206,29
acd_207,29
acd_208,29
acd_209,29
acd_210,28
acd_211,27
acd_212,27
acd_213,28
acd_214,29
acd_215,27
acd_216,28
acd_217,27
acd_218,27
acd_219,29
acd_220,28
acd_221,28
acd_222,29
acd_223,28
aek_032,30
aek_033,31
aek_034,30
aek_035,31
aek_036,30
aek_037,30
aek_038,28
aek_039,31
aek_040,31
aek_041,34
aek_042,31
aek_043,34
aek_044,44
aek_045,43
aek_046,40
aek_047,29
aek_048,27
aek_049,27
aek_050,24
aek_051,25
aek_052,25
aek_053,27
aek_054,28
aek_055,28
aek_056,28
aek_057,28
aek_058,31
aek_059,31
aek_060,31
aek_061,35
aek_062,36
aek_063,33
aek_064,39
aek_065,41
aek_066,39
aek_067,40
aek_068,41
aek_069,37
aek_070,30
aek_071,31
aek_072,30
aek_073,32
aek_074,31
aek_075,27
aek_076,28
aek_077,31
aek_078,29
aek_079,30
aek_080,31
aek_081,29
aek_082,31
aek_083,32
aek_084,30
aek_085,30
aek_086,32
aek_087,32
aek_088,32
aek_089,32
aek_090,36
aek_091,31
aek_092,31
aek_093,29
aek_094,29
aek_095,28
aek_096,27
aek_097,24
aek_098,27
aek_099,28
aek_100,27
aek_101,23
aek_102,24
aek_103,25
aek_104,27
aek_105,25
aek_106,25
aek_107,26
agb_000,39
agb_001,39
agb_002,42
agb_003,43
agb_004,42
agb_005,37
agb_006,37
agb_007,36
agb_008,51
agb_009,53
agb_010,43
agb_011,45
agb_012,46
agb_013,45
agb_014,44
agb_015,42
agb_016,44
agb_017,37
agb_018,35
agb_019,36
agb_020,40
agb_021,38
agb_022,38
agb_023,33
agb_024,36
agb_025,41
agb_026,46
agb_027,51
agb_028,52
agb_029,49
agb_030,44
agb_031,41
agb_032,39
agb_033,38
agb_034,37
agb_035,36
agb_036,35
agb_037,34
agb_038,38
agb_039,37
agb_040,37
agb_041,38
agb_042,38
agb_043,36
agb_044,38
agb_045,36
agb_046,34
agb_047,35
agb_048,37
agb_049,44
agb_050,43
agb_051,46
agb_052,45
agb_053,40
agb_054,41
agb_055,41
agb_056,38
agb_057,42
agb_058,35
agb_059,36
agb_060,41
agb_061,42
agb_062,39
agb_063,42
agb_064,41
agb_065,41
agb_066,41
agb_067,48
agb_068,48
agb_069,49
agb_070,43
agb_071,42
agb_072,43
agb_073,59
agb_074,62
agb_075,64
agb_076,63
agb_077,64
agb_078,60
agb_079,63
agb_080,63
agb_081,62
agb_082,59
agb_083,60
agb_084,58
agb_085,66
agb_086,65
agb_087,75
agb_088,66
agb_089,60
agb_090,64
agb_091,57
agb_092,63
agb_093,68
agb_094,73
agb_095,70
agb_096,74
agb_097,69
agb_098,75
agb_099,71
agb_100,73
agb_101,77
agb_102,83
agb_103,95
agb_104,86
agb_105,80
agb_106,79
agb_107,80
agb_108,89
agb_109,96
agb_110,85
agb_111,88
agb_112,91
agb_113,98
agb_114,105
agb_115,98
agb_116,91
agb_117,90
agb_118,81
agb_119,84
agb_120,84
agb_121,81
agb_122,81
agb_123,80
agb_124,86
agb_125,84
agb_126,88
agb_127,89
agb_128,91
agb_129,92
agb_130,95
agb_131,94
agb_132,94
agl_129,45
agl_130,41
agl_131,43
agl_132,43
agl_133,43
agl_134,42
agl_135,37
agl_136,35
agl_137,36
agl_138,39
agl_139,38
agl_140,41
agl_141,48
agl_142,39
agl_143,40
agl_144,35
agl_145,37
agl_146,40
agl_147,45
agl_148,44
agl_149,40
agl_150,43
agl_151,36
agl_152,37
agl_153,39
agl_154,41
agl_155,40
agl_156,37
agl_157,33
agl_158,33
agl_159,34
agl_160,32
agl_161,37
agl_162,33
agl_163,34
agl_164,30
agl_165,37
agl_166,46
agl_167,50
agl_168,48
agl_169,44
agl_170,45
agl_171,46
agl_172,52
agl_173,42
agl_174,56
agl_175,59
agl_176,58
agl_177,52
agl_178,47
agl_179,52
agl_180,57
agl_181,59
agl_182,41
agl_183,43
agl_184,41
agl_185,46
agl_186,49
agl_187,47
agl_188,45
agl_189,47
agl_190,53
agl_191,46
agl_192,47
agl_193,47
agl_194,51
agl_195,56
agl_196,56
agl_197,56
agl_198,60
agl_199,62
agl_200,63
agl_201,65
agl_202,69
agl_203,62
agl_204,60
agl_205,58
agl_206,59
agl_207,62
agl_208,62
agl_209,61
agl_210,60
agl_211,59
agl_212,52
agl_213,54
agl_214,56
agl_215,54
agl_216,52
agl_217,50
agl_218,43
agl_219,40
agl_220,32
agl_221,34
agl_222,31
agl_223,33
agl_224,38
agl_225,34
agl_226,34
agl_227,36
agl_228,34
agl_229,31
agl_230,32
agl_231,34
agl_232,39
agl_233,39
agl_234,32
agl_235,32
agl_236,33
agl_237,34
agl_238,38
agl_239,36
agl_240,34
agl_241,33
agl_242,32
agl_243,33
agl_244,44
agl_245,43
agl_246,43
agl_247,39
agl_248,46
agl_249,52
agl_250,46
agl_251,49
agl_252,59
agl_253,57
agl_254,55
agl_255,54
agl_256,55
agl_257,48
agl_258,52
agl_259,54
agl_260,46
agl_261,56
agl_262,60
agl_263,55
agl_264,57
agl_265,36
agl_266,53
agl_267,60
agl_268,55
agl_269,39
agl_270,47
agl_271,48
agl_272,45
agl_273,48
agl_274,51
agl_275,48
agl_276,49
agl_277,50
agl_278,48
agl_279,50
agl_280,56
agl_281,51
agl_282,51
agl_283,62
agl_284,56
agl_285,53
agl_286,56
agl_287,49
agl_288,47
agl_289,49
agl_290,45
agl_291,45
agl_292,42
agl_293,39
agl_294,43
agl_295,46
agl_296,45
agl_297,44
agl_298,40
agl_299,38
agl_300,42
agl_301,42
agl_302,41
agl_303,42
agl_304,43
agl_305,40
agl_306,40
agl_307,40
agl_308,40
agl_309,40
agl_310,43
agl_311,42
agl_312,46
agl_313,48
agl_314,47
agl_315,48
agl_316,48
agl_317,47
agl_318,49
agl_319,50
agl_320,55
agl_321,54
agl_322,54
agl_323,48
agl_324,49
agl_325,47
agl_326,50
agl_327,53
agl_328,51
agl_329,52
agl_330,56
agl_331,60
agl_332,58
agl_333,59
agl_334,61
agl_335,62
agl_336,58
agl_337,59
agl_338,57
agl_339,53
agl_340,51
agl_341,52
agl_342,57
agl_343,59
agl_344,60
agl_345,59
agl_346,67
agl_347,61
agl_348,63
agl_349,73
agl_350,80
agl_351,72
agl_352,67
agl_353,70
agl_354,64
agl_355,60
agl_356,63
agl_357,61
agl_358,60
agl_359,56
agl_360,57
agl_361,56
agl_362,54
agl_363,58
agl_364,57
agl_365,56
agl_366,61
agl_367,61
agl_368,66
agl_369,72
agl_370,66
agl_371,72
agl_372,87
agl_373,80
agl_374,82
agl_375,75
agl_376,77
agl_377,84
agl_378,70
agl_379,70
agl_380,69
agl_381,75
agl_382,84
agl_383,89
agl_384,83
agl_385,85
agl_386,94
agl_387,92
agl_388,89
agl_389,86
agl_390,83
agl_391,77
agl_392,77
agl_393,62
agl_394,66
agl_395,66
agl_396,69
agl_397,58
agl_398,59
agl_399,55
agl_400,57
agl_401,51
agl_402,50
agl_403,46
agl_404,50
agl_405,49
agl_406,48
agl_407,47
agl_408,46
agl_409,52
agl_410,46
agl_411,49
agl_412,46
agl_413,47
agl_414,47
agl_415,48
agl_416,47
agl_417,48
agl_418,49
agl_419,49
agl_420,48
agl_421,50
agl_422,48
agl_423,46
agl_424,46
agl_425,48
agl_426,48
agl_427,44
agl_428,47
agl_429,48
agl_430,50
agl_431,48
agl_432,53
agl_433,56
agl_434,55
agl_435,53
agl_436,61
agl_437,67
agl_438,65
agl_439,62
agl_440,62
agl_441,60
agl_442,59
agl_443,58
agl_444,59
agl_445,58
agl_446,59
agl_447,54
agl_448,55
agl_449,54
agl_450,53
agl_451,53
agl_452,52
agl_453,52
agl_454,53
agp_000,32
agp_001,36
agp_002,41
agp_003,39
agp_004,37
agp_005,38
agp_006,38
agp_007,44
agp_008,44
agp_009,45
agp_010,41
agp_011,44
agp_012,43
agp_013,48
agp_014,49
agp_015,47
agp_016,46
agp_017,46
agp_018,47
agp_019,47
agp_020,45
agp_021,43
agp_022,47
agp_023,48
agp_024,51
agp_025,56
agp_026,56
agp_027,54
agp_028,51
agp_029,50
agp_030,55
agp_031,55
agp_032,56
agp_033,56
agp_034,55
agp_035,48
agp_036,49
agp_037,51
agp_038,51
agp_039,49
agp_040,50
agp_041,45
agp_042,43
agp_043,45
agp_044,46
agp_045,44
agp_046,47
agp_047,47
agp_048,46
agp_049,44
agp_050,45
agp_051,46
agp_052,48
agp_053,48
agp_054,47
agp_055,51
agp_056,46
agp_057,43
agp_058,44
agp_059,43
agp_060,41
aig_000,42
aig_001,44
aig_002,46
aig_003,49
aig_004,52
aig_005,50
aig_006,48
aig_007,46
aig_008,41
aig_009,44
aig_010,44
aig_011,43
aig_012,47
aig_013,47
aig_014,47
aig_015,47
aig_016,45
aig_017,49
aig_018,52
aig_019,55
aig_020,54
aig_021,52
aig_022,51
aig_023,54
aig_024,53
aig_025,50
aig_026,48
aig_027,46
aig_028,49
aig_029,46
aig_030,45
aig_031,40
aig_032,44
aig_033,40
aig_034,41
aig_035,45
aig_036,46
aig_037,45
aig_038,41
aig_039,38
aig_040,39
aig_041,36
aig_042,34
aig_043,36
aig_044,35
aig_045,33
aig_046,29
aig_047,30
aig_048,30
aig_049,33
aig_050,34
aig_051,36
aig_052,37
aig_053,40
aiz_000,78
aiz_001,82
aiz_002,92
aiz_003,76
aiz_004,87
aiz_005,64
aiz_006,49
aiz_007,59
aiz_008,79
aiz_009,55
aiz_010,61
aiz_011,56
aiz_012,94
aiz_013,90
aiz_014,87
aiz_015,88
aiz_016,83
aiz_017,83
aiz_018,87
aiz_019,85
aiz_020,84
aiz_021,89
aiz_022,80
aiz_023,80
aiz_024,85
aiz_025,81
aiz_026,85
aiz_027,80
aiz_028,76
aiz_029,72
aiz_030,73
aiz_031,49
aiz_032,44
aiz_033,43
aiz_034,38
aiz_035,45
aiz_036,51
aiz_037,60
aiz_038,62
aiz_039,48
aiz_040,54
aiz_041,68
aiz_042,95
aiz_043,104
aiz_044,100
