image_id,wind_speed
acd_123,52
acd_124,47
acd_125,48
acd_126,48
acd_127,49
acd_128,51
acd_129,47
acd_130,46
acd_131,44
acd_132,49
acd_133,51
acd_134,50
acd_135,48
acd_136,53
acd_137,56
acd_138,52
acd_139,53
acd_140,58
acd_141,51
acd_142,49
acd_143,50
acd_144,50
acd_145,50
acd_146,48
acd_147,52
acd_148,50
acd_149,49
acd_150,45
acd_151,48
acd_152,47
acd_153,46
acd_154,53
acd_155,54
acd_156,55
acd_157,46
acd_158,47
acd_159,49
acd_160,52
acd_161,53
acd_162,54
acd_163,46
acd_164,51
acd_165,48
acd_166,54
acd_167,50
acd_168,55
acd_169,49
acd_170,53
acd_171,53
acd_172,51
acd_173,49
acd_174,49
acd_175,51
acd_176,52
acd_177,53
acd_178,56
acd_179,47
acd_180,52
acd_181,52
acd_182,54
acd_183,49
acd_184,54
acd_185,51
acd_186,53
acd_187,51
acd_188,56
acd_189,48
acd_190,47
acd_191,47
acd_192,50
acd_193,51
acd_194,47
acd_195,56
acd_196,57
acd_197,50
acd_198,51
acd_199,54
acd_200,50
acd_201,53
acd_202,56
acd_203,48
acd_204,52
acd_205,54
acd_206,55
acd_207,59
acd_208,62
acd_209,58
acd_210,63
acd_211,61
acd_212,56
acd_213,56
acd_214,51
acd_215,52
acd_216,55
acd_217,49
acd_218,60
acd_219,56
acd_220,50
acd_221,58
acd_222,55
acd_223,51
aek_032,50
aek_033,52
aek_034,53
aek_035,56
aek_036,61
aek_037,55
aek_038,57
aek_039,51
aek_040,56
aek_041,56
aek_042,52
aek_043,52
aek_044,58
aek_045,59
aek_046,54
aek_047,59
aek_048,61
aek_049,53
aek_050,56
aek_051,61
aek_052,61
aek_053,60
aek_054,50
aek_055,56
aek_056,64
aek_057,52
aek_058,53
aek_059,53
aek_060,55
aek_061,52
aek_062,50
aek_063,52
aek_064,48
aek_065,53
aek_066,54
aek_067,53
aek_068,51
aek_069,48
aek_070,52
aek_071,56
aek_072,49
aek_073,50
aek_074,49
aek_075,53
aek_076,47
aek_077,54
aek_078,50
aek_079,57
aek_080,55
aek_081,58
aek_082,53
aek_083,57
aek_084,53
aek_085,50
aek_086,58
aek_087,51
aek_088,52
aek_089,51
aek_090,51
aek_091,52
aek_092,54
aek_093,53
aek_094,49
aek_095,49
aek_096,58
aek_097,49
aek_098,54
aek_099,51
aek_100,53
aek_101,57
aek_102,51
aek_103,59
aek_104,51
aek_105,47
aek_106,52
aek_107,55
agb_000,54
agb_001,46
agb_002,50
agb_003,55
agb_004,52
agb_005,54
agb_006,54
agb_007,55
agb_008,55
agb_009,52
agb_010,45
agb_011,54
agb_012,50
agb_013,50
agb_014,55
agb_015,55
agb_016,54
agb_017,50
agb_018,51
agb_019,54
agb_020,55
agb_021,52
agb_022,48
agb_023,49
agb_024,50
agb_025,52
agb_026,49
agb_027,51
agb_028,54
agb_029,55
agb_030,54
agb_031,54
agb_032,50
agb_033,51
agb_034,55
agb_035,54
agb_036,55
agb_037,57
agb_038,53
agb_039,57
agb_040,52
agb_041,56
agb_042,55
agb_043,50
agb_044,56
agb_045,55
agb_046,54
agb_047,45
agb_048,55
agb_049,50
agb_050,53
agb_051,45
agb_052,51
agb_053,55
agb_054,55
agb_055,53
agb_056,50
agb_057,57
agb_058,51
agb_059,47
agb_060,52
agb_061,55
agb_062,56
agb_063,56
agb_064,53
agb_065,53
agb_066,59
agb_067,58
agb_068,53
agb_069,50
agb_070,50
agb_071,48
agb_072,53
agb_073,58
agb_074,55
agb_075,51
agb_076,53
agb_077,56
agb_078,54
agb_079,48
agb_080,48
agb_081,56
agb_082,53
agb_083,49
agb_084,46
agb_085,49
agb_086,56
agb_087,54
agb_088,55
agb_089,46
agb_090,49
agb_091,55
agb_092,54
agb_093,53
agb_094,54
agb_095,52
agb_096,52
agb_097,51
agb_098,52
agb_099,54
agb_100,56
agb_101,55
agb_102,58
agb_103,51
agb_104,56
agb_105,51
agb_106,55
agb_107,53
agb_108,55
agb_109,54
agb_110,50
agb_111,53
agb_112,49
agb_113,53
agb_114,48
agb_115,51
agb_116,54
agb_117,54
agb_118,49
agb_119,56
agb_120,47
agb_121,47
agb_122,54
agb_123,56
agb_124,54
agb_125,56
agb_126,53
agb_127,56
agb_128,53
agb_129,53
