image_id,wind_speed
acd_123,26
acd_124,27
acd_125,27
acd_126,26
acd_127,28
acd_128,29
acd_129,28
acd_130,28
acd_131,28
acd_132,30
acd_133,28
acd_134,29
acd_135,29
acd_136,30
acd_137,33
acd_138,32
acd_139,29
acd_140,29
acd_141,29
acd_142,35
acd_143,35
acd_144,33
acd_145,31
acd_146,29
acd_147,30
acd_148,30
acd_149,29
acd_150,28
acd_151,27
acd_152,25
acd_153,24
acd_154,25
acd_155,27
acd_156,32
acd_157,29
acd_158,28
acd_159,28
acd_160,28
acd_161,28
acd_162,26
acd_163,29
acd_164,30
acd_165,30
acd_166,28
acd_167,26
acd_168,26
acd_169,26
acd_170,26
acd_171,26
acd_172,27
acd_173,27
acd_174,26
acd_175,26
acd_176,29
acd_177,30
acd_178,27
acd_179,29
acd_180,24
acd_181,24
acd_182,25
acd_183,27
acd_184,27
acd_185,31
acd_186,29
acd_187,27
acd_188,27
acd_189,27
acd_190,27
acd_191,29
acd_192,29
acd_193,29
acd_194,30
acd_195,32
acd_196,31
acd_197,30
acd_198,30
acd_199,32
acd_200,32
acd_201,35
acd_202,34
acd_203,36
acd_204,37
acd_205,30
acd_206,28
acd_207,28
acd_208,29
acd_209,28
acd_210,31
acd_211,26
acd_212,25
acd_213,31
acd_214,30
acd_215,26
acd_216,24
acd_217,24
acd_218,28
acd_219,28
acd_220,30
acd_221,30
acd_222,28
acd_223,29
aek_032,31
aek_033,31
aek_034,32
aek_035,39
aek_036,43
aek_037,34
aek_038,31
aek_039,41
aek_040,45
aek_041,37
aek_042,42
aek_043,45
aek_044,40
aek_045,36
aek_046,39
aek_047,34
aek_048,28
aek_049,31
aek_050,29
aek_051,26
aek_052,26
aek_053,27
aek_054,27
aek_055,27
aek_056,25
aek_057,28
aek_058,34
aek_059,33
aek_060,29
aek_061,34
aek_062,27
aek_063,31
aek_064,33
aek_065,32
aek_066,32
aek_067,32
aek_068,33
aek_069,29
aek_070,30
aek_071,31
aek_072,29
aek_073,31
aek_074,29
aek_075,28
aek_076,31
aek_077,33
aek_078,33
