image_id,wind_speed
acd_123,26
acd_124,26
acd_125,26
acd_126,26
acd_127,29
acd_128,30
acd_129,29
acd_130,29
acd_131,31
acd_132,29
acd_133,28
acd_134,29
acd_135,29
acd_136,29
acd_137,28
acd_138,30
acd_139,31
acd_140,31
acd_141,30
acd_142,28
acd_143,31
acd_144,29
acd_145,27
acd_146,25
acd_147,26
acd_148,26
acd_149,26
acd_150,24
acd_151,25
acd_152,25
acd_153,26
acd_154,26
acd_155,26
acd_156,27
acd_157,27
acd_158,27
acd_159,27
acd_160,29
acd_161,27
acd_162,28
acd_163,29
acd_164,27
acd_165,28
acd_166,27
acd_167,27
acd_168,28
acd_169,27
acd_170,27
acd_171,27
acd_172,27
acd_173,27
acd_174,27
acd_175,27
acd_176,28
acd_177,27
acd_178,28
acd_179,28
acd_180,27
acd_181,27
acd_182,27
acd_183,27
acd_184,28
acd_185,29
acd_186,28
acd_187,28
acd_188,28
acd_189,27
acd_190,27
acd_191,28
acd_192,28
acd_193,28
acd_194,26
acd_195,27
acd_196,27
acd_197,29
acd_198,30
acd_199,31
acd_200,31
acd_201,32
acd_202,30
acd_203,30
acd_204,30
acd_205,31
acd_206,30
acd_207,31
acd_208,30
acd_209,30
acd_210,28
acd_211,28
acd_212,28
acd_213,31
acd_214,28
acd_215,27
acd_216,28
acd_217,28
acd_218,27
acd_219,28
acd_220,29
acd_221,29
acd_222,29
acd_223,26
aek_032,27
aek_033,30
aek_034,34
aek_035,38
aek_036,39
aek_037,28
aek_038,32
aek_039,37
aek_040,30
aek_041,35
aek_042,32
aek_043,38
aek_044,44
aek_045,49
aek_046,33
aek_047,32
aek_048,37
aek_049,32
aek_050,32
aek_051,27
aek_052,29
aek_053,29
aek_054,31
aek_055,28
aek_056,25
aek_057,28
aek_058,28
aek_059,25
aek_060,29
aek_061,27
aek_062,25
aek_063,29
aek_064,33
aek_065,33
aek_066,30
aek_067,32
aek_068,33
aek_069,30
aek_070,29
aek_071,27
aek_072,31
aek_073,32
aek_074,30
aek_075,27
aek_076,30
aek_077,35
aek_078,34
aek_079,30
aek_080,30
aek_081,29
aek_082,38
aek_083,29
aek_084,31
aek_085,34
aek_086,35
aek_087,30
aek_088,27
aek_089,28
aek_090,35
aek_091,28
aek_092,34
aek_093,28
aek_094,27
aek_095,28
aek_096,27
aek_097,28
aek_098,27
aek_099,28
aek_100,27
aek_101,27
aek_102,27
aek_103,29
aek_104,30
aek_105,30
aek_106,28
aek_107,28
agb_000,41
agb_001,48
agb_002,50
agb_003,42
agb_004,42
agb_005,40
agb_006,42
agb_007,41
agb_008,41
agb_009,40
agb_010,41
agb_011,37
agb_012,41
agb_013,43
agb_014,40
agb_015,42
agb_016,46
agb_017,49
agb_018,46
agb_019,45
agb_020,43
agb_021,40
agb_022,35
agb_023,40
agb_024,42
agb_025,38
agb_026,37
agb_027,41
agb_028,45
agb_029,44
agb_030,46
agb_031,50
agb_032,52
agb_033,46
agb_034,44
agb_035,38
agb_036,36
agb_037,34
agb_038,33
agb_039,33
agb_040,40
agb_041,45
agb_042,40
agb_043,33
agb_044,37
agb_045,35
agb_046,32
agb_047,33
agb_048,36
agb_049,38
agb_050,41
agb_051,36
agb_052,37
agb_053,34
agb_054,34
agb_055,36
agb_056,32
agb_057,35
agb_058,36
agb_059,35
agb_060,36
agb_061,41
agb_062,40
agb_063,45
agb_064,42
agb_065,46
agb_066,48
agb_067,42
agb_068,66
agb_069,60
agb_070,62
agb_071,58
agb_072,62
agb_073,57
agb_074,50
agb_075,49
agb_076,55
agb_077,58
agb_078,55
agb_079,59
agb_080,65
agb_081,67
agb_082,66
agb_083,62
agb_084,73
agb_085,63
agb_086,70
agb_087,79
agb_088,65
agb_089,71
agb_090,70
agb_091,67
agb_092,93
agb_093,76
agb_094,79
agb_095,80
agb_096,76
agb_097,76
agb_098,79
agb_099,89
agb_100,93
agb_101,93
agb_102,99
agb_103,100
agb_104,99
agb_105,88
agb_106,91
agb_107,90
agb_108,96
agb_109,104
agb_110,96
agb_111,92
agb_112,102
agb_113,120
agb_114,118
agb_115,111
agb_116,105
agb_117,106
agb_118,94
agb_119,98
agb_120,90
agb_121,85
agb_122,92
agb_123,96
agb_124,92
agb_125,89
agb_126,87
agb_127,96
agb_128,100
agb_129,100
agb_130,105
agb_131,97
agb_132,96
agl_129,36
agl_130,38
agl_131,43
agl_132,41
agl_133,43
agl_134,39
agl_135,37
agl_136,38
agl_137,38
agl_138,38
agl_139,40
agl_140,41
agl_141,37
agl_142,32
agl_143,42
agl_144,30
agl_145,31
agl_146,41
agl_147,51
agl_148,50
agl_149,45
agl_150,50
agl_151,46
agl_152,37
agl_153,36
agl_154,33
agl_155,36
agl_156,39
agl_157,37
agl_158,38
agl_159,47
agl_160,44
agl_161,38
agl_162,46
agl_163,39
agl_164,39
agl_165,35
agl_166,44
agl_167,53
agl_168,51
agl_169,47
agl_170,51
agl_171,49
agl_172,52
agl_173,56
agl_174,63
agl_175,63
agl_176,63
agl_177,47
agl_178,41
agl_179,55
agl_180,53
agl_181,54
agl_182,57
agl_183,51
agl_184,54
agl_185,58
agl_186,64
agl_187,67
agl_188,52
agl_189,53
agl_190,61
agl_191,62
agl_192,71
agl_193,67
agl_194,64
agl_195,60
agl_196,62
agl_197,54
agl_198,57
agl_199,60
agl_200,70
agl_201,62
agl_202,71
agl_203,66
agl_204,65
agl_205,60
agl_206,64
agl_207,67
agl_208,59
agl_209,57
agl_210,61
agl_211,62
agl_212,60
agl_213,65
agl_214,68
agl_215,56
agl_216,55
agl_217,54
agl_218,56
agl_219,47
agl_220,51
agl_221,46
agl_222,42
agl_223,42
agl_224,32
agl_225,34
agl_226,37
agl_227,39
agl_228,36
agl_229,39
agl_230,40
agl_231,40
agl_232,41
agl_233,46
agl_234,47
agl_235,46
agl_236,47
agl_237,41
agl_238,39
agl_239,37
agl_240,39
agl_241,39
agl_242,38
agl_243,39
agl_244,50
agl_245,52
agl_246,50
agl_247,53
agl_248,50
agl_249,48
agl_250,47
agl_251,51
agl_252,59
agl_253,55
agl_254,55
agl_255,58
agl_256,59
agl_257,60
agl_258,60
agl_259,59
agl_260,63
agl_261,70
agl_262,64
agl_263,60
agl_264,58
agl_265,52
agl_266,53
agl_267,52
agl_268,61
agl_269,61
agl_270,56
agl_271,58
agl_272,53
agl_273,55
agl_274,58
agl_275,59
agl_276,63
agl_277,64
agl_278,60
agl_279,56
agl_280,55
agl_281,55
agl_282,62
agl_283,71
agl_284,62
agl_285,59
agl_286,62
agl_287,53
agl_288,60
agl_289,49
agl_290,57
agl_291,52
agl_292,47
agl_293,42
agl_294,48
agl_295,49
agl_296,53
agl_297,53
agl_298,56
agl_299,48
agl_300,43
agl_301,50
agl_302,43
agl_303,47
agl_304,55
agl_305,44
agl_306,42
agl_307,46
agl_308,45
agl_309,45
agl_310,47
agl_311,44
agl_312,44
agl_313,41
agl_314,41
agl_315,45
agl_316,51
agl_317,52
agl_318,57
agl_319,56
agl_320,62
agl_321,59
agl_322,50
agl_323,43
agl_324,43
agl_325,42
agl_326,42
agl_327,43
agl_328,48
agl_329,50
agl_330,54
agl_331,55
agl_332,57
agl_333,52
agl_334,52
agl_335,49
agl_336,50
agl_337,49
agl_338,52
agl_339,48
agl_340,49
agl_341,54
agl_342,62
agl_343,64
