image_id,wind_speed
acd_123,24
acd_124,24
acd_125,23
acd_126,23
acd_127,23
acd_128,25
acd_129,25
acd_130,26
acd_131,25
acd_132,26
acd_133,27
acd_134,27
acd_135,27
acd_136,27
acd_137,27
acd_138,30
acd_139,31
acd_140,30
acd_141,29
acd_142,28
acd_143,28
acd_144,29
acd_145,29
acd_146,28
acd_147,28
acd_148,26
acd_149,27
acd_150,27
acd_151,27
acd_152,26
acd_153,27
acd_154,27
acd_155,27
acd_156,28
acd_157,27
acd_158,27
acd_159,28
acd_160,27
acd_161,27
acd_162,27
acd_163,26
acd_164,24
acd_165,24
acd_166,27
acd_167,25
acd_168,25
acd_169,23
acd_170,24
acd_171,23
acd_172,23
acd_173,23
acd_174,22
acd_175,23
acd_176,25
acd_177,26
acd_178,23
acd_179,24
acd_180,26
acd_181,27
acd_182,27
acd_183,27
acd_184,27
acd_185,26
acd_186,28
acd_187,27
acd_188,27
acd_189,26
acd_190,27
acd_191,27
acd_192,27
acd_193,26
acd_194,26
acd_195,26
acd_196,26
acd_197,26
acd_198,27
acd_199,27
acd_200,25
acd_201,27
acd_202,26
acd_203,27
acd_204,29
acd_205,29
acd_206,34
acd_207,31
acd_208,32
acd_209,32
acd_210,31
acd_211,30
acd_212,28
acd_213,29
acd_214,30
acd_215,30
acd_216,31
acd_217,33
acd_218,34
acd_219,33
acd_220,34
acd_221,34
acd_222,34
acd_223,32
aek_032,27
aek_033,30
aek_034,30
aek_035,28
aek_036,32
aek_037,28
aek_038,28
aek_039,29
aek_040,29
aek_041,32
aek_042,33
aek_043,29
aek_044,26
aek_045,31
aek_046,28
aek_047,24
aek_048,26
aek_049,26
aek_050,25
aek_051,21
aek_052,21
aek_053,21
aek_054,24
aek_055,26
aek_056,29
aek_057,29
aek_058,28
aek_059,29
aek_060,31
aek_061,31
aek_062,31
aek_063,34
aek_064,34
aek_065,32
aek_066,33
aek_067,34
aek_068,39
aek_069,41
aek_070,40
aek_071,41
aek_072,34
aek_073,33
aek_074,30
aek_075,30
aek_076,30
aek_077,28
aek_078,29
aek_079,31
aek_080,34
aek_081,34
aek_082,40
aek_083,33
aek_084,31
aek_085,34
aek_086,31
aek_087,29
aek_088,28
aek_089,28
aek_090,33
aek_091,31
aek_092,34
aek_093,29
aek_094,29
aek_095,29
aek_096,31
aek_097,33
aek_098,28
aek_099,28
aek_100,30
aek_101,32
aek_102,33
aek_103,32
aek_104,33
aek_105,33
aek_106,33
aek_107,33
agb_000,35
agb_001,34
agb_002,36
agb_003,34
agb_004,34
agb_005,36
agb_006,38
agb_007,37
agb_008,37
agb_009,39
agb_010,45
agb_011,49
agb_012,52
agb_013,53
agb_014,46
agb_015,40
agb_016,39
agb_017,39
agb_018,41
agb_019,46
agb_020,46
agb_021,46
agb_022,41
agb_023,37
agb_024,36
agb_025,29
agb_026,30
agb_027,29
agb_028,37
agb_029,31
agb_030,35
agb_031,33
agb_032,35
agb_033,35
agb_034,33
agb_035,35
agb_036,34
agb_037,37
agb_038,37
agb_039,35
agb_040,36
agb_041,36
agb_042,33
agb_043,34
agb_044,33
agb_045,35
agb_046,35
agb_047,36
agb_048,37
agb_049,37
agb_050,42
agb_051,44
agb_052,41
agb_053,41
agb_054,40
agb_055,44
agb_056,43
agb_057,40
agb_058,44
agb_059,38
agb_060,40
agb_061,42
agb_062,46
agb_063,50
agb_064,48
agb_065,46
agb_066,47
agb_067,49
agb_068,53
agb_069,53
agb_070,55
agb_071,49
agb_072,47
agb_073,51
agb_074,52
agb_075,53
agb_076,58
agb_077,63
agb_078,60
agb_079,59
agb_080,67
agb_081,76
agb_082,78
agb_083,69
agb_084,73
agb_085,77
agb_086,77
agb_087,80
agb_088,78
agb_089,79
agb_090,78
agb_091,76
agb_092,73
agb_093,71
agb_094,72
agb_095,80
agb_096,83
agb_097,79
agb_098,79
agb_099,75
agb_100,73
agb_101,79
agb_102,88
agb_103,91
agb_104,85
agb_105,84
agb_106,87
agb_107,88
agb_108,92
agb_109,100
agb_110,90
agb_111,96
agb_112,99
agb_113,101
agb_114,101
agb_115,105
agb_116,100
agb_117,98
agb_118,84
agb_119,86
agb_120,88
agb_121,88
agb_122,85
agb_123,90
agb_124,90
agb_125,93
agb_126,94
agb_127,99
agb_128,101
agb_129,104
agb_130,106
agb_131,108
agb_132,110
agl_129,36
agl_130,34
agl_131,33
agl_132,35
agl_133,38
agl_134,40
agl_135,33
agl_136,33
agl_137,36
agl_138,37
agl_139,38
agl_140,36
agl_141,40
agl_142,37
agl_143,37
agl_144,37
agl_145,39
agl_146,41
agl_147,45
agl_148,44
agl_149,41
agl_150,40
agl_151,40
agl_152,39
agl_153,37
agl_154,37
agl_155,36
agl_156,38
agl_157,37
agl_158,34
agl_159,34
agl_160,31
agl_161,32
agl_162,34
agl_163,41
agl_164,40
agl_165,42
agl_166,44
agl_167,47
agl_168,49
agl_169,49
agl_170,48
agl_171,41
agl_172,38
agl_173,38
agl_174,38
agl_175,43
agl_176,53
agl_177,37
agl_178,41
agl_179,42
agl_180,45
agl_181,51
agl_182,44
agl_183,42
agl_184,43
agl_185,43
agl_186,42
agl_187,41
agl_188,44
agl_189,42
agl_190,44
agl_191,40
agl_192,40
agl_193,40
agl_194,41
agl_195,38
agl_196,39
agl_197,38
agl_198,39
agl_199,48
agl_200,51
agl_201,45
agl_202,54
agl_203,52
agl_204,49
agl_205,42
agl_206,38
agl_207,38
agl_208,55
agl_209,53
agl_210,51
agl_211,53
agl_212,51
agl_213,50
agl_214,45
agl_215,36
agl_216,36
agl_217,39
agl_218,39
agl_219,42
agl_220,45
agl_221,42
agl_222,36
agl_223,35
agl_224,32
agl_225,31
agl_226,31
agl_227,31
agl_228,33
agl_229,34
agl_230,33
agl_231,33
agl_232,33
agl_233,37
agl_234,36
agl_235,35
agl_236,35
agl_237,34
agl_238,35
agl_239,34
agl_240,33
agl_241,34
agl_242,34
agl_243,34
agl_244,35
agl_245,36
agl_246,35
agl_247,35
agl_248,36
agl_249,41
agl_250,40
agl_251,37
agl_252,46
agl_253,52
agl_254,58
agl_255,60
agl_256,58
agl_257,57
agl_258,57
agl_259,57
agl_260,59
agl_261,61
agl_262,63
agl_263,60
agl_264,58
agl_265,56
agl_266,59
agl_267,59
agl_268,54
agl_269,48
agl_270,45
agl_271,37
agl_272,37
agl_273,46
agl_274,47
agl_275,46
agl_276,43
agl_277,43
agl_278,40
agl_279,47
agl_280,53
agl_281,44
agl_282,47
agl_283,62
agl_284,60
agl_285,49
agl_286,61
agl_287,49
agl_288,62
agl_289,58
agl_290,56
agl_291,53
agl_292,43
agl_293,46
agl_294,48
agl_295,54
agl_296,51
agl_297,53
agl_298,53
agl_299,47
agl_300,63
agl_301,71
agl_302,56
agl_303,44
agl_304,46
agl_305,45
agl_306,43
agl_307,48
agl_308,46
agl_309,46
agl_310,49
agl_311,45
agl_312,45
agl_313,42
agl_314,39
agl_315,43
agl_316,45
agl_317,40
agl_318,52
agl_319,56
agl_320,61
agl_321,58
agl_322,45
agl_323,37
agl_324,47
agl_325,50
agl_326,47
agl_327,48
agl_328,46
agl_329,44
agl_330,44
agl_331,44
agl_332,45
agl_333,45
agl_334,46
agl_335,49
agl_336,47
agl_337,49
agl_338,48
agl_339,43
agl_340,48
agl_341,47
agl_342,52
agl_343,55
agl_344,57
agl_345,60
agl_346,72
agl_347,66
agl_348,63
agl_349,66
agl_350,64
agl_351,57
agl_352,64
agl_353,63
agl_354,68
agl_355,68
agl_356,64
agl_357,61
agl_358,60
agl_359,57
agl_360,58
agl_361,60
agl_362,51
agl_363,55
agl_364,60
agl_365,68
agl_366,75
agl_367,61
agl_368,70
agl_369,72
agl_370,70
agl_371,75
agl_372,84
agl_373,83
agl_374,81
agl_375,67
agl_376,66
agl_377,76
agl_378,65
agl_379,64
agl_380,61
agl_381,76
agl_382,80
agl_383,82
agl_384,79
agl_385,82
agl_386,84
agl_387,83
agl_388,80
agl_389,82
agl_390,78
agl_391,72
agl_392,68
agl_393,59
agl_394,59
agl_395,58
agl_396,55
agl_397,49
agl_398,55
agl_399,50
agl_400,50
agl_401,50
agl_402,50
agl_403,48
agl_404,49
agl_405,48
agl_406,45
agl_407,46
agl_408,42
agl_409,41
agl_410,40
agl_411,42
agl_412,41
agl_413,43
agl_414,47
agl_415,46
agl_416,44
agl_417,46
agl_418,46
agl_419,45
agl_420,43
agl_421,44
agl_422,44
agl_423,44
agl_424,47
agl_425,48
agl_426,47
agl_427,46
agl_428,47
agl_429,51
agl_430,49
agl_431,54
agl_432,56
agl_433,57
agl_434,57
agl_435,57
agl_436,63
agl_437,60
agl_438,61
agl_439,59
agl_440,61
agl_441,57
agl_442,57
agl_443,59
agl_444,57
agl_445,54
agl_446,53
agl_447,51
agl_448,50
agl_449,53
agl_450,55
agl_451,58
agl_452,57
agl_453,54
agl_454,50
agp_000,39
agp_001,42
agp_002,47
agp_003,41
agp_004,40
agp_005,40
agp_006,44
agp_007,46
agp_008,43
agp_009,44
agp_010,43
agp_011,49
agp_012,48
agp_013,49
agp_014,41
agp_015,45
agp_016,48
agp_017,51
agp_018,55
agp_019,54
agp_020,47
agp_021,47
agp_022,44
agp_023,41
agp_024,50
agp_025,52
agp_026,41
agp_027,37
agp_028,38
agp_029,35
agp_030,38
agp_031,43
agp_032,48
agp_033,48
agp_034,51
agp_035,49
agp_036,53
agp_037,47
agp_038,46
agp_039,46
agp_040,46
agp_041,49
agp_042,51
agp_043,52
agp_044,51
agp_045,48
agp_046,47
agp_047,48
agp_048,46
agp_049,50
agp_050,50
agp_051,47
agp_052,49
agp_053,49
agp_054,48
agp_055,55
agp_056,55
agp_057,54
agp_058,52
agp_059,51
agp_060,51
aig_000,34
aig_001,36
aig_002,36
aig_003,35
aig_004,33
aig_005,34
aig_006,39
aig_007,37
aig_008,38
aig_009,42
aig_010,40
aig_011,42
aig_012,42
aig_013,44
aig_014,44
aig_015,43
aig_016,45
aig_017,46
aig_018,47
aig_019,48
aig_020,49
aig_021,50
aig_022,52
aig_023,51
aig_024,49
aig_025,46
aig_026,45
aig_027,41
aig_028,39
aig_029,40
aig_030,39
aig_031,37
aig_032,42
aig_033,43
aig_034,44
aig_035,46
aig_036,48
aig_037,47
aig_038,41
aig_039,41
aig_040,43
aig_041,45
aig_042,43
aig_043,44
aig_044,44
aig_045,39
aig_046,35
aig_047,33
aig_048,36
aig_049,32
aig_050,37
aig_051,40
aig_052,38
aig_053,40
aiz_000,79
aiz_001,86
aiz_002,92
aiz_003,81
aiz_004,87
aiz_005,81
aiz_006,51
aiz_007,77
aiz_008,62
aiz_009,70
aiz_010,79
aiz_011,70
aiz_012,73
aiz_013,72
aiz_014,69
aiz_015,74
aiz_016,69
aiz_017,71
aiz_018,74
aiz_019,73
aiz_020,79
aiz_021,82
aiz_022,76
aiz_023,77
aiz_024,82
aiz_025,80
aiz_026,79
aiz_027,77
aiz_028,72
aiz_029,73
aiz_030,78
aiz_031,58
aiz_032,54
aiz_033,57
aiz_034,46
aiz_035,61
aiz_036,64
aiz_037,66
aiz_038,46
aiz_039,43
aiz_040,50
aiz_041,67
aiz_042,95
aiz_043,98
aiz_044,93
