image_id,wind_speed
acd_123,33
acd_124,33
acd_125,33
acd_126,31
acd_127,30
acd_128,29
acd_129,29
acd_130,29
acd_131,28
acd_132,27
acd_133,28
acd_134,28
acd_135,28
acd_136,27
acd_137,27
acd_138,26
acd_139,26
acd_140,26
acd_141,26
acd_142,27
acd_143,26
acd_144,27
acd_145,26
acd_146,26
acd_147,25
acd_148,25
acd_149,25
acd_150,26
acd_151,24
acd_152,25
acd_153,26
acd_154,26
acd_155,26
acd_156,26
acd_157,26
acd_158,26
acd_159,26
acd_160,26
acd_161,25
acd_162,26
acd_163,25
acd_164,26
acd_165,26
acd_166,26
acd_167,25
acd_168,26
acd_169,25
acd_170,25
acd_171,25
acd_172,26
acd_173,26
acd_174,26
acd_175,27
acd_176,27
acd_177,27
acd_178,27
acd_179,26
acd_180,26
acd_181,27
acd_182,27
acd_183,28
acd_184,27
acd_185,28
acd_186,28
acd_187,27
acd_188,27
acd_189,27
acd_190,25
acd_191,25
acd_192,24
acd_193,24
acd_194,23
acd_195,24
acd_196,24
acd_197,24
acd_198,24
acd_199,24
acd_200,24
acd_201,24
acd_202,24
acd_203,24
acd_204,24
acd_205,25
acd_206,26
acd_207,26
acd_208,27
acd_209,27
acd_210,27
acd_211,28
acd_212,28
acd_213,28
acd_214,29
acd_215,29
acd_216,29
acd_217,28
acd_218,29
acd_219,29
acd_220,29
acd_221,30
acd_222,30
acd_223,30
aek_032,31
aek_033,30
aek_034,30
aek_035,31
aek_036,33
aek_037,31
aek_038,30
aek_039,29
aek_040,29
aek_041,30
aek_042,29
aek_043,35
aek_044,28
aek_045,29
aek_046,29
aek_047,26
aek_048,26
aek_049,27
aek_050,28
aek_051,26
aek_052,26
aek_053,27
aek_054,28
aek_055,28
aek_056,29
aek_057,30
aek_058,31
aek_059,30
aek_060,30
aek_061,30
aek_062,29
aek_063,32
aek_064,36
aek_065,38
aek_066,41
aek_067,40
aek_068,36
aek_069,37
aek_070,37
aek_071,36
aek_072,37
aek_073,34
aek_074,33
aek_075,33
aek_076,32
aek_077,31
aek_078,32
aek_079,33
aek_080,33
aek_081,31
aek_082,36
aek_083,30
aek_084,29
aek_085,30
aek_086,30
aek_087,29
aek_088,28
aek_089,29
aek_090,31
aek_091,31
aek_092,31
aek_093,29
aek_094,29
aek_095,29
aek_096,29
aek_097,28
aek_098,28
aek_099,28
aek_100,29
aek_101,29
aek_102,30
aek_103,31
aek_104,33
aek_105,34
aek_106,34
aek_107,35
agb_000,42
agb_001,41
agb_002,43
agb_003,42
agb_004,40
agb_005,39
agb_006,41
agb_007,41
agb_008,43
agb_009,44
agb_010,44
agb_011,44
agb_012,44
agb_013,43
agb_014,44
agb_015,45
agb_016,42
