image_id,wind_speed
acd_123,28
acd_124,27
acd_125,27
acd_126,26
acd_127,27
acd_128,26
acd_129,26
acd_130,25
acd_131,25
acd_132,25
acd_133,25
acd_134,25
acd_135,26
acd_136,25
acd_137,25
acd_138,25
acd_139,25
acd_140,25
acd_141,24
acd_142,26
acd_143,25
acd_144,25
acd_145,25
acd_146,24
acd_147,24
acd_148,23
acd_149,24
acd_150,24
acd_151,22
acd_152,23
acd_153,24
acd_154,24
acd_155,24
acd_156,25
acd_157,25
acd_158,25
acd_159,25
acd_160,24
acd_161,24
acd_162,24
acd_163,24
acd_164,24
acd_165,24
acd_166,23
acd_167,23
acd_168,23
acd_169,21
acd_170,22
acd_171,22
acd_172,24
acd_173,25
acd_174,25
acd_175,25
acd_176,26
acd_177,26
acd_178,26
acd_179,26
acd_180,25
acd_181,25
acd_182,25
acd_183,27
acd_184,27
acd_185,26
acd_186,28
acd_187,27
acd_188,27
acd_189,26
acd_190,25
acd_191,25
acd_192,25
acd_193,24
acd_194,24
acd_195,25
acd_196,25
acd_197,25
acd_198,25
acd_199,25
acd_200,25
acd_201,25
acd_202,25
acd_203,25
acd_204,25
acd_205,24
acd_206,27
acd_207,27
acd_208,27
acd_209,28
acd_210,28
acd_211,28
acd_212,28
acd_213,29
acd_214,30
acd_215,30
acd_216,29
acd_217,29
acd_218,29
acd_219,30
acd_220,30
acd_221,30
acd_222,30
acd_223,31
aek_032,31
aek_033,31
aek_034,30
aek_035,30
aek_036,30
aek_037,28
aek_038,29
aek_039,29
aek_040,30
aek_041,30
aek_042,30
aek_043,31
aek_044,29
aek_045,29
aek_046,27
aek_047,27
aek_048,26
aek_049,26
aek_050,27
aek_051,26
aek_052,26
aek_053,26
aek_054,27
aek_055,28
aek_056,30
aek_057,31
aek_058,32
aek_059,30
aek_060,31
aek_061,30
aek_062,29
aek_063,31
aek_064,41
aek_065,42
aek_066,41
aek_067,41
aek_068,37
aek_069,36
aek_070,37
aek_071,35
aek_072,35
aek_073,36
aek_074,36
aek_075,38
aek_076,36
aek_077,33
aek_078,34
aek_079,34
aek_080,33
aek_081,30
aek_082,32
aek_083,29
aek_084,27
aek_085,28
aek_086,28
aek_087,28
aek_088,28
aek_089,27
aek_090,32
aek_091,34
aek_092,32
aek_093,29
aek_094,29
aek_095,30
aek_096,30
aek_097,29
aek_098,28
aek_099,28
aek_100,28
aek_101,29
aek_102,30
aek_103,30
aek_104,32
aek_105,34
aek_106,34
aek_107,36
agb_000,39
agb_001,38
agb_002,43
agb_003,40
agb_004,33
agb_005,36
agb_006,39
agb_007,38
agb_008,40
agb_009,43
agb_010,42
agb_011,45
agb_012,46
agb_013,48
agb_014,47
agb_015,44
agb_016,41
agb_017,38
agb_018,41
agb_019,40
agb_020,40
agb_021,38
agb_022,39
agb_023,40
agb_024,38
agb_025,37
agb_026,36
agb_027,37
agb_028,36
agb_029,36
agb_030,35
agb_031,34
agb_032,33
agb_033,34
agb_034,33
agb_035,37
agb_036,38
agb_037,36
agb_038,43
agb_039,43
agb_040,41
agb_041,41
agb_042,42
agb_043,35
agb_044,32
agb_045,33
agb_046,32
agb_047,33
agb_048,33
agb_049,43
agb_050,45
agb_051,47
agb_052,46
agb_053,42
agb_054,42
agb_055,43
agb_056,45
agb_057,44
agb_058,34
agb_059,33
agb_060,35
agb_061,34
agb_062,33
agb_063,36
agb_064,33
agb_065,36
agb_066,34
agb_067,50
agb_068,76
agb_069,77
agb_070,78
agb_071,75
agb_072,77
agb_073,58
agb_074,55
agb_075,63
agb_076,65
agb_077,63
agb_078,69
agb_079,69
agb_080,72
agb_081,72
agb_082,71
agb_083,69
agb_084,68
agb_085,77
agb_086,78
agb_087,70
agb_088,72
agb_089,69
agb_090,70
agb_091,68
agb_092,68
agb_093,68
agb_094,79
agb_095,81
agb_096,88
agb_097,81
agb_098,86
agb_099,85
agb_100,86
agb_101,86
agb_102,85
agb_103,84
agb_104,83
agb_105,83
agb_106,82
agb_107,85
agb_108,90
agb_109,95
agb_110,88
agb_111,89
agb_112,98
agb_113,100
agb_114,104
agb_115,102
agb_116,90
agb_117,92
agb_118,83
agb_119,83
agb_120,84
agb_121,89
agb_122,82
agb_123,84
agb_124,86
agb_125,87
agb_126,89
agb_127,92
agb_128,93
agb_129,97
agb_130,103
agb_131,98
agb_132,103
agl_129,44
agl_130,45
agl_131,48
agl_132,49
agl_133,44
agl_134,42
agl_135,41
agl_136,41
agl_137,38
agl_138,36
agl_139,37
agl_140,27
agl_141,41
agl_142,45
agl_143,41
agl_144,39
agl_145,42
agl_146,43
agl_147,39
agl_148,43
agl_149,44
agl_150,43
agl_151,43
agl_152,34
agl_153,33
agl_154,32
agl_155,30
agl_156,36
agl_157,38
agl_158,40
agl_159,37
agl_160,32
agl_161,32
agl_162,37
agl_163,41
agl_164,41
agl_165,43
agl_166,45
agl_167,44
agl_168,46
agl_169,45
agl_170,44
agl_171,43
agl_172,43
agl_173,37
agl_174,38
agl_175,43
agl_176,45
agl_177,44
agl_178,43
agl_179,44
agl_180,46
agl_181,47
agl_182,46
agl_183,47
agl_184,45
agl_185,44
agl_186,43
agl_187,45
agl_188,44
agl_189,42
agl_190,41
agl_191,42
agl_192,45
agl_193,46
agl_194,49
agl_195,48
agl_196,51
agl_197,49
agl_198,52
agl_199,52
agl_200,52
agl_201,52
agl_202,48
agl_203,49
agl_204,46
agl_205,46
agl_206,47
agl_207,51
agl_208,52
agl_209,55
agl_210,54
agl_211,53
agl_212,47
agl_213,52
agl_214,44
agl_215,42
agl_216,37
agl_217,36
agl_218,35
agl_219,33
agl_220,35
agl_221,35
agl_222,34
agl_223,34
agl_224,34
agl_225,34
agl_226,35
agl_227,36
agl_228,36
agl_229,37
agl_230,36
agl_231,36
agl_232,37
agl_233,37
agl_234,38
agl_235,37
agl_236,36
agl_237,37
agl_238,36
agl_239,35
agl_240,34
agl_241,34
agl_242,36
agl_243,36
agl_244,37
agl_245,38
agl_246,39
agl_247,40
agl_248,40
agl_249,41
agl_250,41
agl_251,41
agl_252,41
agl_253,43
agl_254,44
agl_255,53
agl_256,53
agl_257,51
agl_258,53
agl_259,57
agl_260,56
agl_261,52
agl_262,53
agl_263,59
agl_264,62
agl_265,61
agl_266,62
agl_267,61
agl_268,60
agl_269,54
agl_270,52
agl_271,54
agl_272,55
agl_273,51
agl_274,52
agl_275,49
agl_276,47
agl_277,45
agl_278,45
agl_279,44
agl_280,46
agl_281,47
agl_282,48
agl_283,73
agl_284,77
agl_285,73
agl_286,71
agl_287,56
agl_288,68
agl_289,51
agl_290,59
agl_291,45
agl_292,42
agl_293,46
agl_294,49
agl_295,46
agl_296,47
agl_297,47
agl_298,60
agl_299,45
agl_300,46
agl_301,53
agl_302,45
agl_303,42
agl_304,42
agl_305,41
agl_306,41
agl_307,41
agl_308,42
agl_309,42
agl_310,42
agl_311,41
agl_312,41
agl_313,42
agl_314,43
agl_315,43
agl_316,42
agl_317,42
agl_318,42
agl_319,45
agl_320,39
agl_321,38
agl_322,37
agl_323,33
agl_324,33
agl_325,38
agl_326,32
agl_327,45
agl_328,58
agl_329,44
agl_330,45
agl_331,44
agl_332,43
agl_333,40
agl_334,58
agl_335,66
agl_336,65
agl_337,64
agl_338,60
agl_339,57
agl_340,38
agl_341,46
agl_342,61
agl_343,64
agl_344,65
agl_345,62
agl_346,67
agl_347,67
agl_348,69
