image_id,wind_speed
acd_123,35
acd_124,43
acd_125,37
acd_126,37
acd_127,39
acd_128,39
acd_129,39
acd_130,39
acd_131,41
acd_132,41
acd_133,41
acd_134,38
acd_135,41
acd_136,35
acd_137,42
acd_138,39
acd_139,43
acd_140,35
acd_141,38
acd_142,41
acd_143,32
acd_144,39
acd_145,33
acd_146,39
acd_147,41
acd_148,39
acd_149,39
acd_150,39
acd_151,39
acd_152,39
acd_153,41
acd_154,41
acd_155,39
acd_156,41
acd_157,39
acd_158,39
acd_159,39
acd_160,37
acd_161,39
acd_162,37
acd_163,39
acd_164,39
acd_165,40
acd_166,41
acd_167,41
acd_168,37
acd_169,43
acd_170,37
acd_171,37
acd_172,29
acd_173,41
acd_174,39
acd_175,41
acd_176,39
acd_177,39
acd_178,43
acd_179,39
acd_180,37
acd_181,43
acd_182,31
acd_183,40
acd_184,39
acd_185,41
acd_186,35
acd_187,37
acd_188,35
acd_189,39
acd_190,41
acd_191,39
acd_192,36
acd_193,39
acd_194,41
acd_195,37
acd_196,41
acd_197,37
acd_198,35
acd_199,42
acd_200,41
acd_201,39
acd_202,43
acd_203,39
acd_204,35
acd_205,40
acd_206,37
acd_207,38
acd_208,40
acd_209,37
acd_210,35
acd_211,41
acd_212,37
acd_213,41
acd_214,33
acd_215,41
acd_216,41
acd_217,41
acd_218,43
acd_219,37
acd_220,38
acd_221,36
acd_222,38
acd_223,32
aek_032,32
aek_033,34
aek_034,34
aek_035,39
aek_036,38
aek_037,39
aek_038,33
aek_039,36
aek_040,40
aek_041,40
aek_042,38
aek_043,37
aek_044,34
aek_045,38
aek_046,36
aek_047,40
aek_048,37
aek_049,33
aek_050,39
aek_051,37
aek_052,37
aek_053,38
aek_054,37
aek_055,39
aek_056,39
aek_057,36
aek_058,36
aek_059,39
aek_060,35
aek_061,41
aek_062,42
aek_063,41
aek_064,37
aek_065,39
aek_066,39
aek_067,41
aek_068,37
aek_069,39
aek_070,39
aek_071,37
aek_072,37
aek_073,36
aek_074,36
aek_075,36
aek_076,42
aek_077,35
aek_078,45
aek_079,41
aek_080,41
aek_081,36
aek_082,37
aek_083,43
aek_084,39
aek_085,29
aek_086,37
aek_087,37
aek_088,38
aek_089,37
aek_090,37
aek_091,37
aek_092,37
aek_093,35
aek_094,32
aek_095,33
aek_096,38
aek_097,37
aek_098,40
aek_099,36
aek_100,40
aek_101,39
aek_102,33
aek_103,34
aek_104,39
aek_105,36
aek_106,39
aek_107,38
agb_000,36
agb_001,34
agb_002,30
agb_003,40
agb_004,30
agb_005,40
agb_006,36
agb_007,36
agb_008,36
agb_009,41
agb_010,37
agb_011,35
agb_012,38
agb_013,38
agb_014,43
agb_015,41
agb_016,37
agb_017,42
agb_018,41
agb_019,36
agb_020,40
agb_021,36
agb_022,39
agb_023,39
agb_024,36
agb_025,36
agb_026,37
agb_027,35
agb_028,37
agb_029,32
agb_030,37
agb_031,41
agb_032,41
agb_033,40
agb_034,40
agb_035,42
agb_036,34
agb_037,33
agb_038,40
agb_039,39
agb_040,37
agb_041,39
agb_042,36
agb_043,35
agb_044,39
agb_045,41
agb_046,34
agb_047,37
agb_048,34
agb_049,38
agb_050,42
agb_051,38
agb_052,35
agb_053,37
agb_054,39
agb_055,36
agb_056,41
agb_057,39
agb_058,42
agb_059,40
agb_060,32
agb_061,40
agb_062,40
agb_063,36
agb_064,42
agb_065,39
agb_066,39
agb_067,39
agb_068,41
agb_069,39
agb_070,35
agb_071,41
agb_072,38
agb_073,42
agb_074,40
agb_075,40
agb_076,41
agb_077,40
agb_078,43
agb_079,57
agb_080,57
agb_081,54
agb_082,58
agb_083,53
agb_084,59
agb_085,52
agb_086,60
agb_087,57
agb_088,56
agb_089,51
agb_090,59
agb_091,55
agb_092,51
agb_093,61
agb_094,60
agb_095,52
agb_096,51
agb_097,62
agb_098,56
agb_099,60
agb_100,48
agb_101,52
agb_102,63
agb_103,57
agb_104,62
agb_105,56
agb_106,59
agb_107,59
agb_108,59
agb_109,50
agb_110,54
agb_111,63
agb_112,58
agb_113,55
agb_114,54
agb_115,56
agb_116,57
agb_117,54
agb_118,59
agb_119,60
agb_120,60
agb_121,55
agb_122,61
agb_123,63
agb_124,58
agb_125,55
agb_126,57
agb_127,57
