image_id,wind_speed
acd_123,23
acd_124,23
acd_125,23
acd_126,23
acd_127,25
acd_128,25
acd_129,26
acd_130,25
acd_131,26
acd_132,25
acd_133,28
acd_134,27
acd_135,26
acd_136,26
acd_137,27
acd_138,28
acd_139,27
acd_140,27
acd_141,28
acd_142,28
acd_143,29
acd_144,29
acd_145,27
acd_146,26
acd_147,27
acd_148,24
acd_149,25
acd_150,25
acd_151,26
acd_152,26
acd_153,28
acd_154,27
acd_155,27
acd_156,28
acd_157,27
acd_158,27
acd_159,27
acd_160,26
acd_161,24
acd_162,24
acd_163,24
acd_164,24
acd_165,24
acd_166,23
acd_167,23
acd_168,23
acd_169,24
acd_170,24
acd_171,25
acd_172,25
acd_173,24
acd_174,25
acd_175,26
acd_176,26
acd_177,26
acd_178,26
acd_179,25
acd_180,27
acd_181,26
acd_182,28
acd_183,26
acd_184,27
acd_185,27
acd_186,27
acd_187,26
acd_188,26
acd_189,26
acd_190,26
acd_191,28
acd_192,29
acd_193,28
acd_194,27
acd_195,27
acd_196,27
acd_197,27
acd_198,27
acd_199,27
acd_200,26
acd_201,25
acd_202,27
acd_203,27
acd_204,28
acd_205,28
acd_206,31
acd_207,32
acd_208,29
acd_209,30
acd_210,28
acd_211,26
acd_212,27
acd_213,27
acd_214,25
acd_215,26
acd_216,26
acd_217,27
acd_218,28
acd_219,28
acd_220,29
acd_221,30
acd_222,30
acd_223,28
aek_032,31
aek_033,35
aek_034,31
aek_035,43
aek_036,46
aek_037,42
aek_038,30
aek_039,39
aek_040,39
aek_041,43
aek_042,35
aek_043,35
aek_044,29
aek_045,33
aek_046,34
aek_047,30
aek_048,31
aek_049,27
aek_050,30
aek_051,26
aek_052,24
aek_053,28
aek_054,26
aek_055,23
aek_056,28
aek_057,30
aek_058,32
aek_059,27
aek_060,29
aek_061,29
aek_062,27
aek_063,37
aek_064,30
aek_065,31
aek_066,30
aek_067,28
aek_068,31
aek_069,30
aek_070,30
aek_071,28
aek_072,30
aek_073,30
aek_074,27
aek_075,29
aek_076,34
aek_077,30
aek_078,35
aek_079,32
aek_080,31
aek_081,35
aek_082,33
aek_083,30
aek_084,34
aek_085,33
aek_086,28
aek_087,24
aek_088,24
aek_089,28
aek_090,42
aek_091,35
aek_092,43
aek_093,29
aek_094,27
aek_095,26
aek_096,25
aek_097,24
aek_098,24
aek_099,24
aek_100,25
aek_101,24
aek_102,26
aek_103,26
aek_104,29
aek_105,34
aek_106,34
aek_107,31
agb_000,36
agb_001,37
agb_002,39
agb_003,39
agb_004,39
agb_005,41
agb_006,39
agb_007,42
agb_008,42
agb_009,45
agb_010,45
agb_011,44
agb_012,44
agb_013,43
agb_014,40
agb_015,36
agb_016,37
agb_017,36
agb_018,36
agb_019,36
agb_020,41
agb_021,39
agb_022,38
agb_023,36
agb_024,35
agb_025,33
agb_026,30
agb_027,33
agb_028,34
agb_029,28
agb_030,34
agb_031,36
agb_032,41
agb_033,34
agb_034,34
agb_035,33
agb_036,35
agb_037,33
agb_038,30
agb_039,31
agb_040,34
agb_041,32
agb_042,33
agb_043,34
agb_044,33
agb_045,32
agb_046,32
agb_047,33
agb_048,34
agb_049,38
agb_050,41
agb_051,39
agb_052,42
agb_053,43
agb_054,40
agb_055,43
agb_056,42
agb_057,37
agb_058,31
agb_059,29
agb_060,36
agb_061,41
agb_062,38
agb_063,51
agb_064,49
agb_065,46
agb_066,51
agb_067,45
agb_068,43
agb_069,46
agb_070,53
agb_071,50
agb_072,54
agb_073,53
agb_074,59
agb_075,59
agb_076,58
agb_077,60
agb_078,67
agb_079,68
agb_080,68
agb_081,71
agb_082,70
agb_083,63
agb_084,65
agb_085,81
agb_086,80
agb_087,85
agb_088,76
agb_089,76
agb_090,73
