image_id,wind_speed
acd_123,28
acd_124,28
acd_125,29
acd_126,27
acd_127,27
acd_128,26
acd_129,26
acd_130,28
acd_131,28
acd_132,28
acd_133,27
acd_134,28
acd_135,27
acd_136,27
acd_137,27
acd_138,30
acd_139,30
acd_140,31
acd_141,30
acd_142,28
acd_143,27
acd_144,28
acd_145,28
acd_146,26
acd_147,26
acd_148,26
acd_149,26
acd_150,26
acd_151,26
acd_152,27
acd_153,27
acd_154,27
acd_155,27
acd_156,29
acd_157,28
acd_158,28
acd_159,28
acd_160,29
acd_161,27
acd_162,27
acd_163,26
acd_164,26
acd_165,26
acd_166,27
acd_167,26
acd_168,26
acd_169,25
acd_170,25
acd_171,24
acd_172,26
acd_173,26
acd_174,26
acd_175,26
acd_176,26
acd_177,26
acd_178,26
acd_179,25
acd_180,26
acd_181,26
acd_182,27
acd_183,28
acd_184,27
acd_185,30
acd_186,29
acd_187,30
acd_188,29
acd_189,28
acd_190,26
acd_191,26
acd_192,26
acd_193,27
acd_194,27
acd_195,27
acd_196,28
acd_197,27
acd_198,26
acd_199,27
acd_200,29
acd_201,28
acd_202,28
acd_203,28
acd_204,28
acd_205,30
acd_206,29
acd_207,30
acd_208,31
acd_209,30
acd_210,29
acd_211,28
acd_212,29
acd_213,29
acd_214,29
acd_215,30
acd_216,31
acd_217,31
acd_218,32
acd_219,31
acd_220,32
acd_221,32
acd_222,30
acd_223,32
aek_032,26
aek_033,28
aek_034,27
aek_035,28
aek_036,30
aek_037,29
aek_038,30
aek_039,36
aek_040,34
aek_041,31
aek_042,34
aek_043,39
aek_044,32
aek_045,31
aek_046,28
aek_047,26
aek_048,26
aek_049,25
aek_050,26
aek_051,26
aek_052,26
aek_053,28
aek_054,26
aek_055,26
aek_056,27
aek_057,28
aek_058,29
aek_059,30
aek_060,28
aek_061,29
aek_062,30
aek_063,33
aek_064,30
aek_065,31
aek_066,32
aek_067,31
aek_068,30
aek_069,31
aek_070,27
aek_071,28
aek_072,28
aek_073,30
aek_074,30
aek_075,30
aek_076,30
aek_077,30
aek_078,31
aek_079,31
aek_080,31
aek_081,33
aek_082,33
aek_083,31
aek_084,33
aek_085,32
aek_086,32
aek_087,31
aek_088,29
aek_089,30
aek_090,30
aek_091,30
aek_092,31
aek_093,31
aek_094,27
aek_095,28
aek_096,29
aek_097,28
aek_098,26
aek_099,28
aek_100,28
aek_101,28
aek_102,28
aek_103,28
aek_104,30
aek_105,32
aek_106,33
aek_107,32
agb_000,38
agb_001,38
agb_002,41
agb_003,40
agb_004,39
agb_005,42
agb_006,46
agb_007,45
agb_008,47
agb_009,46
agb_010,51
agb_011,49
agb_012,45
agb_013,46
agb_014,43
agb_015,52
agb_016,53
agb_017,48
agb_018,34
agb_019,35
agb_020,34
agb_021,33
agb_022,35
agb_023,37
agb_024,36
agb_025,35
agb_026,38
agb_027,41
agb_028,40
agb_029,39
agb_030,38
agb_031,41
agb_032,39
agb_033,41
agb_034,37
agb_035,36
agb_036,36
agb_037,41
agb_038,40
agb_039,39
agb_040,41
agb_041,41
agb_042,39
agb_043,42
agb_044,51
agb_045,50
agb_046,49
agb_047,48
agb_048,37
agb_049,44
agb_050,39
agb_051,39
agb_052,45
agb_053,48
agb_054,45
agb_055,48
agb_056,42
agb_057,44
agb_058,37
agb_059,37
agb_060,40
agb_061,39
agb_062,40
agb_063,53
agb_064,56
agb_065,43
agb_066,55
agb_067,54
agb_068,49
agb_069,49
agb_070,66
agb_071,67
agb_072,58
agb_073,61
agb_074,62
agb_075,62
agb_076,64
agb_077,66
agb_078,71
agb_079,72
agb_080,79
agb_081,79
agb_082,72
agb_083,79
agb_084,84
agb_085,87
agb_086,86
agb_087,87
agb_088,91
agb_089,88
agb_090,81
agb_091,83
agb_092,92
agb_093,78
agb_094,84
agb_095,85
agb_096,81
agb_097,74
agb_098,75
agb_099,76
agb_100,80
agb_101,80
agb_102,89
agb_103,93
agb_104,80
agb_105,76
agb_106,81
agb_107,85
agb_108,90
agb_109,94
agb_110,88
agb_111,96
agb_112,110
agb_113,113
agb_114,109
agb_115,104
agb_116,102
agb_117,104
agb_118,92
agb_119,92
agb_120,89
agb_121,86
agb_122,90
agb_123,91
agb_124,92
agb_125,91
agb_126,98
agb_127,95
agb_128,98
agb_129,99
agb_130,99
agb_131,99
agb_132,100
agl_129,45
agl_130,46
agl_131,47
agl_132,49
agl_133,48
agl_134,45
agl_135,45
agl_136,44
agl_137,40
agl_138,36
agl_139,42
agl_140,46
agl_141,47
agl_142,41
agl_143,43
agl_144,36
agl_145,46
agl_146,54
agl_147,50
agl_148,49
agl_149,47
agl_150,50
agl_151,50
agl_152,40
agl_153,40
agl_154,37
agl_155,36
agl_156,40
agl_157,36
agl_158,44
agl_159,45
agl_160,36
agl_161,37
agl_162,51
agl_163,48
agl_164,51
agl_165,52
agl_166,55
agl_167,57
agl_168,51
agl_169,54
agl_170,48
agl_171,56
agl_172,51
agl_173,50
agl_174,56
agl_175,53
agl_176,56
agl_177,47
agl_178,43
agl_179,48
agl_180,46
agl_181,59
agl_182,48
agl_183,49
agl_184,50
agl_185,53
agl_186,56
agl_187,63
agl_188,57
agl_189,60
agl_190,60
agl_191,65
agl_192,69
agl_193,63
agl_194,61
agl_195,58
agl_196,56
agl_197,50
agl_198,57
agl_199,58
agl_200,56
agl_201,60
agl_202,54
agl_203,56
agl_204,53
agl_205,51
agl_206,50
agl_207,55
agl_208,59
agl_209,60
agl_210,52
agl_211,61
agl_212,60
agl_213,59
agl_214,58
agl_215,51
agl_216,42
agl_217,42
agl_218,42
agl_219,40
agl_220,44
agl_221,43
agl_222,37
agl_223,35
agl_224,32
agl_225,29
agl_226,32
agl_227,32
agl_228,30
agl_229,29
agl_230,28
agl_231,29
agl_232,33
agl_233,35
agl_234,41
agl_235,40
agl_236,40
agl_237,41
agl_238,38
agl_239,35
agl_240,36
agl_241,37
agl_242,37
agl_243,37
agl_244,37
agl_245,41
agl_246,43
agl_247,42
agl_248,39
agl_249,41
agl_250,45
agl_251,46
agl_252,64
agl_253,63
agl_254,63
agl_255,60
agl_256,55
agl_257,60
agl_258,55
agl_259,54
agl_260,57
agl_261,67
agl_262,76
agl_263,74
agl_264,64
agl_265,67
agl_266,76
agl_267,75
agl_268,77
agl_269,60
agl_270,46
agl_271,49
agl_272,48
agl_273,56
agl_274,67
agl_275,55
agl_276,56
agl_277,49
agl_278,53
agl_279,51
agl_280,54
agl_281,54
agl_282,57
agl_283,61
agl_284,59
agl_285,57
agl_286,60
agl_287,50
agl_288,56
agl_289,50
agl_290,51
agl_291,52
agl_292,49
agl_293,52
agl_294,55
agl_295,57
agl_296,57
agl_297,58
agl_298,58
agl_299,49
agl_300,56
agl_301,50
agl_302,48
agl_303,48
agl_304,44
agl_305,42
agl_306,42
agl_307,42
agl_308,45
agl_309,46
agl_310,50
agl_311,51
agl_312,51
agl_313,49
agl_314,51
agl_315,57
agl_316,57
agl_317,55
agl_318,52
agl_319,54
agl_320,55
agl_321,55
agl_322,53
agl_323,51
agl_324,52
agl_325,51
agl_326,53
agl_327,55
agl_328,55
agl_329,53
agl_330,52
agl_331,49
agl_332,48
agl_333,53
agl_334,53
agl_335,53
agl_336,52
agl_337,51
agl_338,53
agl_339,51
agl_340,51
agl_341,53
agl_342,57
agl_343,60
agl_344,57
agl_345,56
agl_346,56
agl_347,55
agl_348,62
agl_349,61
agl_350,61
agl_351,58
agl_352,58
agl_353,57
agl_354,68
agl_355,64
agl_356,68
agl_357,58
agl_358,55
agl_359,59
agl_360,56
agl_361,58
agl_362,57
agl_363,61
agl_364,56
agl_365,64
agl_366,69
agl_367,68
agl_368,70
agl_369,76
agl_370,71
agl_371,73
agl_372,82
agl_373,82
agl_374,86
agl_375,79
agl_376,78
agl_377,86
agl_378,70
agl_379,67
agl_380,76
agl_381,85
agl_382,89
agl_383,90
agl_384,83
agl_385,85
agl_386,96
agl_387,95
agl_388,92
agl_389,88
agl_390,80
agl_391,80
agl_392,78
agl_393,65
agl_394,72
agl_395,68
agl_396,66
agl_397,58
agl_398,58
agl_399,53
agl_400,52
agl_401,52
agl_402,53
agl_403,55
agl_404,57
agl_405,58
agl_406,54
agl_407,52
agl_408,53
agl_409,55
agl_410,54
agl_411,49
agl_412,51
agl_413,49
agl_414,49
agl_415,45
agl_416,44
agl_417,44
agl_418,47
agl_419,52
agl_420,47
agl_421,50
agl_422,50
agl_423,51
agl_424,48
agl_425,53
agl_426,55
agl_427,51
agl_428,53
agl_429,56
agl_430,54
agl_431,59
agl_432,59
agl_433,61
agl_434,62
agl_435,63
agl_436,61
agl_437,61
agl_438,62
agl_439,60
agl_440,62
agl_441,62
agl_442,61
agl_443,60
agl_444,59
agl_445,57
agl_446,57
agl_447,58
agl_448,63
agl_449,63
agl_450,63
agl_451,61
agl_452,59
agl_453,58
agl_454,60
agp_000,35
agp_001,37
agp_002,37
agp_003,34
agp_004,35
agp_005,32
agp_006,32
agp_007,34
agp_008,34
agp_009,39
agp_010,41
agp_011,44
agp_012,46
agp_013,49
agp_014,51
agp_015,59
agp_016,61
agp_017,62
agp_018,56
agp_019,58
agp_020,52
agp_021,55
agp_022,52
agp_023,50
agp_024,55
agp_025,59
agp_026,58
agp_027,53
agp_028,55
agp_029,51
agp_030,52
agp_031,55
agp_032,56
agp_033,60
agp_034,57
agp_035,60
agp_036,59
agp_037,58
agp_038,58
agp_039,54
agp_040,51
agp_041,50
agp_042,45
agp_043,48
agp_044,50
agp_045,48
agp_046,51
agp_047,52
agp_048,46
agp_049,46
agp_050,47
agp_051,43
agp_052,43
agp_053,44
agp_054,45
agp_055,51
agp_056,51
agp_057,51
agp_058,47
agp_059,45
agp_060,46
aig_000,46
aig_001,46
aig_002,51
aig_003,46
aig_004,53
aig_005,55
aig_006,52
aig_007,48
aig_008,51
aig_009,50
aig_010,50
aig_011,52
aig_012,51
aig_013,48
aig_014,46
aig_015,43
aig_016,51
aig_017,53
aig_018,46
aig_019,46
aig_020,47
aig_021,51
aig_022,51
aig_023,48
aig_024,48
aig_025,49
aig_026,51
aig_027,46
aig_028,42
aig_029,40
aig_030,38
aig_031,41
aig_032,43
aig_033,45
aig_034,56
aig_035,51
aig_036,56
aig_037,57
aig_038,58
aig_039,63
aig_040,62
aig_041,59
aig_042,51
aig_043,46
aig_044,42
aig_045,39
aig_046,38
aig_047,37
aig_048,38
aig_049,37
aig_050,38
aig_051,40
aig_052,35
aig_053,36
aiz_000,90
aiz_001,104
aiz_002,111
aiz_003,105
aiz_004,108
aiz_005,104
aiz_006,85
aiz_007,79
aiz_008,74
aiz_009,72
aiz_010,83
aiz_011,65
aiz_012,92
aiz_013,91
aiz_014,90
aiz_015,98
aiz_016,96
aiz_017,93
aiz_018,95
aiz_019,89
aiz_020,90
aiz_021,91
aiz_022,86
aiz_023,87
aiz_024,91
aiz_025,89
aiz_026,97
aiz_027,90
aiz_028,81
aiz_029,80
aiz_030,80
aiz_031,63
aiz_032,55
aiz_033,55
aiz_034,54
aiz_035,57
aiz_036,61
aiz_037,88
aiz_038,93
aiz_039,63
aiz_040,70
aiz_041,109
aiz_042,110
aiz_043,105
aiz_044,81
aiz_045,79
aiz_046,95
aiz_047,100
aiz_048,98
aiz_049,91
aiz_050,66
aiz_051,79
aiz_052,77
aiz_053,80
aiz_054,80
aiz_055,78
aiz_056,79
aiz_057,79
aiz_058,89
aiz_059,84
aiz_060,78
aiz_061,92
aiz_062,93
aiz_063,93
aiz_064,95
aiz_065,112
aiz_066,111
aiz_067,118
aiz_068,115
aiz_069,118
aiz_070,115
aiz_071,113
aiz_072,114
aiz_073,114
aiz_074,111
aiz_075,111
aiz_076,107
aiz_077,110
aiz_078,103
aiz_079,100
aiz_080,101
aiz_081,102
aiz_082,100
aiz_083,101
aiz_084,98
aiz_085,95
aiz_086,94
aiz_087,89
aiz_088,89
aiz_089,87
aiz_090,87
aiz_091,90
aiz_092,92
aiz_093,96
aiz_094,99
aiz_095,97
aiz_096,104
aiz_097,107
aiz_098,98
aiz_099,70
aiz_100,69
aiz_101,74
aiz_102,72
aiz_103,90
aiz_104,76
aiz_105,71
aiz_106,70
aiz_107,69
aiz_108,70
aiz_109,57
aiz_110,61
aiz_111,67
aiz_112,72
aiz_113,77
aiz_114,76
aiz_115,77
aiz_116,74
aiz_117,75
aiz_118,71
aiz_119,68
aiz_120,80
aiz_121,77
aiz_122,63
aiz_123,62
aiz_124,63
aiz_125,62
aiz_126,61
aiz_127,59
aiz_128,60
aiz_129,59
aiz_130,59
aiz_131,58
aiz_132,52
aiz_133,52
aiz_134,48
aiz_135,43
aiz_136,34
aiz_137,32
aiz_138,32
aiz_139,40
aiz_140,35
aiz_141,36
aiz_142,39
aiz_143,36
aiz_144,38
aiz_145,38
aiz_146,37
aiz_147,31
aiz_148,38
aiz_149,41
aiz_150,44
aiz_151,44
aiz_152,45
aiz_153,42
aiz_154,43
aiz_155,43
aiz_156,28
aiz_157,29
aiz_158,31
aiz_159,28
aiz_160,28
aiz_161,28
aiz_162,29
akq_024,38
akq_025,41
akq_026,40
akq_027,41
akq_028,43
akq_029,43
akq_030,47
akq_031,45
akq_032,48
akq_033,48
akq_034,51
akq_035,52
akq_036,50
akq_037,52
akq_038,52
akq_039,50
akq_040,44
akq_041,45
akq_042,44
akq_043,39
akq_044,42
akq_045,33
akq_046,37
akq_047,39
akq_048,39
akq_049,40
akq_050,41
akq_051,43
akq_052,41
akq_053,39
akq_054,41
akq_055,40
akq_056,36
akq_057,37
akq_058,43
akq_059,48
akq_060,46
akq_061,44
akq_062,42
akq_063,43
akq_064,43
akq_065,43
akq_066,43
akq_067,41
akq_068,44
akq_069,45
akq_070,44
akq_071,47
akq_072,47
akq_073,49
akq_074,47
akq_075,46
akq_076,45
akq_077,46
akq_078,46
akq_079,45
akq_080,46
akq_081,49
akq_082,47
akq_083,47
akq_084,47
akq_085,47
akq_086,45
akq_087,48
akq_088,49
akq_089,55
akq_090,57
akq_091,59
akq_092,58
akq_093,54
akq_094,53
akq_095,50
akq_096,51
akq_097,25
akq_098,24
akq_099,23
akq_100,23
akq_101,25
akq_102,25
akq_103,25
akq_104,25
akq_105,25
akq_106,25
akq_107,25
akq_108,27
akq_109,27
akq_110,26
akq_111,29
akq_112,29
akq_113,30
akq_114,31
akq_115,36
akq_116,37
akq_117,41
akq_118,44
akq_119,48
akq_120,50
akq_121,46
akq_122,49
akq_123,49
akq_124,45
akq_125,37
akq_126,33
akq_127,33
alc_010,95
alc_011,94
alc_012,95
alc_013,93
alc_014,90
alc_015,89
alc_016,90
alc_017,90
alc_018,100
alc_019,50
ano_031,32
ano_032,33
ano_033,32
ano_034,30
ano_035,31
ano_036,31
ano_037,32
ano_038,34
ano_039,35
ano_040,38
ano_041,36
ano_042,34
ano_043,36
ano_044,37
ano_045,38
ano_046,39
ano_047,37
ano_048,36
ano_049,36
ano_050,35
ano_051,34
ano_052,34
ano_053,37
ano_054,34
ano_055,35
ano_056,36
ano_057,36
ano_058,35
ano_059,38
ano_060,35
ano_061,38
ano_062,44
ano_063,44
ano_064,38
ano_065,34
ano_066,33
ano_067,35
ano_068,29
ano_069,33
ano_070,39
ano_071,34
ano_072,43
ano_073,45
ano_074,43
ano_075,46
ano_076,45
ano_077,44
ano_078,46
ano_079,47
ano_080,46
ano_081,46
ano_082,45
ano_083,44
ano_084,43
ano_085,40
ano_086,40
aox_010,33
aox_011,29
aox_012,28
aox_013,32
aox_014,36
aox_015,32
aox_016,44
aox_017,44
aox_018,58
aox_019,60
ati_000,35
ati_001,33
ati_002,32
ati_003,33
ati_004,36
ati_005,33
ati_006,35
ati_007,35
ati_008,32
ati_009,33
ati_010,35
ati_011,36
ati_012,34
ati_013,34
ati_014,32
ati_015,38
ati_016,40
ati_017,38
ati_018,39
ati_019,40
ati_020,42
ati_021,41
ati_022,43
ati_023,47
ati_024,43
ati_025,48
ati_026,47
ati_027,45
ati_028,42
ati_029,40
ati_030,40
ati_031,44
ati_032,41
ati_033,42
ati_034,41
ati_035,37
ati_036,33
ati_037,33
ati_038,34
ati_039,33
ati_040,35
ati_041,36
ati_042,38
ati_043,37
ati_044,36
ati_045,36
ati_046,34
ati_047,36
ati_048,35
ati_049,35
ati_050,34
ati_051,35
ati_052,36
ati_053,34
ati_054,33
ati_055,40
ati_056,38
ati_057,41
ati_058,34
ati_059,30
ati_060,31
ati_061,31
ati_062,30
ati_063,30
ati_064,30
ati_065,31
ati_066,31
ati_067,31
ati_068,30
ati_069,29
ati_070,29
ati_071,30
ati_072,31
ati_073,30
ati_074,30
ati_075,29
ati_076,31
ati_077,32
ati_078,32
ati_079,32
ati_080,30
ati_081,29
ati_082,29
ati_083,28
ati_084,28
ati_085,25
ati_086,26
ati_087,26
ati_088,27
ati_089,28
ati_090,29
ati_091,29
ati_092,28
ati_093,28
ati_094,30
ati_095,30
ati_096,29
ati_097,29
ati_098,28
ati_099,28
ati_100,29
ati_101,28
ati_102,29
ati_103,28
ati_104,28
ati_105,28
ati_106,27
ati_107,27
ati_108,27
ati_109,27
ati_110,26
ati_111,25
ati_112,25
ati_113,27
ati_114,25
ati_115,27
ati_116,26
