image_id,wind_speed
acd_123,25
acd_124,25
acd_125,26
acd_126,26
acd_127,27
acd_128,27
acd_129,27
acd_130,27
acd_131,27
acd_132,28
acd_133,30
acd_134,30
acd_135,29
acd_136,28
acd_137,30
acd_138,31
acd_139,30
acd_140,30
acd_141,31
acd_142,32
acd_143,32
acd_144,32
acd_145,29
acd_146,28
acd_147,28
acd_148,26
acd_149,27
acd_150,27
acd_151,28
acd_152,27
acd_153,30
acd_154,30
acd_155,29
acd_156,30
acd_157,29
acd_158,28
acd_159,29
acd_160,29
acd_161,27
acd_162,27
acd_163,26
acd_164,26
acd_165,26
acd_166,25
acd_167,25
acd_168,26
acd_169,26
acd_170,26
acd_171,26
acd_172,27
acd_173,26
acd_174,28
acd_175,27
acd_176,28
acd_177,28
acd_178,28
acd_179,28
acd_180,27
acd_181,26
acd_182,29
acd_183,27
acd_184,28
acd_185,29
acd_186,29
acd_187,27
acd_188,27
acd_189,29
acd_190,30
acd_191,33
acd_192,33
acd_193,31
acd_194,30
acd_195,29
acd_196,29
acd_197,29
acd_198,30
acd_199,29
acd_200,29
acd_201,28
acd_202,30
acd_203,31
acd_204,31
acd_205,29
acd_206,34
acd_207,34
acd_208,32
acd_209,32
acd_210,30
acd_211,29
acd_212,31
acd_213,31
acd_214,28
acd_215,28
acd_216,28
acd_217,30
acd_218,29
acd_219,29
acd_220,30
acd_221,31
acd_222,31
acd_223,29
aek_032,34
aek_033,38
aek_034,33
aek_035,44
aek_036,47
aek_037,40
aek_038,34
aek_039,44
aek_040,37
aek_041,44
aek_042,35
aek_043,45
aek_044,41
aek_045,45
aek_046,41
aek_047,31
aek_048,37
aek_049,31
aek_050,30
aek_051,28
aek_052,27
aek_053,31
aek_054,29
aek_055,25
aek_056,31
aek_057,32
aek_058,35
aek_059,29
aek_060,30
aek_061,35
aek_062,31
aek_063,38
aek_064,34
aek_065,32
aek_066,32
aek_067,31
aek_068,33
aek_069,31
aek_070,33
aek_071,31
aek_072,32
aek_073,33
aek_074,30
aek_075,32
aek_076,36
aek_077,36
aek_078,37
aek_079,33
aek_080,33
aek_081,36
aek_082,34
aek_083,32
aek_084,37
aek_085,37
aek_086,31
aek_087,27
aek_088,25
aek_089,32
aek_090,46
aek_091,39
aek_092,42
aek_093,31
aek_094,30
aek_095,27
aek_096,27
aek_097,26
aek_098,25
aek_099,27
aek_100,26
aek_101,25
aek_102,28
aek_103,28
aek_104,31
aek_105,34
aek_106,35
aek_107,33
agb_000,38
agb_001,40
agb_002,42
agb_003,40
agb_004,42
agb_005,45
agb_006,45
agb_007,45
agb_008,45
agb_009,45
agb_010,48
agb_011,51
agb_012,51
agb_013,48
agb_014,43
agb_015,42
agb_016,41
agb_017,37
agb_018,37
agb_019,40
agb_020,46
agb_021,41
agb_022,43
agb_023,40
agb_024,39
agb_025,39
agb_026,35
agb_027,37
agb_028,38
agb_029,33
agb_030,35
agb_031,39
agb_032,42
agb_033,35
agb_034,34
agb_035,35
agb_036,37
agb_037,33
agb_038,31
agb_039,34
agb_040,36
agb_041,37
agb_042,36
agb_043,37
agb_044,38
agb_045,38
agb_046,35
agb_047,35
agb_048,35
agb_049,40
agb_050,43
agb_051,41
agb_052,45
agb_053,47
agb_054,45
agb_055,47
agb_056,46
agb_057,45
agb_058,38
agb_059,33
agb_060,47
agb_061,46
agb_062,45
agb_063,57
agb_064,55
agb_065,56
agb_066,62
agb_067,56
agb_068,61
agb_069,55
agb_070,64
agb_071,63
agb_072,61
agb_073,58
agb_074,63
agb_075,62
agb_076,65
agb_077,66
agb_078,70
agb_079,70
agb_080,75
agb_081,75
agb_082,72
agb_083,69
agb_084,68
agb_085,82
agb_086,84
agb_087,85
agb_088,84
agb_089,78
agb_090,80
agb_091,83
agb_092,93
agb_093,78
agb_094,85
agb_095,89
agb_096,77
agb_097,70
agb_098,81
agb_099,76
agb_100,80
agb_101,75
agb_102,88
agb_103,94
agb_104,89
agb_105,84
agb_106,80
agb_107,88
agb_108,95
agb_109,90
agb_110,89
agb_111,89
agb_112,101
agb_113,109
agb_114,102
agb_115,106
agb_116,102
agb_117,100
agb_118,95
agb_119,100
agb_120,92
agb_121,89
agb_122,87
agb_123,90
agb_124,86
agb_125,91
agb_126,94
agb_127,93
agb_128,93
agb_129,96
agb_130,94
agb_131,93
agb_132,93
agl_129,42
agl_130,48
agl_131,44
agl_132,44
agl_133,49
agl_134,44
agl_135,39
