image_id,wind_speed
acd_123,26
acd_124,26
acd_125,27
acd_126,27
acd_127,26
acd_128,25
acd_129,25
acd_130,25
acd_131,26
acd_132,26
acd_133,26
acd_134,26
acd_135,26
acd_136,26
acd_137,25
acd_138,26
acd_139,25
acd_140,26
acd_141,25
acd_142,25
acd_143,24
acd_144,23
acd_145,24
acd_146,25
acd_147,24
acd_148,24
acd_149,23
acd_150,23
acd_151,24
acd_152,24
acd_153,25
acd_154,24
acd_155,25
acd_156,24
acd_157,25
acd_158,25
acd_159,25
acd_160,25
acd_161,25
acd_162,24
acd_163,25
acd_164,24
acd_165,25
acd_166,25
acd_167,24
acd_168,24
acd_169,24
acd_170,24
acd_171,24
acd_172,27
acd_173,27
acd_174,27
acd_175,26
acd_176,28
acd_177,29
acd_178,29
acd_179,28
acd_180,28
acd_181,29
acd_182,29
acd_183,29
acd_184,29
acd_185,28
acd_186,28
acd_187,27
acd_188,27
acd_189,26
acd_190,25
acd_191,25
acd_192,25
acd_193,26
acd_194,26
acd_195,26
acd_196,27
acd_197,28
acd_198,30
acd_199,31
acd_200,30
acd_201,29
acd_202,28
acd_203,29
acd_204,28
acd_205,29
acd_206,28
acd_207,28
acd_208,28
acd_209,28
acd_210,29
acd_211,29
acd_212,29
acd_213,30
acd_214,29
acd_215,29
acd_216,30
acd_217,30
acd_218,31
acd_219,30
acd_220,33
acd_221,31
acd_222,31
acd_223,31
aek_032,30
aek_033,35
aek_034,31
aek_035,37
aek_036,59
aek_037,44
aek_038,36
aek_039,38
aek_040,31
aek_041,30
aek_042,29
aek_043,30
aek_044,35
aek_045,37
aek_046,33
aek_047,29
aek_048,28
aek_049,28
aek_050,29
aek_051,32
aek_052,28
aek_053,31
aek_054,29
aek_055,28
aek_056,37
aek_057,38
aek_058,34
aek_059,29
aek_060,31
aek_061,40
aek_062,28
aek_063,29
aek_064,29
aek_065,26
aek_066,26
aek_067,28
aek_068,27
aek_069,28
aek_070,29
aek_071,32
aek_072,34
aek_073,32
aek_074,30
aek_075,34
aek_076,34
aek_077,34
aek_078,34
aek_079,30
aek_080,31
aek_081,28
aek_082,32
aek_083,30
aek_084,30
aek_085,29
aek_086,28
aek_087,28
aek_088,28
aek_089,30
aek_090,27
aek_091,31
aek_092,31
aek_093,31
aek_094,29
aek_095,29
aek_096,29
aek_097,28
aek_098,28
aek_099,28
aek_100,27
aek_101,28
aek_102,31
aek_103,27
aek_104,33
aek_105,29
aek_106,27
aek_107,29
agb_000,50
agb_001,53
agb_002,50
agb_003,50
agb_004,50
agb_005,51
agb_006,52
agb_007,51
agb_008,51
agb_009,50
agb_010,50
agb_011,51
agb_012,47
agb_013,44
agb_014,43
agb_015,36
agb_016,41
agb_017,39
agb_018,36
agb_019,46
agb_020,50
agb_021,43
agb_022,49
agb_023,47
agb_024,52
agb_025,54
agb_026,49
agb_027,45
agb_028,46
agb_029,43
agb_030,44
agb_031,47
agb_032,41
agb_033,40
agb_034,39
agb_035,33
agb_036,33
agb_037,36
agb_038,33
agb_039,31
agb_040,33
agb_041,33
agb_042,35
agb_043,45
agb_044,46
agb_045,44
agb_046,44
agb_047,44
agb_048,44
agb_049,47
agb_050,44
agb_051,38
agb_052,41
agb_053,41
agb_054,38
agb_055,38
agb_056,38
agb_057,38
agb_058,37
agb_059,36
agb_060,36
agb_061,41
agb_062,40
agb_063,52
agb_064,45
agb_065,54
agb_066,54
agb_067,53
agb_068,69
agb_069,61
agb_070,70
agb_071,66
agb_072,64
agb_073,68
agb_074,62
agb_075,67
agb_076,71
agb_077,77
agb_078,80
agb_079,75
agb_080,78
agb_081,81
agb_082,81
agb_083,76
agb_084,81
agb_085,82
agb_086,80
agb_087,88
agb_088,88
agb_089,77
agb_090,72
agb_091,78
agb_092,84
agb_093,74
agb_094,84
agb_095,86
agb_096,82
agb_097,78
agb_098,79
agb_099,79
agb_100,80
agb_101,82
agb_102,93
agb_103,97
agb_104,90
agb_105,86
agb_106,87
agb_107,90
agb_108,97
agb_109,105
agb_110,95
agb_111,101
agb_112,103
agb_113,114
agb_114,113
agb_115,108
agb_116,97
agb_117,100
agb_118,96
agb_119,100
agb_120,90
agb_121,86
agb_122,84
agb_123,90
agb_124,94
agb_125,90
agb_126,90
agb_127,93
agb_128,96
agb_129,92
agb_130,101
agb_131,99
agb_132,97
agl_129,45
agl_130,41
agl_131,38
agl_132,39
agl_133,37
agl_134,36
agl_135,35
agl_136,34
agl_137,34
agl_138,34
agl_139,39
agl_140,40
agl_141,42
agl_142,41
agl_143,43
agl_144,38
agl_145,47
agl_146,51
agl_147,50
agl_148,53
agl_149,50
agl_150,49
agl_151,48
agl_152,47
agl_153,45
agl_154,39
agl_155,47
agl_156,47
agl_157,44
agl_158,52
agl_159,49
agl_160,38
agl_161,35
agl_162,40
agl_163,42
agl_164,40
agl_165,43
agl_166,49
agl_167,61
agl_168,61
agl_169,61
agl_170,57
agl_171,45
agl_172,42
agl_173,45
agl_174,57
agl_175,52
agl_176,53
agl_177,48
agl_178,46
agl_179,48
agl_180,58
agl_181,69
agl_182,63
agl_183,63
agl_184,66
agl_185,58
agl_186,55
agl_187,56
agl_188,52
agl_189,42
agl_190,41
agl_191,48
agl_192,54
agl_193,50
agl_194,52
agl_195,56
agl_196,59
agl_197,57
agl_198,56
agl_199,56
agl_200,54
agl_201,55
agl_202,53
agl_203,54
agl_204,50
agl_205,51
agl_206,58
agl_207,59
agl_208,59
agl_209,59
agl_210,55
agl_211,56
agl_212,57
agl_213,60
agl_214,62
agl_215,65
agl_216,64
agl_217,61
agl_218,62
agl_219,50
agl_220,58
agl_221,54
agl_222,49
agl_223,38
agl_224,40
agl_225,34
agl_226,35
agl_227,34
agl_228,33
agl_229,34
agl_230,35
agl_231,37
agl_232,37
agl_233,45
agl_234,38
agl_235,37
agl_236,39
agl_237,44
agl_238,49
agl_239,33
agl_240,34
agl_241,32
agl_242,42
agl_243,39
agl_244,43
agl_245,49
agl_246,53
agl_247,52
agl_248,45
agl_249,45
agl_250,40
agl_251,53
agl_252,59
agl_253,60
agl_254,61
agl_255,61
agl_256,62
agl_257,64
agl_258,61
agl_259,63
agl_260,63
agl_261,67
agl_262,68
agl_263,72
agl_264,74
agl_265,70
agl_266,69
agl_267,67
agl_268,68
agl_269,66
agl_270,64
agl_271,61
agl_272,61
agl_273,59
agl_274,58
agl_275,55
agl_276,54
agl_277,53
agl_278,55
agl_279,54
agl_280,57
agl_281,56
agl_282,56
agl_283,57
agl_284,55
agl_285,57
agl_286,56
agl_287,49
agl_288,47
agl_289,51
agl_290,51
agl_291,49
agl_292,47
agl_293,45
agl_294,44
agl_295,45
agl_296,46
agl_297,46
agl_298,45
agl_299,47
agl_300,44
agl_301,47
agl_302,45
agl_303,42
agl_304,46
agl_305,39
agl_306,36
agl_307,41
agl_308,47
agl_309,47
agl_310,45
agl_311,47
agl_312,44
agl_313,46
agl_314,45
agl_315,44
agl_316,47
agl_317,46
agl_318,46
agl_319,46
agl_320,51
agl_321,49
agl_322,48
agl_323,50
agl_324,48
agl_325,48
agl_326,51
agl_327,51
agl_328,39
agl_329,43
agl_330,46
agl_331,44
agl_332,46
agl_333,44
agl_334,46
agl_335,44
agl_336,54
agl_337,61
agl_338,51
agl_339,36
agl_340,52
agl_341,67
agl_342,70
agl_343,71
